class_id,class_label_short,class_label,cv_regime_label,descriptor,used_in,prototype_robust_amplitude,prototype_gradient_p90,prototype_local_variance_mean,prototype_boundary_density,prototype_regime_entropy,H_amp_norm,H_grad_norm,H_var_norm,H_boundary_norm,H_entropy_norm,class_heterogeneity_score,class_heterogeneity_category,class_alpha_cap,median_descriptor_value,mean_descriptor_value,p25,p75,IQR,p5,p95,robust_amplitude,finite_cells,global_descriptor_median,global_descriptor_IQR,global_descriptor_robust_amplitude,relative_contrast,descriptor_selectivity_raw,descriptor_selectivity_score,descriptor_matches_class_heterogeneity,correlation_with_STD,redundancy_with_STD_abs_corr,correlation_case_id,correlation_date,correlation_note,novelty_score,novelty_score_for_alpha,descriptor_utility_score,suggested_alpha_category,suggested_alpha,hierarchical_alpha_basis,hierarchical_alpha_formula,hierarchical_alpha_score,hierarchical_suggested_alpha_category,hierarchical_suggested_alpha,alpha_1_descriptor_only_sensitivity
3,C03,class_03_homogeneous,homogeneous,boundary_distance_score_r5_cells,Step12A,0.354783296585083,0.0527483560144901,0.000310508912662,0.0,0.0,0.018480192512785112,0.5701238539386903,0.09184795796147965,0.0,0.0,0.136090400882591,low heterogeneity,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8004,2.6749826561160388e-17,0.001415884937159717,0.9801986813545227,0.0,0.0,0.0,False,,,,,no_matching_step11y_case,,0.5,,not_available,,H_plus_S_no_STD_correlation,0.65*H + 0.35*S; STD correlation unavailable,0.08845876057368415,low heterogeneity cap,0.25,True
4,C04,class_04_homogeneous,homogeneous,boundary_distance_score_r5_cells,Step12A,0.3384768366813661,0.0221489537507295,0.0001401453191647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low heterogeneity,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8004,2.6749826561160388e-17,0.001415884937159717,0.9801986813545227,0.0,0.0,0.0,False,,,,,no_matching_step11y_case,,0.5,,not_available,,H_plus_S_no_STD_correlation,0.65*H + 0.35*S; STD correlation unavailable,0.0,low heterogeneity cap,0.25,True
5,C05,class_05_single_gradient,single_gradient,boundary_distance_score_r5_cells,Step12A,0.7251059114933013,0.0438121706247329,0.0006394425872713,0.1000749625187406,0.4999999999999999,0.4381686629564469,0.4036260769558775,0.2691856490574874,0.0,0.5318792193099648,0.32857192165595533,low heterogeneity,0.25,1.1949411771183804e-07,0.2173059939813684,2.0391760503053642e-26,0.2952301502227783,0.2952301502227783,0.0,1.0,1.0,8004,2.6749826561160388e-17,0.001415884937159717,0.9801986813545227,208.51281235819465,1.020201331650553,1.0,True,,,,,no_matching_step11y_case,,0.5,,not_available,,H_plus_S_no_STD_correlation,0.65*H + 0.35*S; STD correlation unavailable,0.563571749076371,low heterogeneity cap,0.25,True
6,C06,class_06_multi_regime,multi_regime,boundary_distance_score_r5_cells,Step12A,0.6126555055379866,0.0380337014794349,0.0004555980849545,0.0182408795602198,0.9358037794875891,0.31072805583108526,0.2959624346864736,0.17006974187565035,1.0,0.995469167322347,0.5544458799431112,medium heterogeneity,0.5,1.4519755495712161e-05,0.14267144969694373,3.0988133066511825e-12,0.07427358627319336,0.07427358627009455,5.9332733925325465e-30,0.9231163859367371,0.9231163859367371,8004,2.6749826561160388e-17,0.001415884937159717,0.9801986813545227,52.45736028457813,0.9417645662011048,0.9417645662011048,True,0.1981838775395919,0.1981838775395919,C06_representative,2023-12-22,available,0.8018161224604081,0.8018161224604081,42.06115721788905,high utility,0.75,H_plus_S_plus_R,0.50*H + 0.30*S + 0.20*(1-|corr_STD|),0.7201155343239687,medium heterogeneity cap,0.5,True
1,C01,class_01_multi_regime,multi_regime,interest_map,Step12A,1.2208518385887146,0.0758204534649849,0.0019949888810515,0.0179910044977511,0.9400630478639049,1.0,1.0,1.0,0.9863013698630172,1.0,0.9972602739726035,very high heterogeneity,0.75,0.3464256674051285,0.3180355818640555,0.2611268386244774,0.3922719731926918,0.13114513456821442,0.10058703273534775,0.4356014728546142,0.33501444011926645,8004,0.12611713260412216,0.24744857102632523,0.3980400390923023,0.5299894601301307,0.841660152790758,0.841660152790758,True,0.27856625298762,0.27856625298762,C01_representative,2024-08-24,available,0.72143374701238,0.72143374701238,0.38235228209874855,low utility,0.25,H_plus_S_plus_R,0.50*H + 0.30*S + 0.20*(1-|corr_STD|),0.8954149322260052,very high hierarchical utility,0.75,True
2,C02,class_02_single_gradient,single_gradient,interest_map,Step12A,0.49571752548217785,0.0422177948057651,0.0003426773182582,0.1000749625187406,0.4999999999999999,0.17820165854757797,0.3739198860080526,0.1091908790881958,0.0,0.5318792193099648,0.23863832859075823,low heterogeneity,0.25,0.12230905145406723,0.1722886872723056,0.0592960175126791,0.264677032828331,0.2053810153156519,0.03277876172214747,0.4088721171021461,0.37609335537999866,8004,0.12611713260412216,0.24744857102632523,0.3980400390923023,0.8299947518945344,0.944863125422379,0.944863125422379,True,-0.858907712287285,0.858907712287285,October_control,2024-10-30,available,0.14109228771271498,0.14109228771271498,0.11710585833434714,low utility,0.25,H_plus_S_plus_R,0.50*H + 0.30*S + 0.20*(1-|corr_STD|),0.43099655946463583,low heterogeneity cap,0.25,True
3,C03,class_03_homogeneous,homogeneous,interest_map,Step12A,0.354783296585083,0.0527483560144901,0.000310508912662,0.0,0.0,0.018480192512785112,0.5701238539386903,0.09184795796147965,0.0,0.0,0.136090400882591,low heterogeneity,0.25,0.027183408848941326,0.04573621246331056,0.013428408652544022,0.0574424909427762,0.04401408229023218,0.006034617056138813,0.12741767168045043,0.12138305462431162,8004,0.12611713260412216,0.24744857102632523,0.3980400390923023,0.17787163654927582,0.3049518709251354,0.3049518709251354,True,,,,,no_matching_step11y_case,,0.5,,not_available,,H_plus_S_no_STD_correlation,0.65*H + 0.35*S; STD correlation unavailable,0.19519191539748154,low heterogeneity cap,0.25,True
4,C04,class_04_homogeneous,homogeneous,interest_map,Step12A,0.3384768366813661,0.0221489537507295,0.0001401453191647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low heterogeneity,0.25,0.02558268141001463,0.039980040686953426,0.013398590264841914,0.05632962379604578,0.042931033531203866,0.005434775515459478,0.0993773140013218,0.09394253848586231,8004,0.12611713260412216,0.24744857102632523,0.3980400390923023,0.17349477248198203,0.23601278579936477,0.23601278579936477,True,,,,,no_matching_step11y_case,,0.5,,not_available,,H_plus_S_no_STD_correlation,0.65*H + 0.35*S; STD correlation unavailable,0.08260447502977766,low heterogeneity cap,0.25,True
5,C05,class_05_single_gradient,single_gradient,interest_map,Step12A,0.7251059114933013,0.0438121706247329,0.0006394425872713,0.1000749625187406,0.4999999999999999,0.4381686629564469,0.4036260769558775,0.2691856490574874,0.0,0.5318792193099648,0.32857192165595533,low heterogeneity,0.25,0.23087602108716965,0.22543656294798112,0.14930063858628273,0.27988746017217636,0.13058682158589363,0.06151431687176228,0.40836082994937895,0.34684651307761666,8004,0.12611713260412216,0.24744857102632523,0.3980400390923023,0.5277331812597169,0.8713859888783343,0.8713859888783343,True,,,,,no_matching_step11y_case,,0.5,,not_available,,H_plus_S_no_STD_correlation,0.65*H + 0.35*S; STD correlation unavailable,0.518556845183788,low heterogeneity cap,0.25,True
6,C06,class_06_multi_regime,multi_regime,interest_map,Step12A,0.6126555055379866,0.0380337014794349,0.0004555980849545,0.0182408795602198,0.9358037794875891,0.31072805583108526,0.2959624346864736,0.17006974187565035,1.0,0.995469167322347,0.5544458799431112,medium heterogeneity,0.5,0.239071324467659,0.2259227872791121,0.11478815041482449,0.32629648596048355,0.21150833554565907,0.056244566291570666,0.381153105199337,0.32490853890776633,8004,0.12611713260412216,0.24744857102632523,0.3980400390923023,0.8547567466985186,0.8162709953719571,0.8162709953719571,True,0.6851507367289292,0.6851507367289292,C06_representative,2023-12-22,available,0.31484926327107077,0.31484926327107077,0.26911953197400584,low utility,0.25,H_plus_S_plus_R,0.50*H + 0.30*S + 0.20*(1-|corr_STD|),0.5850740912373569,medium heterogeneity cap,0.5,True
