run_id,strategy,case_id,vehicle_id,solver_status,collected_STD,collected_boundary,collected_region_A,collected_region_B,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells,source_output,source_output_path,step
October_reference__2auv_12h__multi_baseline_STD,multi_baseline_STD,October_control,2,REUSED_STEP11D,90.76840209960938,32.42975234985352,5.0,154.0,0.0314465425908565,0.9685534834861756,0.0,9,2,38.961,11.183333333333334,159,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__multi_boundary_alpha050,multi_boundary_alpha050,October_control,1,REUSED_STEP11D,51.10305404663086,112.79884338378906,157.0,0.0,1.0,0.0,0.2611464858055115,0,1,36.629,10.55,157,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__multi_boundary_alpha050,multi_boundary_alpha050,October_control,2,REUSED_STEP11D,49.81369400024414,101.00003051757812,160.0,2.0,0.9876543283462524,0.0123456791043281,0.1913580298423767,4,2,36.476,10.466666666666669,162,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,October_control,1,POST_SOLVER_PROXY,71.02642059326172,66.1010971069336,143.0,12.0,0.9225806593894958,0.0774193555116653,0.0,16,2,37.483,10.816666666666666,155,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,October_control,2,POST_SOLVER_PROXY,91.1748504638672,30.36235618591309,10.0,151.0,0.0621118023991584,0.937888205051422,0.0,9,2,39.34,11.35,161,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,October_control,1,POST_SOLVER_PROXY,70.73439025878906,66.33567810058594,142.0,17.0,0.893081784248352,0.1069182381033897,0.0,20,2,38.432,11.15,159,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,October_control,2,POST_SOLVER_PROXY,91.1748504638672,30.36235618591309,10.0,151.0,0.0621118023991584,0.937888205051422,0.0,9,2,39.34,11.35,161,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,October_control,1,POST_SOLVER_PROXY,71.02642059326172,66.1010971069336,143.0,12.0,0.9225806593894958,0.0774193555116653,0.0,16,2,37.483,10.816666666666666,155,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,October_control,2,POST_SOLVER_PROXY,83.95187377929688,24.68280029296875,5.0,147.0,0.0328947380185127,0.967105269432068,0.0,7,2,37.833,10.883333333333333,152,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,October_control,1,POST_SOLVER_PROXY,91.1748504638672,30.36235618591309,10.0,151.0,0.0621118023991584,0.937888205051422,0.0,9,2,39.34,11.35,161,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
October_reference__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,October_control,2,POST_SOLVER_PROXY,71.02642059326172,66.1010971069336,143.0,12.0,0.9225806593894958,0.0774193555116653,0.0,16,2,37.483,10.816666666666666,155,fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935,Step11D
