output_dir,output_name,exists,file_path,file_name,extension,category,size_bytes,modified_time
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_C06_representative_baseline_vs_enriched_overlay.png,step11a_C06_representative_baseline_vs_enriched_overlay.png,.png,figure_png,205472,2026-05-19T20:53:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_checks.json,step11a_checks.json,.json,checks_json,686,2026-05-19T20:54:55
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_collected_scores_barplot.png,step11a_collected_scores_barplot.png,.png,figure_png,49928,2026-05-19T20:54:55
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_next_step_recommendation.md,step11a_next_step_recommendation.md,.md,report_md,361,2026-05-19T20:54:55
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_October_control_baseline_vs_enriched_overlay.png,step11a_October_control_baseline_vs_enriched_overlay.png,.png,figure_png,215970,2026-05-19T20:53:24
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_October_reference_baseline_vs_enriched_overlay.png,step11a_October_reference_baseline_vs_enriched_overlay.png,.png,figure_png,215970,2026-05-19T20:53:24
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_planner_interface_audit.json,step11a_planner_interface_audit.json,.json,json,2575,2026-05-19T19:58:04
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_planner_interface_audit.md,step11a_planner_interface_audit.md,.md,report_md,762,2026-05-19T19:58:04
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_report.md,step11a_report.md,.md,report_md,2904,2026-05-19T20:54:55
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_run_manifest.csv,step11a_run_manifest.csv,.csv,csv,4967,2026-05-19T20:53:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_run_metrics.csv,step11a_run_metrics.csv,.csv,metrics_csv,3594,2026-05-19T20:53:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_solver_diagnostics.csv,step11a_solver_diagnostics.csv,.csv,csv,6033,2026-05-19T20:53:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_solver_runtime_barplot.png,step11a_solver_runtime_barplot.png,.png,figure_png,48528,2026-05-19T20:54:55
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\step11a_summary.md,step11a_summary.md,.md,report_md,2904,2026-05-19T20:54:55
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\figures\step11a_all_cases_summary_panel.png,step11a_all_cases_summary_panel.png,.png,figure_png,108187,2026-05-19T20:54:55
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\figures\step11a_C01_representative_baseline_vs_enriched_overlay.png,step11a_C01_representative_baseline_vs_enriched_overlay.png,.png,figure_png,208998,2026-05-19T20:53:24
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\figures\step11a_C06_representative_baseline_vs_enriched_overlay.png,step11a_C06_representative_baseline_vs_enriched_overlay.png,.png,figure_png,205472,2026-05-19T20:53:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\figures\step11a_collected_scores_barplot.png,step11a_collected_scores_barplot.png,.png,figure_png,49928,2026-05-19T20:54:55
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\figures\step11a_October_control_baseline_vs_enriched_overlay.png,step11a_October_control_baseline_vs_enriched_overlay.png,.png,figure_png,215970,2026-05-19T20:53:24
