path,size_bytes,ext,guessed_type,test_id_if_any,date_if_any,notes
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_23.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_24.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_25.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_26.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_27.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_28.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_29.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_3.out,1244860,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_30.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_31.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_32.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_33.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_34.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_35.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_36.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_37.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_38.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_39.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_4.out,1244860,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_40.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_41.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_42.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_43.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_44.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_45.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_46.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_47.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_1/sim_48.out,1244861,.out,simulation_realization,C4,2024-10-30,post_assimilation_artifact;simulation_realization
