date,day_index_370,step00_time_index,class_id,class_label,priority_rank,hres_window_end_date,hres_available,predmodel_path,predmodel_already_exists,generation_status
2024-08-21,299,298,1,C01,60,2024-08-20,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-21\python_dss_predModel_1_100real.nc,False,pending
2024-08-22,300,299,1,C01,38,2024-08-21,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-22\python_dss_predModel_1_100real.nc,False,pending
2024-08-23,301,300,1,C01,12,2024-08-22,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-23\python_dss_predModel_1_100real.nc,False,pending
2024-08-24,302,301,1,C01,11,2024-08-23,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-24\python_dss_predModel_1_100real.nc,False,pending
2024-08-28,306,305,1,C01,23,2024-08-27,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-28\python_dss_predModel_1_100real.nc,False,pending
2024-08-29,307,306,1,C01,43,2024-08-28,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-08-29\python_dss_predModel_1_100real.nc,False,pending
2023-12-02,36,35,6,C06,112,2023-12-01,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-02\python_dss_predModel_1_100real.nc,False,pending
2023-12-03,37,36,6,C06,106,2023-12-02,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-03\python_dss_predModel_1_100real.nc,False,pending
2023-12-04,38,37,6,C06,110,2023-12-03,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-04\python_dss_predModel_1_100real.nc,False,pending
2023-12-05,39,38,6,C06,104,2023-12-04,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-05\python_dss_predModel_1_100real.nc,False,pending
