method_name,source_of_georef,projection_used,centers_or_edges,x_orientation,y_orientation,target_name,bbox_lonlat,contained_in_hres,overlap_fraction,rmse_temperature,pearson_temperature,gradient_corr,contour_score,rank,verdict,score,normalized_rmse,mask_iou_hres_bathy,transform_family,uses_physical_axes
OPTIMIZED_TOPK_REGISTRATION_R08__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.437265176775766, -9.085254802775221, 39.53449541554602, 39.70939692313365]",True,1.0,0.81015982055222,-0.11226439150362884,0.13952911908134405,0.3052120992717326,72,COMPARATOR,-0.7803750095763015,0.890481227249211,0.2773831651619756,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R19__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.434612885816467, -9.085251575843987, 39.531867294515386, 39.71467334914691]",True,1.0,0.8089230813277732,-0.11658023916067545,0.14089656317129043,0.30439307642141006,73,COMPARATOR,-0.781691215377152,0.8877557960128268,0.28744025491237385,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R21__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.426556067670544, -9.085251575843987, 39.531896982440074, 39.71467334914691]",True,1.0,0.8166949790286344,-0.13223579375945324,0.18496676476330384,0.3042802935394579,74,COMPARATOR,-0.7838973601170063,0.8962850955089339,0.2809014869888476,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R16__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.429208975800524, -9.085254802775221, 39.53452529141397, 39.70939692313365]",True,1.0,0.8178847841603927,-0.12829018000951284,0.180292682192257,0.3052848122281055,75,COMPARATOR,-0.7844734971645727,0.8989720643652411,0.2711099309612321,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R27__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.431943735997294, -9.085251575843987, 39.531877252210116, 39.71731156213626]",True,1.0,0.8095727195614623,-0.11968258643085959,0.1416158254759169,0.3042722543522529,76,COMPARATOR,-0.7845252770361025,0.8877867305193279,0.2894317578332448,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R06__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.437248523686321, -9.085254802775221, 39.53449541554602, 39.70675871010978]",True,1.0,0.811925099990133,-0.11512948536425927,0.13921904771737284,0.3047575169004865,77,COMPARATOR,-0.7862498819567058,0.8931086789013761,0.2730350504514073,optimized_registration_topk,False
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__local_azimuthal_equidistant_spherical__edges__x_normal__y_flipped,relative_km_display_assumed geometry shifted to HRes projected minimum,local_azimuthal_equidistant_spherical,edges,normal,flipped,D4_predModel_TEMPpred_day0,"[-9.554851323790315, -8.917960861017944, 39.39214253829631, 39.8562818079282]",True,1.0,0.7577960565527677,-0.3837484113063068,0.01209576399867105,0.23922104692090707,78,AXES_TESTED,-0.7863549459317317,0.528264940085214,0.7060133630289532,physical_axes_relative_offset_fit,True
HRES_BBOX_SIMPLE_FULL_DOMAIN__local_azimuthal_equidistant_spherical__edges__x_normal__y_flipped,HResNew/planner full lon/lat bbox,local_azimuthal_equidistant_spherical,edges,normal,flipped,D4_predModel_TEMPpred_day0,"[-9.554853975327404, -8.917368352858631, 39.39215151975807, 39.85741994965417]",True,1.0,0.7577277176644236,-0.3861127202535965,0.012173075433231382,0.23912980347856963,79,COMPARATOR,-0.7886785813650681,0.5282173005673721,0.7053193803320685,simple_bbox,False
OPTIMIZED_TOPK_REGISTRATION_R14__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.434579777608537, -9.085254802775221, 39.53450543589418, 39.70939692313365]",True,1.0,0.812695729916869,-0.11826753917905422,0.13888494282747338,0.3049342419009342,80,COMPARATOR,-0.7896265002507465,0.8932685534358962,0.2751925119490175,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R09__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.429192629505472, -9.085254802775221, 39.53452529141397, 39.70675871010978]",True,1.0,0.8196529223896984,-0.13103663222779274,0.17995230620837926,0.30475506877035946,81,COMPARATOR,-0.7902921432741158,0.9016091985356924,0.2668613913967074,optimized_registration_topk,False
