method_name,source_of_georef,projection_used,centers_or_edges,x_orientation,y_orientation,transform_family,uses_physical_axes,x_km_min,x_km_max,y_km_min,y_km_max,bbox_lonlat,contained_in_hres,overlap_fraction,bbox_iou_hres,center_distance_km,scale_x_ratio_vs_hres,scale_y_ratio_vs_hres,mask_iou_hres_bathy,source_details,candidate_notes
AXES_FILIPA_ABS_KM_FULL__EPSG_32629_UTM29N_formula__centers__x_flipped__y_flipped,relative_km_display_assumed_filipa_xy_km_cropped_v1 manifest offsets + full geometry,EPSG_32629_UTM29N_formula,centers,flipped,flipped,physical_axes_absolute_utm,True,462.0,516.8543862149527,4376.0,4428.429515261849,"[-9.445207950096503, -8.802531773641778, 39.53281786288449, 40.00588902881353]",False,0.573183482924083,0.4002029518748761,18.744645789629157,0.9970171765107203,0.9975892977142422,0.4887687752940218,Interprets displayed x/y km offsets as absolute UTM-like km for the full tempRes grid.,
AXES_FILIPA_ABS_KM_FULL__EPSG_32629_UTM29N_formula__edges__x_normal__y_normal,relative_km_display_assumed_filipa_xy_km_cropped_v1 manifest offsets + full geometry,EPSG_32629_UTM29N_formula,edges,normal,normal,physical_axes_absolute_utm,True,462.2448856527453,516.6095005622074,4376.409605587984,4428.019909673865,"[-9.442315136159028, -8.805411348003915, 39.53651932072584, 40.00220344005219]",False,0.5777832383020182,0.3977051871881495,18.744645789629157,0.9881152374347317,0.9820019649374415,0.4814865344211302,Interprets displayed x/y km offsets as absolute UTM-like km for the full tempRes grid.,
AXES_FILIPA_ABS_KM_FULL__EPSG_32629_UTM29N_formula__edges__x_normal__y_flipped,relative_km_display_assumed_filipa_xy_km_cropped_v1 manifest offsets + full geometry,EPSG_32629_UTM29N_formula,edges,normal,flipped,physical_axes_absolute_utm,True,462.2448856527453,516.6095005622074,4376.409605587984,4428.019909673865,"[-9.442315136159028, -8.805411348003915, 39.53651932072584, 40.00220344005219]",False,0.5777832383020182,0.3977051871881495,18.744645789629157,0.9881152374347317,0.9820019649374415,0.4814865344211302,Interprets displayed x/y km offsets as absolute UTM-like km for the full tempRes grid.,
AXES_FILIPA_ABS_KM_FULL__EPSG_32629_UTM29N_formula__edges__x_flipped__y_normal,relative_km_display_assumed_filipa_xy_km_cropped_v1 manifest offsets + full geometry,EPSG_32629_UTM29N_formula,edges,flipped,normal,physical_axes_absolute_utm,True,462.2448856527453,516.6095005622074,4376.409605587984,4428.019909673865,"[-9.442315136159028, -8.805411348003915, 39.53651932072584, 40.00220344005219]",False,0.5777832383020182,0.3977051871881495,18.744645789629157,0.9881152374347317,0.9820019649374415,0.4423040192092554,Interprets displayed x/y km offsets as absolute UTM-like km for the full tempRes grid.,
AXES_FILIPA_ABS_KM_FULL__EPSG_32629_UTM29N_formula__edges__x_flipped__y_flipped,relative_km_display_assumed_filipa_xy_km_cropped_v1 manifest offsets + full geometry,EPSG_32629_UTM29N_formula,edges,flipped,flipped,physical_axes_absolute_utm,True,462.2448856527453,516.6095005622074,4376.409605587984,4428.019909673865,"[-9.442315136159028, -8.805411348003915, 39.53651932072584, 40.00220344005219]",False,0.5777832383020182,0.3977051871881495,18.744645789629157,0.9881152374347317,0.9820019649374415,0.4814865344211302,Interprets displayed x/y km offsets as absolute UTM-like km for the full tempRes grid.,
AXES_FILIPA_DISPLAY_CROP_AS_FULL__EPSG_32629_UTM29N_formula__centers__x_normal__y_normal,Filipa cropped image displayed km bbox,EPSG_32629_UTM29N_formula,centers,normal,normal,physical_axes_crop_as_full,True,462.0,492.6393868948385,4376.0,4396.805363199146,"[-9.443370300300174, -9.085650697122853, 39.53281786288449, 39.7210913896249]",True,1.0,0.22045633928683084,2.3551082256235087,0.5568924769699527,0.39586876893421813,0.3024429102496017,Stress-test: interprets the displayed crop km extent as if it described the full tempRes grid.,
AXES_FILIPA_DISPLAY_CROP_AS_FULL__EPSG_32629_UTM29N_formula__centers__x_normal__y_flipped,Filipa cropped image displayed km bbox,EPSG_32629_UTM29N_formula,centers,normal,flipped,physical_axes_crop_as_full,True,462.0,492.6393868948385,4376.0,4396.805363199146,"[-9.443370300300174, -9.085650697122853, 39.53281786288449, 39.7210913896249]",True,1.0,0.22045633928683084,2.3551082256235087,0.5568924769699527,0.39586876893421813,0.29140075004934535,Stress-test: interprets the displayed crop km extent as if it described the full tempRes grid.,
AXES_FILIPA_DISPLAY_CROP_AS_FULL__EPSG_32629_UTM29N_formula__centers__x_flipped__y_normal,Filipa cropped image displayed km bbox,EPSG_32629_UTM29N_formula,centers,flipped,normal,physical_axes_crop_as_full,True,462.0,492.6393868948385,4376.0,4396.805363199146,"[-9.443370300300174, -9.085650697122853, 39.53281786288449, 39.7210913896249]",True,1.0,0.22045633928683084,2.3551082256235087,0.5568924769699527,0.39586876893421813,0.29113757484045005,Stress-test: interprets the displayed crop km extent as if it described the full tempRes grid.,
AXES_FILIPA_DISPLAY_CROP_AS_FULL__EPSG_32629_UTM29N_formula__centers__x_flipped__y_flipped,Filipa cropped image displayed km bbox,EPSG_32629_UTM29N_formula,centers,flipped,flipped,physical_axes_crop_as_full,True,462.0,492.6393868948385,4376.0,4396.805363199146,"[-9.443370300300174, -9.085650697122853, 39.53281786288449, 39.7210913896249]",True,1.0,0.22045633928683084,2.3551082256235087,0.5568924769699527,0.39586876893421813,0.2915652345549049,Stress-test: interprets the displayed crop km extent as if it described the full tempRes grid.,
AXES_FILIPA_DISPLAY_CROP_AS_FULL__EPSG_32629_UTM29N_formula__edges__x_normal__y_normal,Filipa cropped image displayed km bbox,EPSG_32629_UTM29N_formula,edges,normal,normal,physical_axes_crop_as_full,True,462.1367829772091,492.50260391762936,4376.162541899993,4396.642821299153,"[-9.441765066482887, -9.087244183754605, 39.534288451403626, 39.719625658510935]",True,1.0,0.21507410444096958,2.3551082256235087,0.5519202227112916,0.3896833194196372,0.29802841210833775,Stress-test: interprets the displayed crop km extent as if it described the full tempRes grid.,
AXES_FILIPA_DISPLAY_CROP_AS_FULL__EPSG_32629_UTM29N_formula__edges__x_normal__y_flipped,Filipa cropped image displayed km bbox,EPSG_32629_UTM29N_formula,edges,normal,flipped,physical_axes_crop_as_full,True,462.1367829772091,492.50260391762936,4376.162541899993,4396.642821299153,"[-9.441765066482887, -9.087244183754605, 39.534288451403626, 39.719625658510935]",True,1.0,0.21507410444096958,2.3551082256235087,0.5519202227112916,0.3896833194196372,0.28734610573441305,Stress-test: interprets the displayed crop km extent as if it described the full tempRes grid.,
AXES_FILIPA_DISPLAY_CROP_AS_FULL__EPSG_32629_UTM29N_formula__edges__x_flipped__y_normal,Filipa cropped image displayed km bbox,EPSG_32629_UTM29N_formula,edges,flipped,normal,physical_axes_crop_as_full,True,462.1367829772091,492.50260391762936,4376.162541899993,4396.642821299153,"[-9.441765066482887, -9.087244183754605, 39.534288451403626, 39.719625658510935]",True,1.0,0.21507410444096958,2.3551082256235087,0.5519202227112916,0.3896833194196372,0.2873790242938969,Stress-test: interprets the displayed crop km extent as if it described the full tempRes grid.,
AXES_FILIPA_DISPLAY_CROP_AS_FULL__EPSG_32629_UTM29N_formula__edges__x_flipped__y_flipped,Filipa cropped image displayed km bbox,EPSG_32629_UTM29N_formula,edges,flipped,flipped,physical_axes_crop_as_full,True,462.1367829772091,492.50260391762936,4376.162541899993,4396.642821299153,"[-9.441765066482887, -9.087244183754605, 39.534288451403626, 39.719625658510935]",True,1.0,0.21507410444096958,2.3551082256235087,0.5519202227112916,0.3896833194196372,0.28734610573441305,Stress-test: interprets the displayed crop km extent as if it described the full tempRes grid.,
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__EPSG_32629_UTM29N_formula__centers__x_normal__y_normal,relative_km_display_assumed geometry shifted to HRes projected minimum,EPSG_32629_UTM29N_formula,centers,normal,normal,physical_axes_relative_offset_fit,True,452.15778871986294,507.0121749348157,4359.933492255357,4412.363007517206,"[-9.559335117195056, -8.918017129018867, 39.387563077357015, 39.86127055439582]",True,1.0,0.9946136649244043,0.10366348328287242,0.9970171765107214,0.9975892977142422,0.7230873065612495,Interprets axes as relative km and chooses the offset that aligns their minimum with the HRes projected minimum.,
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__EPSG_32629_UTM29N_formula__centers__x_normal__y_flipped,relative_km_display_assumed geometry shifted to HRes projected minimum,EPSG_32629_UTM29N_formula,centers,normal,flipped,physical_axes_relative_offset_fit,True,452.15778871986294,507.0121749348157,4359.933492255357,4412.363007517206,"[-9.559335117195056, -8.918017129018867, 39.387563077357015, 39.86127055439582]",True,1.0,0.9946136649244043,0.10366348328287242,0.9970171765107214,0.9975892977142422,0.7149092304371808,Interprets axes as relative km and chooses the offset that aligns their minimum with the HRes projected minimum.,
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__EPSG_32629_UTM29N_formula__centers__x_flipped__y_normal,relative_km_display_assumed geometry shifted to HRes projected minimum,EPSG_32629_UTM29N_formula,centers,flipped,normal,physical_axes_relative_offset_fit,True,452.15778871986294,507.0121749348157,4359.933492255357,4412.363007517206,"[-9.559335117195056, -8.918017129018867, 39.387563077357015, 39.86127055439582]",True,1.0,0.9946136649244043,0.10366348328287242,0.9970171765107214,0.9975892977142422,0.6622268712226871,Interprets axes as relative km and chooses the offset that aligns their minimum with the HRes projected minimum.,
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__EPSG_32629_UTM29N_formula__centers__x_flipped__y_flipped,relative_km_display_assumed geometry shifted to HRes projected minimum,EPSG_32629_UTM29N_formula,centers,flipped,flipped,physical_axes_relative_offset_fit,True,452.15778871986294,507.0121749348157,4359.933492255357,4412.363007517206,"[-9.559335117195056, -8.918017129018867, 39.387563077357015, 39.86127055439582]",True,1.0,0.9946136649244043,0.10366348328287242,0.9970171765107214,0.9975892977142422,0.6637377963737796,Interprets axes as relative km and chooses the offset that aligns their minimum with the HRes projected minimum.,
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__EPSG_32629_UTM29N_formula__edges__x_normal__y_normal,relative_km_display_assumed geometry shifted to HRes projected minimum,EPSG_32629_UTM29N_formula,edges,normal,normal,physical_axes_relative_offset_fit,True,452.40267437260826,506.76728928207035,4360.343097843341,4411.953401929222,"[-9.556442420189484, -8.920884446065298, 39.3912673018739, 39.8575819906944]",True,1.0,0.9703311047455702,0.10366348328287242,0.9881152374347328,0.9820019649374415,0.7159769078995445,Interprets axes as relative km and chooses the offset that aligns their minimum with the HRes projected minimum.,
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__EPSG_32629_UTM29N_formula__edges__x_normal__y_flipped,relative_km_display_assumed geometry shifted to HRes projected minimum,EPSG_32629_UTM29N_formula,edges,normal,flipped,physical_axes_relative_offset_fit,True,452.40267437260826,506.76728928207035,4360.343097843341,4411.953401929222,"[-9.556442420189484, -8.920884446065298, 39.3912673018739, 39.8575819906944]",True,1.0,0.9703311047455702,0.10366348328287242,0.9881152374347328,0.9820019649374415,0.7084859214706667,Interprets axes as relative km and chooses the offset that aligns their minimum with the HRes projected minimum.,
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__EPSG_32629_UTM29N_formula__edges__x_flipped__y_normal,relative_km_display_assumed geometry shifted to HRes projected minimum,EPSG_32629_UTM29N_formula,edges,flipped,normal,physical_axes_relative_offset_fit,True,452.40267437260826,506.76728928207035,4360.343097843341,4411.953401929222,"[-9.556442420189484, -8.920884446065298, 39.3912673018739, 39.8575819906944]",True,1.0,0.9703311047455702,0.10366348328287242,0.9881152374347328,0.9820019649374415,0.6570359739312519,Interprets axes as relative km and chooses the offset that aligns their minimum with the HRes projected minimum.,
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__EPSG_32629_UTM29N_formula__edges__x_flipped__y_flipped,relative_km_display_assumed geometry shifted to HRes projected minimum,EPSG_32629_UTM29N_formula,edges,flipped,flipped,physical_axes_relative_offset_fit,True,452.40267437260826,506.76728928207035,4360.343097843341,4411.953401929222,"[-9.556442420189484, -8.920884446065298, 39.3912673018739, 39.8575819906944]",True,1.0,0.9703311047455702,0.10366348328287242,0.9881152374347328,0.9820019649374415,0.6565889466625885,Interprets axes as relative km and chooses the offset that aligns their minimum with the HRes projected minimum.,
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__local_azimuthal_equidistant_spherical__centers__x_normal__y_normal,relative_km_display_assumed geometry shifted to HRes projected minimum,local_azimuthal_equidistant_spherical,centers,normal,normal,physical_axes_relative_offset_fit,True,-27.45236823562533,27.40201797932741,-26.254345960386647,26.17516930146206,"[-9.557737410511201, -8.915074805772255, 39.38845112287713, 39.85995759237815]",True,1.0,0.9966548251354894,0.06864914928156321,0.9990829524093011,0.9975696439740129,0.7178447137885515,Interprets axes as relative km and chooses the offset that aligns their minimum with the HRes projected minimum.,
