run_id,command,returncode,runtime_s,runtime_source,status,error,input_nc,solver_status,solver_runtime_s,solver_gap,run_dir,path,temperr_shape,finite_cells,temperr_min,temperr_max,landt_valid_cells
C06_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,C:\Users\pedro\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__071753d959.nc,0,1182.9569596000074,,SUCCESS,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__071753d959.nc,SUCCESS,1182.9569596000074,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__071753d959,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__071753d959.nc,"[180, 240]",8004.0,0.0,1.0,8004.0
C06_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,C:\Users\pedro\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__094125d47e.nc,0,1351.7671548000071,,SUCCESS,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__094125d47e.nc,SUCCESS,1351.7671548000071,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__094125d47e,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__094125d47e.nc,"[180, 240]",8004.0,0.0,1.0,8004.0
C06_representative__proxy_12h__vehicle_specific_5050__AUV1_region_A,C:\Users\pedro\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__a4ed6b0504.nc,0,1030.2779692999902,,SUCCESS,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__a4ed6b0504.nc,SUCCESS,1030.2779692999902,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__a4ed6b0504,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__a4ed6b0504.nc,"[180, 240]",8004.0,0.0,1.0,8004.0
C06_representative__proxy_12h__vehicle_specific_5050__AUV2_region_B,C:\Users\pedro\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__b081fc7bd5.nc,0,1625.4384646000108,,SUCCESS,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__b081fc7bd5.nc,SUCCESS,1625.4384646000108,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__b081fc7bd5,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__b081fc7bd5.nc,"[180, 240]",8004.0,0.0,1.0,8004.0
C06_representative__proxy_12h__vehicle_specific_00100__AUV1_region_A,C:\Users\pedro\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__e81ef6cd91.nc,0,117.37173999997322,,SUCCESS,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__e81ef6cd91.nc,SUCCESS,117.37173999997322,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__e81ef6cd91,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__e81ef6cd91.nc,"[180, 240]",8004.0,0.0,1.0,8004.0
C06_representative__proxy_12h__vehicle_specific_00100__AUV2_region_B,C:\Users\pedro\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__8190f85389.nc,0,163.9549021999992,,SUCCESS,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__8190f85389.nc,SUCCESS,163.9549021999992,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__8190f85389,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__8190f85389.nc,"[180, 240]",8004.0,0.0,1.0,8004.0
C06_representative__proxy_12h__vehicle_specific_6040__AUV1_region_A,C:\Users\pedro\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__bae7476859.nc,0,1378.7182251999911,,SUCCESS,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__bae7476859.nc,SUCCESS,1378.7182251999911,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__bae7476859,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__bae7476859.nc,"[180, 240]",8004.0,0.0,1.0,8004.0
C06_representative__proxy_12h__vehicle_specific_6040__AUV2_region_B,C:\Users\pedro\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__0c98ac79ea.nc,0,1672.9667579000234,,SUCCESS,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__0c98ac79ea.nc,SUCCESS,1672.9667579000234,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__0c98ac79ea,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__0c98ac79ea.nc,"[180, 240]",8004.0,0.0,1.0,8004.0
C06_representative__proxy_12h__vehicle_specific_2575__AUV1_region_A,C:\Users\pedro\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__14144c3434.nc,0,721.8224268000049,,SUCCESS,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__14144c3434.nc,SUCCESS,721.8224268000049,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__14144c3434,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__14144c3434.nc,"[180, 240]",8004.0,0.0,1.0,8004.0
C06_representative__proxy_12h__vehicle_specific_2575__AUV2_region_B,C:\Users\pedro\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__16f04bc50a.nc,0,687.7151318000106,,SUCCESS,,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__16f04bc50a.nc,SUCCESS,687.7151318000106,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_runs\C06_representative__prox__16f04bc50a,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260608_163658\planner_inputs\C06_representative__prox__16f04bc50a.nc,"[180, 240]",8004.0,0.0,1.0,8004.0
