run_id,strategy,base_strategy,case_id,mission_duration_requested_h,role_assignment,w_STD,w_region,w_boundary,solver_status,solver_runtime,fleet_collected_STD,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,region_A_coverage,region_B_coverage,region_balance,regime_specialization_score,inter_vehicle_mean_distance,inter_vehicle_min_distance,inter_vehicle_mean_distance_cells,inter_vehicle_min_distance_cells,trajectory_overlap_ratio,duplicate_sampled_cells,fleet_total_area_covered,auv1_total_reward,auv2_total_reward_original_map,auv2_total_reward_penalized_map,fleet_total_reward,reward_loss_due_to_penalty,overlap_penalty_enabled,lambda_overlap,lambda_proximity,proximity_sigma_cells,proximity_radius_cells,penalty_mode,auv2_original_map_file,auv2_penalized_map_file,auv1_visited_mask_file,auv1_proximity_penalty_file,complementarity_score,baseline_fleet_STD,baseline_runtime,STD_retention,STD_loss_relative_to_baseline,region_B_coverage_gain,runtime_score,recommendation_score
C06_representative__proxy_12h__vehicle_specific_8020,vehicle_specific_8020,vehicle_specific_8020,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.8,0.2,0.0,SUCCESS,1898.4287295341492,163.88602447509766,232.37088775634766,0.06429026098026734,0.0,0.06429026098026734,0.0,0.0,0.25827813148498535,5.290368290335162,0.0,5.290368290335162,0.0,0.0657439446366782,19,289,83.46161350607872,78.92619404196739,78.92619404196739,162.3878075480461,0.0,False,0.0,0.0,,,,,,,,0.32063513805517035,158.3267364501953,1288.429771900177,1.0351127557451494,-0.03511275574514938,0.0,0.0005264740837342491,0.4556413822610607
C06_representative__proxy_12h__vehicle_specific_7030,vehicle_specific_7030,vehicle_specific_7030,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.7,0.3,0.0,SUCCESS,2534.7241144000145,126.74796295166016,159.5775146484375,0.049013367281986,0.03702180172768408,0.049013367281986,0.03702180172768408,0.8606201894837435,0.5594119131565094,30.668181204252278,0.0,30.668181204252278,0.0,0.003355704697986577,1,298,83.36751464009285,70.91082424856722,70.91082424856722,154.27833888866007,0.0,False,0.0,0.0,,,,,,,,0.5482193896905767,158.3267364501953,1288.429771900177,0.8005468046234322,0.1994531953765678,0.03702180172768408,0.000394364668585649,0.5470480411622576
C06_representative__proxy_12h__vehicle_specific_5050,vehicle_specific_5050,vehicle_specific_5050,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.5,0.5,0.0,SUCCESS,2655.716433900001,119.86408615112305,158.31459045410156,0.050922978994271166,0.03948992184286302,0.050922978994271166,0.03948992184286302,0.8735461748760484,0.5875503718852997,28.5269228818203,0.0,28.5269228818203,0.0,0.003355704697986577,1,298,79.83117984235287,80.62804110429715,80.62804110429715,160.45922094665002,0.0,False,0.0,0.0,,,,,,,,0.5587251083212325,158.3267364501953,1288.429771900177,0.757067876459568,0.24293212354043203,0.03948992184286302,0.0003764044921166171,0.5415407850180581
C06_representative__proxy_12h__vehicle_specific_00100,vehicle_specific_00100,vehicle_specific_00100,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.0,1.0,0.0,SUCCESS,281.3266421999724,124.23969268798828,175.57563018798828,0.042011457670273714,0.03455368161250514,0.042011457670273714,0.03455368161250514,0.9025956704627064,0.4942857176065445,31.86569404587433,0.0,31.86569404587433,0.0,0.0033003300330033004,1,303,66.0,84.0,84.0,150.0,0.0,False,0.0,0.0,,,,,,,,0.5349334962117639,158.3267364501953,1288.429771900177,0.7847044376302813,0.2152955623697187,0.03455368161250514,0.0035419965760500154,0.5330135290852924
C06_representative__proxy_12h__vehicle_specific_6040,vehicle_specific_6040,vehicle_specific_6040,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.6,0.4,0.0,SUCCESS,3051.6849831000145,135.60111236572266,172.77516174316406,0.052196053469127944,0.03825586178527355,0.052196053469127944,0.03825586178527355,0.8458828467628711,0.5511633455753326,30.580362874456007,0.0,30.580362874456007,0.0,0.0031545741324921135,1,317,88.17058250308037,77.85325104929507,77.85325104929507,166.02383355237544,0.0,False,0.0,0.0,,,,,,,,0.5455427902141813,158.3267364501953,1288.429771900177,0.8564637622552055,0.14353623774479451,0.03825586178527355,0.00032758047605177255,0.5610249695247871
C06_representative__proxy_12h__vehicle_specific_2575,vehicle_specific_2575,vehicle_specific_2575,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.25,0.75,0.0,SUCCESS,1409.5375586000155,117.21375274658203,158.8293342590332,0.05028644175684278,0.04113533525298231,0.05028644175684278,0.04113533525298231,0.8999023339605727,0.5968861877918243,30.280007434619563,0.0,30.280007434619563,0.0,0.003355704697986577,1,298,78.06705240905285,92.91273891925812,92.91273891925812,170.97979132831097,0.0,False,0.0,0.0,,,,,,,,0.5653655928209842,158.3267364501953,1288.429771900177,0.740328231192044,0.25967176880795595,0.04113533525298231,0.0007089495730922035,0.5414496511341369
October_control__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,October_control,12.0,shared_STD,1.0,0.0,0.0,SUCCESS,1217.13453879999,181.98470306396484,0.0,0.03935532233883059,0.03935532233883059,0.03935532233883059,0.03935532233883059,1.0,0.0,12.582840696932426,0.0,12.582840696932426,0.0,0.022222222222222223,7,315,,,,,,False,0.0,0.0,,,,,,,,0.42199317008162585,181.98470306396484,1217.13453879999,1.0,0.0,0.0,0.0008209273837560841,0.5076576547316732
October_control__proxy_12h__vehicle_specific_9010,vehicle_specific_9010,vehicle_specific_9010,October_control,12.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,3300.2549707000144,177.18678283691406,0.0,0.01924037981009495,0.01924037981009495,0.01924037981009495,0.01924037981009495,1.0,0.0,0.0,0.0,0.0,0.0,1.0,154,154,88.5933868587017,88.5933868587017,88.5933868587017,177.1867737174034,0.0,False,0.0,0.0,,,,,,,,0.16346826586706645,181.98470306396484,1217.13453879999,0.9736355850449453,0.026364414955054705,-0.020114942528735635,0.0003029151061870132,0.3969159162213166
October_control__proxy_12h__vehicle_specific_8020,vehicle_specific_8020,vehicle_specific_8020,October_control,12.0,AUV1=region_A;AUV2=region_B,0.8,0.2,0.0,SUCCESS,3324.691735500004,177.18678283691406,0.0,0.01924037981009495,0.01924037981009495,0.01924037981009495,0.01924037981009495,1.0,0.0,0.0,0.0,0.0,0.0,1.0,154,154,88.5933872461319,88.5933872461319,88.5933872461319,177.1867744922638,0.0,False,0.0,0.0,,,,,,,,0.16346826586706645,181.98470306396484,1217.13453879999,0.9736355850449453,0.026364414955054705,-0.020114942528735635,0.00030068932406618684,0.39691580493221057
October_control__proxy_12h__vehicle_specific_7030,vehicle_specific_7030,vehicle_specific_7030,October_control,12.0,AUV1=region_A;AUV2=region_B,0.7,0.3,0.0,SUCCESS,3337.422007999994,177.18678283691406,0.0,0.01924037981009495,0.01924037981009495,0.01924037981009495,0.01924037981009495,1.0,0.0,0.0,0.0,0.0,0.0,1.0,154,154,88.59338682889938,88.59338682889938,88.59338682889938,177.18677365779877,0.0,False,0.0,0.0,,,,,,,,0.16346826586706645,181.98470306396484,1217.13453879999,0.9736355850449453,0.026364414955054705,-0.020114942528735635,0.00029954271736876283,0.3969157476018757
