dictionary_size,patch_w,patch_h,seed,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
5,40,24,11,True,concat,raw,3822,1414140,1920,19110,4,"[115, 95, 74, 86]",2133.430908203125,2601.62646484375,1625.4066162109375,1165.292236328125,1881.4390563964844,538.6531061323969,74,92.5,115,967.4438762999998,ok
5,40,24,23,True,concat,raw,3822,1414140,1920,19110,4,"[170, 41, 94, 65]",2719.91162109375,1591.13916015625,1841.26220703125,1861.5548095703125,2003.4669494628904,427.1289639145761,41,92.5,170,803.4295782000008,ok
5,40,24,37,True,concat,raw,3822,1414140,1920,19110,4,"[122, 148, 48, 52]",2453.87841796875,1499.601806640625,1306.70458984375,616.6181640625,1469.2007446289062,656.4709441305538,48,92.5,148,830.3574899999985,ok
5,40,24,53,True,concat,raw,3822,1414140,1920,19110,4,"[34, 142, 129, 65]",1297.301025390625,1715.7354736328125,2934.16162109375,1420.381591796875,1841.894927978516,648.6946022830352,34,92.5,142,954.0403358000004,ok
5,40,24,71,True,concat,raw,3822,1414140,1920,19110,4,"[131, 115, 69, 55]",2714.345703125,762.0068969726562,2134.187255859375,703.697509765625,1578.559341430664,870.4702978502355,55,92.5,131,806.4186582000002,ok
6,40,24,11,True,concat,raw,3822,1414140,1920,22932,4,"[96, 115, 67, 92]",616.6392822265625,3284.993408203125,1175.7191162109375,2025.7830810546875,1775.783721923828,1005.4733860022786,67,92.5,115,1072.4949554000011,ok
6,40,24,23,True,concat,raw,3822,1414140,1920,22932,4,"[151, 89, 118, 12]",3865.689697265625,1291.3172607421875,2183.731201171875,607.1224365234375,1986.9651489257808,1220.2678705058383,12,92.5,151,1131.829389100003,ok
6,40,24,37,True,concat,raw,3822,1414140,1920,22932,4,"[171, 64, 48, 87]",2739.64111328125,1655.12060546875,1325.671142578125,1634.455078125,1838.7219848632808,536.2627337469249,48,92.5,171,1009.498770500002,ok
6,40,24,53,True,concat,raw,3822,1414140,1920,22932,4,"[62, 101, 156, 51]",1815.598388671875,1912.4796142578125,1824.82177734375,592.19287109375,1536.2731628417969,546.3748200800732,51,92.5,156,1129.8213372000027,ok
6,40,24,71,True,concat,raw,3822,1414140,1920,22932,4,"[134, 118, 66, 52]",2837.235107421875,813.3107299804688,2080.357177734375,616.6181640625,1586.8802947998047,914.7028295293044,52,92.5,134,973.8861143000032,ok
7,40,24,11,True,concat,raw,3822,1414140,1920,26754,4,"[115, 81, 84, 90]",2319.38818359375,493.9647216796875,1676.884765625,2409.662109375,1724.9749450683594,764.823908907605,81,92.5,115,1226.0236425000005,ok
7,40,24,23,True,concat,raw,3822,1414140,1920,26754,4,"[143, 54, 160, 13]",3572.275390625,1068.845458984375,2624.8662109375,637.418701171875,1975.8514404296875,1181.5087440418354,13,92.5,160,1157.1887438999984,ok
7,40,24,37,True,concat,raw,3822,1414140,1920,26754,4,"[170, 63, 49, 88]",2719.91162109375,1632.2109375,1326.299560546875,1650.9599609375,1832.3455200195312,528.3963164705209,49,92.5,170,1190.8886241999971,ok
7,40,24,53,True,concat,raw,3822,1414140,1920,26754,4,"[62, 50, 158, 100]",1815.598388671875,575.0865478515625,1869.27001953125,1886.9849853515625,1536.7349853515625,555.8298135478307,50,92.5,158,1443.4321939999973,ok
7,40,24,71,True,concat,raw,3822,1414140,1920,26754,4,"[148, 52, 52, 118]",3201.21875,616.6181640625,1496.2764892578125,813.3107299804688,1531.8560333251953,1017.595879275168,52,92.5,148,1146.5468328999996,ok
8,40,24,11,True,concat,raw,3822,1414140,1920,30576,4,"[142, 116, 48, 64]",4084.513916015625,863.1673583984375,544.307861328125,1249.0,1685.2472839355469,1407.5111220328668,48,92.5,142,1371.9669264999975,ok
8,40,24,23,True,concat,raw,3822,1414140,1920,30576,4,"[164, 69, 90, 47]",2645.342529296875,2445.867431640625,1679.519287109375,1042.321044921875,1953.2625732421875,637.6488192594221,47,92.5,164,1379.4930469000028,ok
8,40,24,37,True,concat,raw,3822,1414140,1920,30576,4,"[170, 63, 49, 88]",2719.91162109375,1632.2109375,1326.299560546875,1650.9599609375,1832.3455200195312,528.3963164705209,49,92.5,170,1300.7342454000027,ok
8,40,24,53,True,concat,raw,3822,1414140,1920,30576,4,"[88, 101, 120, 61]",1791.3123779296875,2736.62060546875,2210.173828125,703.97412109375,1860.5202331542969,747.0271305971119,61,92.5,120,1502.528073900001,ok
8,40,24,71,True,concat,raw,3822,1414140,1920,30576,4,"[169, 125, 12, 64]",2705.666259765625,2520.90771484375,669.3222045898438,1557.20947265625,1863.2764129638672,815.6750589006363,12,92.5,169,1420.735478299997,ok
9,40,24,11,True,concat,raw,3822,1414140,1920,34398,4,"[142, 126, 40, 62]",4084.513916015625,1096.6171875,438.78167724609375,1217.6744384765625,1709.3968048095703,1402.9374397384172,40,92.5,142,1639.463456599995,ok
9,40,24,23,True,concat,raw,3822,1414140,1920,34398,4,"[101, 172, 61, 36]",1983.6806640625,2761.79345703125,1665.59912109375,1410.708984375,1955.445556640625,507.8737655949619,36,92.5,172,1539.8044512999986,ok
9,40,24,37,True,concat,raw,3822,1414140,1920,34398,4,"[101, 100, 113, 56]",2000.7640380859373,1307.819091796875,2109.143798828125,1494.44091796875,1728.041961669922,335.69802249664696,56,92.5,113,1516.231571000004,ok
9,40,24,53,True,concat,raw,3822,1414140,1920,34398,4,"[143, 100, 42, 85]",2034.80419921875,2131.043701171875,1250.825439453125,1698.0784912109375,1778.687957763672,344.5601628833825,42,92.5,143,1790.3634237000006,ok
9,40,24,71,True,concat,raw,3822,1414140,1920,34398,4,"[116, 87, 111, 56]",1724.591064453125,1725.5765380859375,2079.0810546875,1725.102783203125,1813.5878601074216,153.2829635378608,56,92.5,116,1505.7098994999978,ok
10,40,24,11,True,concat,raw,3822,1414140,1920,38220,4,"[153, 129, 40, 48]",4439.52197265625,1121.584716796875,438.78167724609375,1105.67919921875,1776.3918914794922,1562.057206544108,40,92.5,153,1848.4932006000015,ok
10,40,24,23,True,concat,raw,3822,1414140,1920,38220,4,"[155, 108, 45, 62]",1907.1552734375,2172.76806640625,1242.1641845703125,1007.4375610351562,1582.3812713623047,474.4319383157553,45,92.5,155,1789.391562900004,ok
10,40,24,37,True,concat,raw,3822,1414140,1920,38220,4,"[119, 83, 112, 56]",2678.43505859375,933.7452392578124,2097.07470703125,1494.44091796875,1800.9239807128906,652.621977465355,56,92.5,119,1784.6880708000026,ok
10,40,24,53,True,concat,raw,3822,1414140,1920,38220,4,"[110, 90, 56, 114]",715.6306762695312,1979.759521484375,752.2675170898438,3372.584228515625,1705.0604858398438,1088.9077993495666,56,92.5,114,1962.3325293000016,ok
10,40,24,71,True,concat,raw,3822,1414140,1920,38220,4,"[99, 104, 117, 50]",1337.955322265625,2845.85888671875,2162.901123046875,1366.0780029296875,1928.1983337402344,624.8104449963859,50,92.5,117,1664.3006106999965,ok
11,40,24,11,True,concat,raw,3822,1414140,1920,42042,4,"[132, 102, 76, 60]",1450.8675537109375,2725.23486328125,1378.1845703125,3017.435302734375,2142.9305725097656,736.1427307427796,60,92.5,132,2227.5162077999994,ok
11,40,24,23,True,concat,raw,3822,1414140,1920,42042,4,"[128, 169, 58, 15]",2604.54638671875,2707.02978515625,1836.54052734375,978.2779541015624,2031.598663330078,694.9835406273567,15,92.5,169,1961.093685,ok
11,40,24,37,True,concat,raw,3822,1414140,1920,42042,4,"[129, 88, 84, 69]",1638.943115234375,1661.181640625,1676.884765625,1940.166259765625,1729.2939453125,122.49123811928686,69,92.5,129,1844.123080800004,ok
11,40,24,53,True,concat,raw,3822,1414140,1920,42042,4,"[161, 128, 49, 32]",3795.96923828125,1286.2381591796875,1516.859130859375,300.0816345214844,1724.7870407104492,1280.1504137351587,32,92.5,161,2015.3690206999963,ok
11,40,24,71,True,concat,raw,3822,1414140,1920,42042,4,"[111, 76, 117, 66]",1703.742919921875,1472.2071533203125,2162.901123046875,1799.681396484375,1784.6331481933594,248.7299448591956,66,92.5,117,1683.4082410999981,ok
12,40,24,11,True,concat,raw,3822,1414140,1920,45864,4,"[149, 60, 121, 40]",4328.5263671875,897.793212890625,1725.255615234375,506.3407897949219,1864.4789962768555,1489.121669611618,40,92.5,149,1953.9397343000019,ok
12,40,24,23,True,concat,raw,3822,1414140,1920,45864,4,"[105, 107, 63, 95]",3430.882568359375,697.14990234375,1047.6292724609375,1841.674560546875,1754.3340759277344,1053.032913047808,63,92.5,107,1500.9203453999944,ok
12,40,24,37,True,concat,raw,3822,1414140,1920,45864,4,"[140, 119, 51, 60]",3026.659912109375,834.9630126953125,592.19287109375,1606.236083984375,1515.0129699707031,949.6661273164741,51,92.5,140,1623.93332679999,ok
12,40,24,53,True,concat,raw,3822,1414140,1920,45864,4,"[66, 149, 51, 104]",8007.56396484375,1871.6026611328125,1845.9200439453125,2126.59228515625,3462.9197387695312,2626.144524750598,51,92.5,149,1657.6231748999999,ok
12,40,24,71,True,concat,raw,3822,1414140,1920,45864,4,"[99, 106, 117, 48]",1337.955322265625,2215.661376953125,2162.901123046875,1281.0382080078125,1749.3890075683594,440.7471897102673,48,92.5,117,1266.2717434000078,ok
