stage,x0,y0,w,h,x1,y1,scale_x_idx_per_outpix,scale_y_idx_per_outpix,iou,dice,hamming,intersection,union,target_sum,pred_sum
stage3,48,57,132,74,179,130,1.1801801801801801,1.1587301587301588,0.9806145893164848,0.9902124265931994,0.018833705357142856,6829,6964,6925,6868
stage3,47,57,133,74,179,130,1.1891891891891893,1.1587301587301588,0.9806145893164848,0.9902124265931994,0.018833705357142856,6829,6964,6925,6868
stage3,46,57,134,74,179,130,1.1981981981981982,1.1587301587301588,0.9806145893164848,0.9902124265931994,0.018833705357142856,6829,6964,6925,6868
stage3,45,57,135,74,179,130,1.2072072072072073,1.1587301587301588,0.9806145893164848,0.9902124265931994,0.018833705357142856,6829,6964,6925,6868
stage3,42,58,130,74,171,131,1.162162162162162,1.1587301587301588,0.9806003964882469,0.9902051905340673,0.019112723214285716,6925,7062,6925,7062
stage3,48,57,132,69,179,125,1.1801801801801801,1.0793650793650793,0.9805783340526543,0.9901939420353018,0.018833705357142856,6816,6951,6925,6842
stage3,48,56,132,71,179,126,1.1801801801801801,1.1111111111111112,0.9805783340526543,0.9901939420353018,0.018833705357142856,6816,6951,6925,6842
stage3,47,57,133,69,179,125,1.1891891891891893,1.0793650793650793,0.9805783340526543,0.9901939420353018,0.018833705357142856,6816,6951,6925,6842
stage3,47,56,133,71,179,126,1.1891891891891893,1.1111111111111112,0.9805783340526543,0.9901939420353018,0.018833705357142856,6816,6951,6925,6842
stage3,46,57,134,69,179,125,1.1981981981981982,1.0793650793650793,0.9805783340526543,0.9901939420353018,0.018833705357142856,6816,6951,6925,6842
stage3,46,56,134,71,179,126,1.1981981981981982,1.1111111111111112,0.9805783340526543,0.9901939420353018,0.018833705357142856,6816,6951,6925,6842
stage3,45,57,135,69,179,125,1.2072072072072073,1.0793650793650793,0.9805783340526543,0.9901939420353018,0.018833705357142856,6816,6951,6925,6842
stage3,45,56,135,71,179,126,1.2072072072072073,1.1111111111111112,0.9805783340526543,0.9901939420353018,0.018833705357142856,6816,6951,6925,6842
stage3,50,55,130,74,179,128,1.162162162162162,1.1587301587301588,0.9805587557603687,0.9901839598633025,0.018833705357142856,6809,6944,6925,6828
stage3,49,55,131,74,179,128,1.1711711711711712,1.1587301587301588,0.9805587557603687,0.9901839598633025,0.018833705357142856,6809,6944,6925,6828
stage3,48,56,132,66,179,121,1.1801801801801801,1.0317460317460319,0.9805419429230325,0.9901753875263809,0.018833705357142856,6803,6938,6925,6816
