z,old_mean,new_mean,old_std,new_std,old_valid_count,new_valid_count,spatial_overlap_count_oldgrid,spatial_corr_old_vs_newResampled,spatial_rmse,spatial_bias_new_minus_old
28,15.955772399902344,16.055356979370117,0.10671038925647736,0.4905998706817627,6925,7898,6098,0.4026788076066031,0.47152411937713623,0.08252879977226257
29,15.956583976745605,16.0528507232666,0.06834972649812698,0.4849010407924652,6925,7898,6098,0.042420676086665096,0.49844664335250854,0.08334075659513474
30,15.883220672607422,16.057580947875977,0.09108662605285645,0.4880755543708801,6925,7898,6098,-0.06910168585696448,0.5275022983551025,0.15017148852348328
31,15.788249015808105,16.021240234375,0.09876082092523575,0.5000194311141968,6925,7898,6098,0.09648029004570731,0.5453283190727234,0.20912568271160126
32,15.760424613952637,16.027910232543945,0.19984693825244904,0.5043193101882935,6925,7898,6098,0.026738243336200177,0.592028021812439,0.23826883733272552
33,15.925315856933594,16.028894424438477,0.3170565068721771,0.47954264283180237,6925,7898,6098,0.18735077719671098,0.5310705304145813,0.06280151009559631
34,16.004562377929688,16.03236198425293,0.38384243845939636,0.48800453543663025,6925,7898,6098,0.09449763399503404,0.5903179049491882,-0.03575887531042099
35,16.0097599029541,16.021635055541992,0.37441134452819824,0.5180367827415466,6925,7898,6098,0.047988385402724196,0.6241589188575745,-0.0518837571144104
36,16.129514694213867,16.027225494384766,0.28643256425857544,0.5083008408546448,6925,7898,6098,0.023064459577087745,0.5929050445556641,-0.164992555975914
37,16.240610122680664,16.046052932739258,0.17469504475593567,0.46743738651275635,6925,7898,6098,-0.23699756079869863,0.575910210609436,-0.24005816876888275
38,16.187244415283203,16.023666381835938,0.11682027578353882,0.4501609802246094,6925,7898,6098,-0.26512746367708157,0.52264803647995,-0.19606426358222961
39,16.166696548461914,15.991941452026367,0.10246895998716354,0.4416159689426422,6925,7898,6098,0.2937690764885959,0.47088271379470825,-0.20068693161010742
40,16.111207962036133,15.922805786132812,0.12722750008106232,0.4444672167301178,6925,7898,6098,0.35521971341575337,0.47399669885635376,-0.21853910386562347
41,16.058828353881836,15.896308898925781,0.1490989774465561,0.46818745136260986,6925,7898,6098,0.010912413457786811,0.5272225737571716,-0.1995924711227417
42,16.185504913330078,15.992119789123535,0.15485744178295135,0.4629313051700592,6925,7898,6098,-0.18477449760523912,0.5578640699386597,-0.23096512258052826
43,16.22184944152832,16.05763053894043,0.1675289422273636,0.4506455659866333,6925,7898,6098,-0.3331979663643797,0.5577919483184814,-0.20322901010513306
44,16.2252254486084,16.07777214050293,0.1787530928850174,0.43653056025505066,6925,7898,6098,-0.5185433589227342,0.5703874230384827,-0.18448831140995026
45,16.239534378051758,16.05866050720215,0.1738010197877884,0.4304417669773102,6925,7898,6098,-0.5368579265671726,0.5765518546104431,-0.21358893811702728
46,16.250286102294922,16.044204711914062,0.1650426983833313,0.4351164996623993,6925,7898,6098,-0.38222613194850036,0.565796971321106,-0.23542453348636627
47,16.21588134765625,16.12133026123047,0.1439192295074463,0.4070363938808441,6925,7898,6098,-0.16201772449069196,0.4635942280292511,-0.12568718194961548
48,16.180185317993164,16.087238311767578,0.1451859325170517,0.3882254660129547,6925,7898,6098,-0.12223153560612851,0.443680077791214,-0.11901787668466568
49,16.223695755004883,16.045225143432617,0.10987395793199539,0.4085250198841095,6925,7898,6098,-0.2129444943857138,0.48467817902565,-0.1976919323205948
50,16.295719146728516,16.084674835205078,0.11015694588422775,0.4217328727245331,6925,7898,6098,0.024650181942326682,0.49101871252059937,-0.24086520075798035
51,16.239267349243164,16.001712799072266,0.13877898454666138,0.43734169006347656,6925,7898,6098,0.35221009825120714,0.4962503910064697,-0.2756897211074829
52,16.164512634277344,15.928289413452148,0.09890320152044296,0.4157201647758484,6925,7898,6098,0.12596707398247545,0.4865163564682007,-0.25714734196662903
53,15.978342056274414,15.7694673538208,0.11063000559806824,0.41720685362815857,6925,7898,6098,0.20197003154745338,0.4669937193393707,-0.22604499757289886
54,15.792871475219727,15.65244197845459,0.10702503472566605,0.4248526990413666,6925,7898,6098,0.5572705224435712,0.40600916743278503,-0.15432244539260864
55,15.658156394958496,15.604084968566895,0.09970637410879135,0.4234318733215332,6925,7898,6098,0.6150446619105003,0.3735615313053131,-0.061640772968530655
56,15.499907493591309,15.515761375427246,0.07974471896886826,0.42396366596221924,6925,7898,6098,0.5859379961979154,0.38141489028930664,0.011765977367758751
57,15.245719909667969,15.38935661315918,0.09170283377170563,0.428731232881546,6925,7898,6098,0.2883161873278706,0.4343748390674591,0.11720640957355499
58,15.091797828674316,15.301105499267578,0.15167005360126495,0.4410547912120819,6925,7898,6098,0.2806835943639673,0.45877760648727417,0.16589494049549103
59,15.060430526733398,15.251766204833984,0.11508025974035263,0.43576332926750183,6925,7898,6098,0.26212366599555104,0.4564911425113678,0.17303462326526642
60,14.999641418457031,15.196773529052734,0.10436708480119705,0.43156999349594116,6925,7898,6098,0.3539321596435282,0.44854483008384705,0.18630577623844147
61,14.90783405303955,15.131509780883789,0.11123177409172058,0.4130018353462219,6925,7898,6098,0.38297250687058515,0.4417977035045624,0.2145167738199234
62,14.803951263427734,15.055703163146973,0.12753243744373322,0.4164736270904541,6925,7898,6098,0.22254136991678444,0.47781577706336975,0.24141903221607208
63,14.762299537658691,15.030117988586426,0.14167845249176025,0.4014374315738678,6925,7898,6098,0.31296308964784175,0.46577247977256775,0.2619360387325287
64,14.822835922241211,15.102126121520996,0.1136433333158493,0.4138846695423126,6925,7898,6098,0.28282866600408924,0.48435524106025696,0.2730370759963989
65,14.727123260498047,14.995755195617676,0.0956566110253334,0.3966440260410309,6925,7898,6098,0.06156420352092555,0.4822562634944916,0.2611261308193207
66,14.734673500061035,14.951811790466309,0.1042872741818428,0.37196245789527893,6925,7898,6098,0.22174285376705263,0.41918814182281494,0.2059103548526764
67,14.717633247375488,14.875432968139648,0.08885009586811066,0.36575546860694885,6925,7898,6098,0.4029359774061727,0.3696047067642212,0.1353721171617508
68,14.66144847869873,14.788593292236328,0.08324994891881943,0.36478787660598755,6925,7898,6098,0.7006554146424481,0.34052276611328125,0.1018131673336029
69,14.59347915649414,14.741239547729492,0.08654206991195679,0.3654888868331909,6925,7898,6098,0.3963864299004194,0.36849579215049744,0.12575176358222961
70,14.66342830657959,14.800457000732422,0.0998033881187439,0.387905478477478,6925,7898,6098,0.34388949832348836,0.3870925009250641,0.1098465546965599
71,14.765666007995605,14.818471908569336,0.12397009879350662,0.3837483525276184,6925,7898,6098,0.3891545315974402,0.36181721091270447,0.01463183294981718
72,14.661347389221191,14.84403133392334,0.06158304959535599,0.4211411476135254,6925,7898,6098,0.42328570171701385,0.4357965886592865,0.1640891581773758
73,14.709598541259766,14.88079833984375,0.04749240353703499,0.39436715841293335,6925,7898,6098,0.04768594860616617,0.4281635880470276,0.1634211242198944
74,14.92888069152832,15.140571594238281,0.0942833200097084,0.38216260075569153,6925,7898,6098,-0.0011717366574525035,0.43744051456451416,0.19285723567008972
75,15.131627082824707,15.18846321105957,0.08820677548646927,0.3748193085193634,6925,7898,6098,0.05689091901252888,0.3788982331752777,0.03568229451775551
76,15.26408576965332,15.376879692077637,0.09461190551519394,0.36754387617111206,6925,7898,6098,0.04720990153739171,0.3869495987892151,0.09786217659711838
77,15.376553535461426,15.344696044921875,0.07586199045181274,0.3404228985309601,6925,7898,6098,0.3476638770316744,0.3267655670642853,-0.04744332283735275
78,15.232145309448242,15.385220527648926,0.16008535027503967,0.345531702041626,6925,7898,6098,0.5213462707412126,0.32164466381073,0.1067325696349144
79,15.101923942565918,15.2764253616333,0.22155921161174774,0.37414002418518066,6925,7898,6098,0.48133891498162523,0.3491414189338684,0.11223422735929489
80,14.844828605651855,15.119158744812012,0.20417296886444092,0.3672192394733429,6925,7898,6098,0.3146498894028392,0.42456358671188354,0.23015402257442474
81,14.909485816955566,15.163166046142578,0.1727696657180786,0.36138859391212463,6925,7898,6098,0.061627354172408576,0.4425325095653534,0.21707238256931305
82,14.92121410369873,15.133230209350586,0.16244646906852722,0.3768308162689209,6925,7898,6098,-0.14487443359845273,0.44979357719421387,0.16944780945777893
83,14.935286521911621,15.128382682800293,0.17911435663700104,0.3871733248233795,6925,7898,6098,-0.20975638156436155,0.45631664991378784,0.14083310961723328
84,14.815408706665039,14.99842643737793,0.23214368522167206,0.38593852519989014,6925,7898,6098,-0.06290966652905686,0.4493435025215149,0.11736008524894714
85,14.612682342529297,14.831886291503906,0.23011374473571777,0.38821083307266235,6925,7898,6098,0.1662584408902901,0.4314040243625641,0.15708157420158386
86,14.510636329650879,14.755826950073242,0.19777727127075195,0.3849758505821228,6925,7898,6098,0.23796840618880905,0.42691314220428467,0.19223694503307343
87,14.50120735168457,14.720520973205566,0.1632242649793625,0.39311736822128296,6925,7898,6098,0.30516897712523694,0.4151230454444885,0.17571261525154114
88,14.551298141479492,14.766341209411621,0.09944033622741699,0.36740875244140625,6925,7898,6098,0.6012535823189592,0.3790319859981537,0.1844923049211502
89,14.585443496704102,14.740325927734375,0.11584379523992538,0.3978066146373749,6925,7898,6098,0.7981889158340641,0.3480806052684784,0.12648670375347137
90,14.65557861328125,14.74731731414795,0.1476515829563141,0.412006139755249,6925,7898,6098,0.7488979158757891,0.3271070420742035,0.06805451214313507
91,14.745176315307617,14.782426834106445,0.16243797540664673,0.41759786009788513,6925,7898,6098,0.7136251344223472,0.3232201933860779,0.01496095024049282
92,14.866421699523926,14.82974910736084,0.16734136641025543,0.42095938324928284,6925,7898,6098,0.6511013928030619,0.35360169410705566,-0.07596585899591446
