run_id,case_id,strategy,run_kind,status,run_dir,input_nc
C06_representative__2auv_12h__post_solver_selected_pair,C06_representative,post_solver_selected_pair,post_solver_selected_pair,POST_SOLVER_PROXY,,
October_reference__2auv_12h__multi_baseline_STD,October_control,multi_baseline_STD,native_2auv_shared_map,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__2auv_12h___f542264a60,
October_reference__2auv_12h__multi_boundary_alpha050,October_control,multi_boundary_alpha050,native_2auv_shared_map,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__2auv_12h___9fa80cd9d4,
October_reference__1auv_12h__candidate_region_A,October_control,candidate_region_A,1auv_candidate,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__1auv_12h___16b8c084d5,
October_reference__1auv_12h__candidate_region_B,October_control,candidate_region_B,1auv_candidate,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__1auv_12h___9ce7d63d2e,
October_reference__1auv_12h__candidate_region_A_with_crossing,October_control,candidate_region_A_with_crossing,1auv_candidate,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__1auv_12h___e10c10081a,
October_reference__1auv_12h__candidate_region_B_with_crossing,October_control,candidate_region_B_with_crossing,1auv_candidate,FALLBACK_TO_region_B,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__1auv_12h___9ef651020d,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_inputs\October_reference__1auv_12h___9ef651020d_planner_interface.nc
October_reference__1auv_12h__candidate_region_B_sequential_penalized,October_control,candidate_region_B_sequential_penalized,1auv_candidate_sequential,REUSED_STEP11D,C:\Users\pedro\Documents\Filipa_dados\results\fossum_roi_x490_step11d_multi_auv_regime_separation_20260524_132935\planner_runs\October_reference__1auv_12h___38db910820,
October_reference__2auv_12h__vehicle_specific_regime_maps,October_control,vehicle_specific_regime_maps,post_solver_proxy_pair,POST_SOLVER_PROXY,,
October_reference__2auv_12h__vehicle_specific_with_crossing_proxy,October_control,vehicle_specific_with_crossing_proxy,post_solver_proxy_pair,POST_SOLVER_PROXY,,
October_reference__2auv_12h__sequential_overlap_reduction,October_control,sequential_overlap_reduction,post_solver_proxy_pair,POST_SOLVER_PROXY,,
October_reference__2auv_12h__post_solver_selected_pair,October_control,post_solver_selected_pair,post_solver_selected_pair,POST_SOLVER_PROXY,,
