image_idx_0_based,image_z_1_based,png_path,old_class_no_scaler,new_class_with_scaler_raw,new_class_with_scaler_mapped_to_no,changed
267,268,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z268.png,3,5,3,False
268,269,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z269.png,3,5,3,False
269,270,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z270.png,3,5,3,False
270,271,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z271.png,3,5,3,False
274,275,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z275.png,3,5,3,False
275,276,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z276.png,3,5,3,False
276,277,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z277.png,3,5,3,False
277,278,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z278.png,3,5,3,False
278,279,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z279.png,3,5,3,False
279,280,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z280.png,5,4,5,False
280,281,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z281.png,5,4,5,False
281,282,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z282.png,5,4,5,False
282,283,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z283.png,3,5,3,False
283,284,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z284.png,3,5,3,False
284,285,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z285.png,3,5,3,False
285,286,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z286.png,3,5,3,False
297,298,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z298.png,3,5,3,False
298,299,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z299.png,3,5,3,False
299,300,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z300.png,3,5,3,False
