source_tempres_z,source_date_inferred,target_family,target_file,target_variable,target_day_index,target_date_inferred,target_is_apriori_or_assimilated,domain_tested,rmse,mae,bias,max_abs_error,pearson,spearman,normalized_rmse,gradient_corr,contour_score,ssim,n_valid,rank,notes,is_temperature_validation,score
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,candb_roi,0.4561046197287811,0.4077225729261596,0.4077225729261596,0.7665353936506989,0.5762305316923972,0.518242414343611,0.5762534677551552,0.08682272339329723,0.4711001493614564,0.534831865103469,8102,14,Temperature validation target.,True,0.27893850031461886
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,0,2024-10-30,apriori_main,user_direct_roi,0.4394596623052121,0.3998944339547662,0.3998944339547662,0.7247716808403446,0.5357137778959291,0.4859345687103956,0.7004457480148439,0.08537954364400642,0.4468079239552875,0.46043130706944063,3922,29,Temperature validation target.,True,0.10136176368073213
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,full_overlap,1.06150285026892,0.9727818206124819,0.9727818206124819,1.6982324965460158,-0.4897750046129482,-0.566449484840902,1.3326255103478597,0.029369279702817743,0.20979881669695008,0.1406069191060988,8102,135,Temperature validation target.,True,-1.702816466760924
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,operational_roi,1.0783868895295239,0.9873915910376375,0.9873915910376375,1.6537370478279065,-0.5428146783249206,-0.5992803069075777,1.3715572521820716,0.04351595866428472,0.20273190797443616,0.12400919664832906,5915,147,Temperature validation target.,True,-1.7912479971876316
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,candb_roi,1.06150285026892,0.9727818206124819,0.9727818206124819,1.6982324965460158,-0.4897750046129482,-0.566449484840902,1.3326255103478597,0.029369279702817743,0.20979881669695008,0.1406069191060988,8102,136,Temperature validation target.,True,-1.702816466760924
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,user_direct_roi,1.109546200388122,1.0419144490936987,1.0419144490936987,1.6982324965460158,-0.6661949489980018,-0.7047698462617391,1.711602314518178,0.027565780828887082,0.19063853768868366,0.042916783592499196,3922,153,Temperature validation target.,True,-2.2686951042573944
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,full_overlap,0.6787488409386051,0.6042378839064072,0.6042378839064072,1.1762125900117795,0.0418131207572837,-0.053978021156520846,0.8521107789062244,0.03730147090805663,0.30572688130833964,0.26239436806144495,8102,71,Temperature validation target.,True,-0.6387834820407425
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,operational_roi,0.70549884291716,0.6390777420832757,0.6390777420832757,1.151247305891605,0.13025789350073363,0.07026996051820514,0.8972958256486661,0.020334801174373862,0.3440855451495613,0.25152804004780527,5915,60,Temperature validation target.,True,-0.5848277589859648
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,candb_roi,0.6787488409386051,0.6042378839064072,0.6042378839064072,1.1762125900117795,0.0418131207572837,-0.053978021156520846,0.8521107789062244,0.03730147090805663,0.30572688130833964,0.26239436806144495,8102,72,Temperature validation target.,True,-0.6387834820407425
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,user_direct_roi,0.6966446059382768,0.6279856020442923,0.6279856020442923,1.1762125900117795,-0.17903621688478438,-0.3158080983066334,1.0746542320666428,0.05035688451107725,0.24630057509685946,0.15776806214318995,3922,101,Temperature validation target.,True,-1.1053617191474587
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,full_overlap,0.42679507479253875,0.3790929814672606,0.3790929814672606,0.7831885844635771,0.5929883962558996,0.49126174224871283,0.53580450039797,0.028731142294092838,0.47198917617538655,0.4310307323433551,8102,7,Temperature validation target.,True,0.30754405509266924
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,operational_roi,0.4535396109236697,0.4161327950005315,0.4161327950005315,0.7831885844635771,0.6836446724069731,0.5922209839541424,0.5768389328115656,0.010748701224077872,0.5118085427989213,0.408909245267259,5915,1,Temperature validation target.,True,0.36808436160690705
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,candb_roi,0.42679507479253875,0.3790929814672606,0.3790929814672606,0.7831885844635771,0.5929883962558996,0.49126174224871283,0.53580450039797,0.028731142294092838,0.47198917617538655,0.4310307323433551,8102,8,Temperature validation target.,True,0.30754405509266924
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,TEMPpred,1,2024-10-30,apriori_main,user_direct_roi,0.41384153142166497,0.37426986740708656,0.37426986740708656,0.732131543007494,0.5512548168547329,0.44946480030163505,0.638398043071386,0.05770808893680539,0.4516113793062367,0.3438619478755132,3922,23,Temperature validation target.,True,0.16751650790486783
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,full_overlap,18.601910490132003,18.599953673241462,18.599953673241462,19.16548023860122,,,18601910490132.004,,0.5,,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,operational_roi,18.58302859014274,18.581152089769674,18.581152089769674,19.10646034542797,,,18583028590142.74,,0.5000281769512539,,5915,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,candb_roi,18.601910490132003,18.599953673241462,18.599953673241462,19.16548023860122,,,18601910490132.004,,0.5,,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,user_direct_roi,18.723672688278928,18.7220367208938,18.7220367208938,19.16548023860122,,,18723672688278.93,,0.5,,3922,,STD control only; excluded from temperature georeference validation ranking.,False,
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,full_overlap,18.23279885253747,18.231409736535387,18.231409736535387,18.7622841303875,,,18232798852537.473,,0.5,,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,operational_roi,18.234213457718628,18.232838240815312,18.232838240815312,18.698367838433036,,,18234213457718.63,,0.5000281769512539,,5915,,STD control only; excluded from temperature georeference validation ranking.,False,
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,candb_roi,18.23279885253747,18.231409736535387,18.231409736535387,18.7622841303875,,,18232798852537.473,,0.5,,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,user_direct_roi,18.309446515595326,18.308107873844392,18.308107873844392,18.7622841303875,,,18309446515595.33,,0.5,,3922,,STD control only; excluded from temperature georeference validation ranking.,False,
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,full_overlap,18.00752043195275,18.006264834096243,18.006264834096243,18.43942037399941,,,18007520431952.75,,0.5,,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,operational_roi,18.01128826866262,18.00989329373257,18.00989329373257,18.395511232908817,,,18011288268662.62,,0.5000281769512539,,5915,,STD control only; excluded from temperature georeference validation ranking.,False,
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,candb_roi,18.00752043195275,18.006264834096243,18.006264834096243,18.43942037399941,,,18007520431952.75,,0.5,,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,0,2024-10-30,STD_control_not_temperature,user_direct_roi,18.055494620103204,18.054392139207188,18.054392139207188,18.43942037399941,,,18055494620103.203,,0.5,,3922,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,full_overlap,18.555100113185425,18.553070420834647,18.553070420834647,19.13062013535486,-0.32026177585212046,-0.3799473055392068,228.53641552582044,-0.0008616949985195535,0.244687286229795,0.10884079701902313,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,operational_roi,18.53812179787857,18.536163480809403,18.536163480809403,19.06442834542797,-0.3674555436841805,-0.421796830963585,228.32729979493098,-0.014894889871267256,0.23705578376419464,0.10110192136886947,5915,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,candb_roi,18.555100113185425,18.553070420834647,18.553070420834647,19.13062013535486,-0.32026177585212046,-0.3799473055392068,228.53641552582044,-0.0008616949985195535,0.244687286229795,0.10884079701902313,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,user_direct_roi,18.673460696267973,18.67175324792083,18.67175324792083,19.13062013535486,-0.4459653902030321,-0.47773048745838964,270.1756568088112,-0.0058327960403302525,0.23338351662457513,0.04574521659512276,3922,,STD control only; excluded from temperature georeference validation ranking.,False,
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,full_overlap,18.18590988920193,18.184526484128575,18.184526484128575,18.7136161303875,0.08555599377366592,0.09267327918216398,223.98923389264746,-0.06728977902987487,0.3517373658175235,0.13363955103664746,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,operational_roi,18.189203612902222,18.18784963185504,18.18784963185504,18.660096711341737,0.1759719410240522,0.1969400986240422,224.0298014888127,-0.0766814176636953,0.38190808548808536,0.12972272852002087,5915,,STD control only; excluded from temperature georeference validation ranking.,False,
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,candb_roi,18.18590988920193,18.184526484128575,18.184526484128575,18.7136161303875,0.08555599377366592,0.09267327918216398,223.98923389264746,-0.06728977902987487,0.3517373658175235,0.13363955103664746,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,user_direct_roi,18.259193003833015,18.25782440087142,18.25782440087142,18.7136161303875,-0.1758881984146345,-0.1739262103182521,264.1818537468724,-0.05095427621564264,0.2965363442015981,0.06124659709841146,3922,,STD control only; excluded from temperature georeference validation ranking.,False,
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,full_overlap,17.96056768183987,17.959381581689428,17.959381581689428,18.391323667831102,0.4861762409728584,0.507358317645041,221.21377593105953,-0.04898231402092985,0.5006799483031067,0.15287838759308617,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,operational_roi,17.966208333081614,17.964904684772296,17.964904684772296,18.340301715709508,0.5821755059621677,0.5987032589675161,221.28324977965943,-0.046538828030907566,0.5346978300033467,0.14738823720391936,5915,,STD control only; excluded from temperature georeference validation ranking.,False,
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,candb_roi,17.96056768183987,17.959381581689428,17.959381581689428,18.391323667831102,0.4861762409728584,0.507358317645041,221.21377593105953,-0.04898231402092985,0.5006799483031067,0.15287838759308617,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/Priori_Nazare_30-10-2024_1/30-10-2024_predModel_1.nc,STD,1,2024-10-30,STD_control_not_temperature,user_direct_roi,18.00518062104714,18.004108666234213,18.004108666234213,18.391323667831102,0.30744434268688436,0.36363178591070766,260.50669339641513,-0.001254853462602413,0.45232818797261537,0.0772499737214621,3922,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,full_overlap,1.162696072313479,1.0631214528020647,1.0631214528020647,1.8119100540923085,-0.5316552762970794,-0.597272619330278,1.156106266592743,0.018091712331461687,0.20740102490824233,0.13031031984874417,8102,129,Temperature validation target.,True,-1.5750151742699705
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,operational_roi,1.1894244774985598,1.0917933661855663,1.0917933661855663,1.7855343626440536,-0.5866618158209411,-0.6404259628120287,1.182683183352268,0.04278313439527378,0.2021100937301251,0.10039549729348327,5915,133,Temperature validation target.,True,-1.6468983851105097
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,candb_roi,1.162696072313479,1.0631214528020647,1.0631214528020647,1.8119100540923085,-0.5316552762970794,-0.597272619330278,1.156106266592743,0.018091712331461687,0.20740102490824233,0.13031031984874417,8102,130,Temperature validation target.,True,-1.5750151742699705
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,user_direct_roi,1.217416832314758,1.1433541227295987,1.1433541227295987,1.8119100540923085,-0.6643545965426292,-0.6990326007897008,1.4616602621122565,-0.019234824396408636,0.1951900185774692,0.0770299416555011,3922,151,Temperature validation target.,True,-2.038037261564355
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,full_overlap,0.7800098000073411,0.6945775160959902,0.6945775160959902,1.3031512367714804,-0.028315429343092672,-0.12134906566416824,0.7755889430312864,-0.01082577678730881,0.30504005520300487,0.2597336421575991,8102,79,Temperature validation target.,True,-0.656797233166531
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,operational_roi,0.8152731973967549,0.7434795172312046,0.7434795172312046,1.2831453969427713,0.0745409660753004,0.03235910249082171,0.8106524782698055,0.0038199557484778937,0.343633836115663,0.24286565464472076,5915,55,Temperature validation target.,True,-0.5623846162624346
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,candb_roi,0.7800098000073411,0.6945775160959902,0.6945775160959902,1.3031512367714804,-0.028315429343092672,-0.12134906566416824,0.7755889430312864,-0.01082577678730881,0.30504005520300487,0.2597336421575991,8102,80,Temperature validation target.,True,-0.656797233166531
299,candidate_2024-10-30_not_metadata_proven,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,user_direct_roi,0.8062197354885242,0.7294252756801924,0.7294252756801924,1.3031512367714804,-0.26355831783760364,-0.424425465657043,0.967967025438297,-0.010597876130532027,0.24316723500699763,0.15633024694490388,3922,105,Temperature validation target.,True,-1.115240663837668
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,full_overlap,0.5290870448794868,0.4696297595876401,0.4694326136568434,0.8992773068711095,0.504709549163915,0.3858851845773243,0.52608834133336,-0.02384717436639915,0.4544306549433721,0.379152569352483,8102,19,Temperature validation target.,True,0.19391294811904147
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,operational_roi,0.5637165648933575,0.5206143044636667,0.5205345701484605,0.8992773068711095,0.6215724584138848,0.5451773162286334,0.5605215918194257,-0.0016050344864765858,0.5006202585405646,0.3530452089271386,5915,5,Temperature validation target.,True,0.310558478621503
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,candb_roi,0.5290870448794868,0.4696297595876401,0.4694326136568434,0.8992773068711095,0.504709549163915,0.3858851845773243,0.52608834133336,-0.02384717436639915,0.4544306549433721,0.379152569352483,8102,20,Temperature validation target.,True,0.19391294811904147
300,candidate_2024-10-31_or_day304_clipped_not_metadata_proven,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,TEMPpred,,2024-10-31,apriori_main,user_direct_roi,0.5256377335496604,0.4757105468064965,0.47570954104298663,0.8836759722729468,0.4064517976429001,0.27258889540067366,0.6310934488522394,-0.021389591278234716,0.4170905234587272,0.2513256884370603,3922,35,Temperature validation target.,True,-0.026791185119093064
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,STD,,2024-10-31,STD_control_not_temperature,full_overlap,18.52475228130274,18.52261786344141,18.52261786344141,19.11346213535486,-0.47430576814690395,-0.49602764761897644,129.9435485491919,-0.016426440308948062,0.2258181617981373,0.10385392593778685,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,STD,,2024-10-31,STD_control_not_temperature,operational_roi,18.51008953339367,18.508035339642877,18.508035339642877,19.04834434542797,-0.5212937452145903,-0.5322465088966513,148.12456113606066,-0.04991824095010269,0.22115351170140798,0.08214253600298534,5915,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,STD,,2024-10-31,STD_control_not_temperature,candb_roi,18.52475228130274,18.52261786344141,18.52261786344141,19.11346213535486,-0.47430576814690395,-0.49602764761897644,129.9435485491919,-0.016426440308948062,0.2258181617981373,0.10385392593778685,8102,,STD control only; excluded from temperature georeference validation ranking.,False,
298,off_by_one_candidate_before_2024-10-30,C4_predModel,data/Test_C4/HighRes/Daily_dpt_20241030_NewTest_1/31-10-2024_predModel_1.nc,STD,,2024-10-31,STD_control_not_temperature,user_direct_roi,18.644321062388478,18.642537369797424,18.642537369797424,19.11346213535486,-0.5264896042318067,-0.5488674470249496,169.07728289595087,-0.003919067145104575,0.21908970887651577,0.0507012174887164,3922,,STD control only; excluded from temperature georeference validation ranking.,False,
