run_id,strategy,case_id,mission_duration_requested_h,role_assignment,w_STD,w_region,w_boundary,solver_status,solver_runtime,fleet_collected_STD,fleet_collected_boundary,fleet_region_A_coverage,fleet_region_B_coverage,region_balance,regime_specialization_score,inter_vehicle_mean_distance,inter_vehicle_min_distance,trajectory_overlap_ratio,duplicate_sampled_cells,fleet_total_area_covered,complementarity_score,baseline_fleet_STD,baseline_runtime,STD_retention,STD_loss_relative_to_baseline,region_B_coverage_gain,runtime_score,recommendation_score
C06_representative__proxy_12h__vehicle_specific_8020,vehicle_specific_8020,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.8,0.2,0.0,SUCCESS,590.761323928833,159.17945098876953,228.21246337890625,0.06301718650541056,0.0,0.0,0.2635135054588318,5.768730405531398,0.0,0.04391891891891892,13,296,0.3269546619118719,161.41756439208984,326.3576309680939,0.9861346352749826,0.013865364725017426,0.0,0.0016898704926519715,0.4442356933070018
C06_representative__proxy_12h__vehicle_specific_7030,vehicle_specific_7030,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.7,0.3,0.0,SUCCESS,588.741357088089,122.23211669921875,152.21387481689453,0.047740292807129214,0.03290826820238585,0.8160906478790929,0.550007551908493,32.12726985157947,0.0,0.0035587188612099642,1,281,0.537252801797015,161.41756439208984,326.3576309680939,0.757241736111889,0.24275826388811095,0.03290826820238585,0.001695658593349476,0.5267390740973176
C06_representative__proxy_12h__vehicle_specific_6040,vehicle_specific_6040,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.6,0.4,0.0,SUCCESS,563.9725656509399,130.66271209716797,162.27169799804688,0.05410566518141311,0.03990127519539284,0.8489006244742662,0.6001386046409607,31.841706566014416,0.0,0.0033003300330033004,1,303,0.5594470914550114,161.41756439208984,326.3576309680939,0.8094702245647997,0.19052977543520033,0.03990127519539284,0.0017699974490758468,0.5574926364130602
C06_representative__proxy_12h__vehicle_specific_5050,vehicle_specific_5050,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.5,0.5,0.0,SUCCESS,501.4090690612793,126.56407928466797,172.63623809814453,0.05792488860598345,0.03990127519539284,0.8157587631956489,0.6086601316928864,31.45254989282106,0.0,0.003246753246753247,1,308,0.5579563164213623,161.41756439208984,326.3576309680939,0.7840787324558972,0.2159212675441028,0.03990127519539284,0.0019904099300365715,0.548281686365586
C06_representative__proxy_12h__vehicle_specific_2575,vehicle_specific_2575,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.25,0.75,0.0,SUCCESS,331.0647246837616,121.18196105957031,168.8333740234375,0.05028644175684278,0.04113533525298231,0.8999023339605727,0.5792664885520935,28.417328865453875,0.0,0.003257328990228013,1,307,0.5609852619379911,161.41756439208984,326.3576309680939,0.7507359035923401,0.2492640964076599,0.04113533525298231,0.003011461096785693,0.54117297615324
October_control__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,October_control,12.0,shared_STD,1.0,0.0,0.0,REUSED,232.15893840789795,178.2662811279297,58.236412048339844,0.0,0.06784107946026986,0.0,0.33445945382118225,12.099935444298502,0.0,0.003205128205128205,1,312,0.35655795921510797,178.2662811279297,232.15893840789795,1.0,0.0,0.0,0.004288919853677488,0.483746093801475
C06_representative__proxy_12h__vehicle_specific_00100,vehicle_specific_00100,C06_representative,12.0,AUV1=region_A;AUV2=region_B,0.0,1.0,0.0,SUCCESS,141.83913898468018,124.4902114868164,176.89635467529297,0.03946530872056015,0.03455368161250514,0.9336436894646356,0.48000000417232513,31.61233565427669,0.0,0.003289473684210526,1,304,0.5351308326582969,161.41756439208984,326.3576309680939,0.7712308877640144,0.22876911223598562,0.03455368161250514,0.007000882300944507,0.5293931532598853
October_control__proxy_12h__vehicle_specific_9010,vehicle_specific_9010,October_control,12.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,470.3191282749176,179.21819305419922,49.40449905395508,0.0,0.07158920539730135,0.0,0.3817567527294159,2.1266340118910225,0.0,0.1263537906137184,35,277,0.33890696241797985,178.2662811279297,232.15893840789795,1.0053398316285422,-0.005339831628542235,0.003748125937031485,0.002121704679502645,0.4833213075563745
October_control__proxy_12h__vehicle_specific_8020,vehicle_specific_8020,October_control,12.0,AUV1=region_A;AUV2=region_B,0.8,0.2,0.0,SUCCESS,488.25426983833313,180.81063842773438,51.46604347229004,0.0,0.06709145427286357,0.0,0.34437087178230286,5.938867173539932,0.0,0.0944055944055944,27,286,0.33597332833967936,178.2662811279297,232.15893840789795,1.014272790590043,-0.01427279059004305,-0.0007496251874062887,0.0020439269754977006,0.4805905120099048
October_control__proxy_12h__vehicle_specific_7030,vehicle_specific_7030,October_control,12.0,AUV1=region_A;AUV2=region_B,0.7,0.3,0.0,SUCCESS,494.2058672904968,144.5596923828125,120.64950942993164,0.04235382308845577,0.037481259370314844,0.9389671361502347,0.6888199746608734,26.266818665069124,0.0,0.003246753246753247,1,308,0.5901806546366349,178.2662811279297,232.15893840789795,0.8109199982641235,0.18908000173587647,-0.03035982008995502,0.0020193621805643545,0.5840833156533669
October_control__proxy_12h__vehicle_specific_6040,vehicle_specific_6040,October_control,12.0,AUV1=region_A;AUV2=region_B,0.6,0.4,0.0,SUCCESS,475.3178598880768,154.52803421020508,101.59800338745117,0.027361319340329836,0.04310344827586207,0.7765957446808511,0.5941558480262756,28.69513401815577,0.0,0.0031847133757961785,1,314,0.5388948140304147,178.2662811279297,232.15893840789795,0.8668382670714421,0.13316173292855793,-0.02473763118440779,0.002099438388127995,0.5671045868455652
October_control__proxy_12h__vehicle_specific_5050,vehicle_specific_5050,October_control,12.0,AUV1=region_A;AUV2=region_B,0.5,0.5,0.0,SUCCESS,441.58940720558167,142.28543853759766,114.89583206176758,0.03710644677661169,0.04385307346326837,0.9166666666666666,0.7093749940395355,27.254569045935543,0.0,0.0033003300330033004,1,303,0.592354498085591,178.2662811279297,232.15893840789795,0.7981623761786392,0.20183762382136083,-0.023988005997001495,0.0022594304873083024,0.5837365852150477
October_control__proxy_12h__vehicle_specific_2575,vehicle_specific_2575,October_control,12.0,AUV1=region_A;AUV2=region_B,0.25,0.75,0.0,SUCCESS,306.235506772995,136.5696907043457,124.19452095031738,0.03935532233883059,0.041604197901049474,0.9722222222222223,0.7036148011684418,26.818465864079126,0.0,0.0032679738562091504,1,306,0.5992558722453495,178.2662811279297,232.15893840789795,0.7660993982722893,0.23390060172771066,-0.02623688155922039,0.0032548321335100867,0.5780119956339144
C01_representative__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,C01_representative,24.0,shared_STD,1.0,0.0,0.0,REUSED,325.9245355129242,361.484619140625,447.46141052246094,0.020983213429256596,0.04627249357326478,0.6239831343522995,0.0,21.31266729496052,1.0,0.0,0,609,0.3671369676037274,361.484619140625,325.9245355129242,1.0,0.0,0.0,0.0030588098823205864,0.4741193773226621
October_control__proxy_12h__vehicle_specific_00100,vehicle_specific_00100,October_control,12.0,AUV1=region_A;AUV2=region_B,0.0,1.0,0.0,SUCCESS,142.24825739860535,145.7650146484375,108.03725814819336,0.02586206896551724,0.041604197901049474,0.7666666666666667,0.5797262340784073,24.862854081674303,0.0,0.003215434083601286,1,311,0.5327408934019999,178.2662811279297,232.15893840789795,0.8176813569349762,0.18231864306502377,-0.02623688155922039,0.0069808877131215695,0.5483448710153993
C01_representative__proxy_24h__vehicle_specific_9010,vehicle_specific_9010,C01_representative,24.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,608.5813012123108,360.7386016845703,448.4169616699219,0.019784172661870502,0.04755784061696658,0.5875729488499828,0.2378339171409607,13.263328997760349,0.0,0.05670103092783505,33,582,0.4069888685283718,361.484619140625,325.9245355129242,0.9979362401149232,0.002063759885076788,0.0012853470437017983,0.001640470267068954,0.5120063309224789
C01_representative__proxy_24h__vehicle_specific_8020,vehicle_specific_8020,C01_representative,24.0,AUV1=region_A;AUV2=region_B,0.8,0.2,0.0,SUCCESS,548.1936802864075,359.6753845214844,393.96214294433594,0.01079136690647482,0.08783204798628963,0.21883985498187275,0.3498793728649616,25.896331753795966,0.0,0.044142614601018676,26,589,0.3937783630257342,361.484619140625,325.9245355129242,0.9949949886569398,0.005005011343060195,0.04155955441302485,0.0018208512513809237,0.5079931497673013
C01_representative__proxy_24h__vehicle_specific_7030,vehicle_specific_7030,C01_representative,24.0,AUV1=region_A;AUV2=region_B,0.7,0.3,0.0,SUCCESS,532.6080431938171,319.2175598144531,408.34344482421875,0.07434052757793765,0.10454155955441302,0.8311679360374953,0.5905802845954895,43.18570674120494,0.0,0.006493506493506494,4,616,0.5833056154274427,361.484619140625,325.9245355129242,0.8830736991613767,0.11692630083862332,0.05826906598114824,0.0018740347203439359,0.5917347012465304
C01_representative__proxy_24h__vehicle_specific_6040,vehicle_specific_6040,C01_representative,24.0,AUV1=region_A;AUV2=region_B,0.6,0.4,0.0,SUCCESS,551.887975692749,302.2940673828125,414.23121643066406,0.1288968824940048,0.10411311053984576,0.8936364418046286,0.7297919690608978,44.85869020303511,0.0,0.001594896331738437,1,627,0.6476482320148318,361.484619140625,325.9245355129242,0.8362570670405588,0.1637429329594412,0.05784061696658098,0.0018086846593960294,0.6121583803395675
C01_representative__proxy_24h__vehicle_specific_5050,vehicle_specific_5050,C01_representative,24.0,AUV1=region_A;AUV2=region_B,0.5,0.5,0.0,SUCCESS,500.6046280860901,269.01702880859375,399.5015563964844,0.14928057553956833,0.10839760068551842,0.8413409491910644,0.8058080971240997,46.641784306020156,0.0,0.001607717041800643,1,622,0.6674385990780148,361.484619140625,325.9245355129242,0.7442004847900335,0.25579951520996647,0.062125107112253636,0.0019936020204111247,0.5955941683491567
C01_representative__proxy_24h__vehicle_specific_2575,vehicle_specific_2575,C01_representative,24.0,AUV1=region_A;AUV2=region_B,0.25,0.75,0.0,SUCCESS,278.67098355293274,263.60701751708984,391.1099548339844,0.15047961630695444,0.1062553556126821,0.8277435272506799,0.8183333277702332,46.322390504166414,0.0,0.0016420361247947454,1,609,0.6681915921708343,361.484619140625,325.9245355129242,0.7292343949343562,0.27076560506564384,0.059982862039417315,0.0035756301468819773,0.5917897535574567
C06_representative__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,C06_representative,24.0,shared_STD,1.0,0.0,0.0,REUSED,334.4328978061676,326.71881103515625,450.65704345703125,0.13303628262253342,0.0,0.0,0.32894736528396606,12.448792223378419,1.0,0.0,0,607,0.3787995402388782,326.71881103515625,334.4328978061676,1.0,0.0,0.0,0.0029812221953788728,0.4659385341665621
C01_representative__proxy_24h__vehicle_specific_00100,vehicle_specific_00100,C01_representative,24.0,AUV1=region_A;AUV2=region_B,0.0,1.0,0.0,SUCCESS,140.42437362670898,230.35147857666016,363.46791076660156,0.10551558752997602,0.10539845758354756,0.9994446555402917,0.7484174966812134,40.87337205325608,0.0,0.0017889087656529517,1,559,0.6603937610996671,361.484619140625,325.9245355129242,0.6372372886135127,0.3627627113864873,0.05912596401028278,0.007070916945614409,0.567323420840928
C06_representative__proxy_24h__vehicle_specific_9010,vehicle_specific_9010,C06_representative,24.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,658.0888097286224,363.64610290527344,478.6539764404297,0.1705919796308084,0.0,0.0,0.3251533806324005,2.3949614903246363,0.0,0.2563600782778865,131,511,0.3269055184594114,326.71881103515625,334.4328978061676,1.1130246885789006,-0.11302468857890058,0.0,0.0015172462121026552,0.4733779371829668
C06_representative__proxy_24h__vehicle_specific_8020,vehicle_specific_8020,C06_representative,24.0,AUV1=region_A;AUV2=region_B,0.8,0.2,0.0,SUCCESS,605.9985482692719,306.5828552246094,385.7005920410156,0.17950350095480586,0.04360345536816125,0.3908749066975876,0.44455230236053467,5.117038762846743,0.0,0.051194539249146756,30,586,0.48505811149552364,326.71881103515625,334.4328978061676,0.938369156808727,0.06163084319127299,0.04360345536816125,0.0016474503981126294,0.5153724806215151
C06_representative__proxy_24h__vehicle_specific_7030,vehicle_specific_7030,C06_representative,24.0,AUV1=region_A;AUV2=region_B,0.7,0.3,0.0,SUCCESS,615.7441091537476,261.3308410644531,307.2981643676758,0.14322087842138764,0.09954751131221719,0.8201027441954275,0.7678393423557281,43.070348260256736,0.0,0.0016474464579901153,1,607,0.6495323220105103,326.71881103515625,334.4328978061676,0.799864691709878,0.20013530829012205,0.09954751131221719,0.0016214180000391554,0.6003407544859091
C06_representative__proxy_24h__vehicle_specific_6040,vehicle_specific_6040,C06_representative,24.0,AUV1=region_A;AUV2=region_B,0.6,0.4,0.0,SUCCESS,584.7447028160095,270.2737121582031,311.83294677734375,0.1514958625079567,0.10571781160016454,0.8220232611406612,0.7942677140235901,46.586037450261706,0.0,0.001607717041800643,1,622,0.6614932743543889,326.71881103515625,334.4328978061676,0.8272364584759725,0.1727635415240275,0.10571781160016454,0.0017072284140043068,0.6155808490781371
C06_representative__proxy_24h__vehicle_specific_5050,vehicle_specific_5050,C06_representative,24.0,AUV1=region_A;AUV2=region_B,0.5,0.5,0.0,SUCCESS,508.2509846687317,257.5368423461914,304.21959686279297,0.14767663908338638,0.10078157136980666,0.8112557132724971,0.7882845401763916,44.62259966448383,0.0,0.0016556291390728477,1,604,0.6553059584088218,326.71881103515625,334.4328978061676,0.7882522635602986,0.21174773643970135,0.10078157136980666,0.001963668269881699,0.6003861717726561
C06_representative__proxy_24h__vehicle_specific_2575,vehicle_specific_2575,C06_representative,24.0,AUV1=region_A;AUV2=region_B,0.25,0.75,0.0,SUCCESS,333.5438063144684,246.6727066040039,295.51221466064453,0.14258434118395927,0.1085972850678733,0.8646913127236033,0.8013363778591156,45.263413773801254,0.0,0.0016474464579901153,1,607,0.6675394989469634,326.71881103515625,334.4328978061676,0.7550000130768747,0.2449999869231253,0.1085972850678733,0.0029891451616354493,0.600370444646497
C06_representative__proxy_24h__vehicle_specific_00100,vehicle_specific_00100,C06_representative,24.0,AUV1=region_A;AUV2=region_B,0.0,1.0,0.0,SUCCESS,142.85757637023926,233.3348159790039,292.57334899902344,0.10184595798854233,0.10448375154257507,0.9872156386977566,0.7108669281005859,41.33336630863932,0.0,0.0017421602787456446,1,574,0.6475789360960147,326.71881103515625,334.4328978061676,0.7141762521714617,0.28582374782853825,0.10448375154257507,0.0069513196679078515,0.5814421129824959
October_control__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,October_control,24.0,shared_STD,1.0,0.0,0.0,REUSED,260.68045258522034,356.16770935058594,113.0837631225586,0.0,0.15067466266866567,0.0,0.3157051205635071,14.53251472902466,0.0,0.011308562197092083,7,619,0.37883527152563673,356.16770935058594,260.68045258522034,1.0,0.0,0.0,0.0038214547174643637,0.49986990629603184
October_control__proxy_24h__vehicle_specific_9010,vehicle_specific_9010,October_control,24.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,486.3408782482147,370.4522705078125,99.74386596679688,0.0,0.17916041979010494,0.0,0.4458204209804535,2.830189359430463,0.0,0.09515570934256055,55,578,0.40037232483600993,356.16770935058594,260.68045258522034,1.0401062779758226,-0.04010627797582256,0.028485757121439276,0.0020519518157282005,0.5365730991928941
October_control__proxy_24h__vehicle_specific_8020,vehicle_specific_8020,October_control,24.0,AUV1=region_A;AUV2=region_B,0.8,0.2,0.0,SUCCESS,513.8513333797455,368.5069580078125,103.03635025024414,0.0,0.16079460269865067,0.0,0.43019479513168335,4.16301020209375,0.0,0.13464991023339318,75,557,0.3801643321691003,356.16770935058594,260.68045258522034,1.0346444900345548,-0.03464449003455483,0.010119940029985008,0.001942308264864524,0.5232630811012696
October_control__proxy_24h__vehicle_specific_7030,vehicle_specific_7030,October_control,24.0,AUV1=region_A;AUV2=region_B,0.7,0.3,0.0,SUCCESS,483.34424018859863,317.2414093017578,182.28439331054688,0.05622188905547226,0.12293853073463268,0.6276150627615062,0.5455515831708908,20.620946885949714,0.0,0.025380710659898477,15,591,0.5368911244685107,356.16770935058594,260.68045258522034,0.8907079473324409,0.10929205266755915,-0.027736131934032987,0.0020646472426524786,0.567384001089862
October_control__proxy_24h__vehicle_specific_6040,vehicle_specific_6040,October_control,24.0,AUV1=region_A;AUV2=region_B,0.6,0.4,0.0,SUCCESS,506.10718059539795,284.2618865966797,243.12999725341797,0.08883058470764618,0.10232383808095952,0.9294117647058824,0.8150972425937653,35.541530019163524,0.0,0.0016,1,625,0.6596901233303356,356.16770935058594,260.68045258522034,0.7981124597594351,0.20188754024056488,-0.04835082458770615,0.00197196971028076,0.6209139209229259
October_control__proxy_24h__vehicle_specific_5050,vehicle_specific_5050,October_control,24.0,AUV1=region_A;AUV2=region_B,0.5,0.5,0.0,SUCCESS,442.51601123809814,277.80091857910156,250.0489845275879,0.0944527736131934,0.10044977511244378,0.9692307692307692,0.8522580564022064,33.854736559495635,0.0,0.0016420361247947454,1,609,0.6762545125079413,356.16770935058594,260.68045258522034,0.7799722189460311,0.22002778105396892,-0.050224887556221884,0.002254710032245392,0.6264273295545713
October_control__proxy_24h__vehicle_specific_2575,vehicle_specific_2575,October_control,24.0,AUV1=region_A;AUV2=region_B,0.25,0.75,0.0,SUCCESS,313.32633233070374,268.1547546386719,237.06147384643555,0.08920539730134933,0.10082458770614693,0.9388560157790927,0.8471736311912537,37.198052946396025,0.0,0.0016750418760469012,1,597,0.6687135444482892,356.16770935058594,260.68045258522034,0.7528890115491058,0.2471109884508942,-0.04985007496251874,0.0031814070192117943,0.6143847443707844
October_control__proxy_24h__vehicle_specific_00100,vehicle_specific_00100,October_control,24.0,AUV1=region_A;AUV2=region_B,0.0,1.0,0.0,SUCCESS,141.19202327728271,227.85550689697266,212.80197143554688,0.07571214392803598,0.08133433283358321,0.9642004773269689,0.8181013464927673,32.359278697264735,0.0,0.0019569471624266144,1,511,0.6536324382981973,356.16770935058594,260.68045258522034,0.6397421802005303,0.3602578197994697,-0.06934032983508245,0.007032743306914916,0.5724524967489083
C01_representative__multi_auv_48h__baseline_shared_STD,baseline_shared_STD,C01_representative,48.0,shared_STD,1.0,0.0,0.0,REUSED,389.6941635608673,637.9007568359375,888.341064453125,0.09112709832134293,0.11610968294772922,0.8794490800648491,0.0,12.672752055104919,0.0,0.004016064257028112,5,1245,0.4534462193896456,637.9007568359375,389.6941635608673,1.0,0.0,0.0,0.002559546809928752,0.5166986996582108
C01_representative__proxy_48h__vehicle_specific_9010,vehicle_specific_9010,C01_representative,48.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,637.4068069458008,727.50390625,915.2644958496094,0.03896882494004796,0.08697514995715509,0.618827934752016,0.11137820687144995,2.0293761339276544,0.0,0.1566265060240964,169,1079,0.3755925066386619,637.9007568359375,389.6941635608673,1.14046565779057,-0.14046565779057008,-0.029134532990574127,0.0015663993383530723,0.5324575890404595
C01_representative__proxy_48h__vehicle_specific_8020,vehicle_specific_8020,C01_representative,48.0,AUV1=region_A;AUV2=region_B,0.8,0.2,0.0,SUCCESS,572.734498500824,666.1571350097656,862.9837036132812,0.13069544364508393,0.0959725792630677,0.846811809021309,0.26075518503785133,6.5596797390867545,0.0,0.1140754369825207,124,1087,0.493025516384882,637.9007568359375,389.6941635608673,1.0442958843848738,-0.04429588438487375,-0.020137103684661525,0.0017429664812086663,0.5627937326667386
C01_representative__proxy_48h__vehicle_specific_7030,vehicle_specific_7030,C01_representative,48.0,AUV1=region_A;AUV2=region_B,0.7,0.3,0.0,SUCCESS,595.5929317474365,599.905517578125,804.4608764648438,0.15887290167865709,0.18808911739502998,0.9157941961648315,0.5123900882899761,10.655595666430349,0.0,0.07049608355091384,81,1149,0.6192793372852807,637.9007568359375,389.6941635608673,0.9404370682262969,0.05956293177370309,0.07197943444730076,0.0016761847933246098,0.6162450379756998
C01_representative__proxy_48h__vehicle_specific_6040,vehicle_specific_6040,C01_representative,48.0,AUV1=region_A;AUV2=region_B,0.6,0.4,0.0,SUCCESS,618.7961015701294,535.61181640625,771.1172180175781,0.21282973621103118,0.2275064267352185,0.9666693500120751,0.7040143311023712,37.23244339822573,0.0,0.013731825525040387,17,1238,0.7216886859273313,637.9007568359375,389.6941635608673,0.8396475637730034,0.16035243622699658,0.11139674378748929,0.001613433833266618,0.6449481661765467
C01_representative__proxy_48h__vehicle_specific_5050,vehicle_specific_5050,C01_representative,48.0,AUV1=region_A;AUV2=region_B,0.5,0.5,0.0,SUCCESS,526.9519176483154,523.5759735107422,746.7666168212891,0.2026378896882494,0.23350471293916025,0.9292276813478826,0.7114213109016418,35.44725602164684,0.0,0.007328990228013029,9,1228,0.718057143290183,637.9007568359375,389.6941635608673,0.8207796712889014,0.1792203287110986,0.11739502999143103,0.0018941118813515323,0.6391789165078434
C01_representative__proxy_48h__vehicle_specific_2575,vehicle_specific_2575,C01_representative,48.0,AUV1=region_A;AUV2=region_B,0.25,0.75,0.0,SUCCESS,324.15931510925293,551.3405456542969,799.5807800292969,0.19904076738609114,0.1803770351328192,0.9508095505024656,0.6153027415275574,29.551103241634717,0.0,0.019166666666666665,23,1200,0.6744516821722111,637.9007568359375,389.6941635608673,0.8643045798989338,0.13569542010106617,0.06426735218508997,0.0030754155072076034,0.6207642402173368
C01_representative__proxy_48h__vehicle_specific_00100,vehicle_specific_00100,C01_representative,48.0,AUV1=region_A;AUV2=region_B,0.0,1.0,0.0,SUCCESS,140.17430186271667,230.35147857666016,363.46791076660156,0.10551558752997602,0.10539845758354756,0.9994446555402917,0.7484174966812134,40.87337205325608,0.0,0.0017889087656529517,1,559,0.6603937610996671,637.9007568359375,389.6941635608673,0.3611086459894333,0.6388913540105667,-0.010711225364181662,0.007083442147795698,0.4844854543138133
C06_representative__multi_auv_48h__baseline_shared_STD,baseline_shared_STD,C06_representative,48.0,shared_STD,1.0,0.0,0.0,REUSED,401.6205880641937,560.3954162597656,775.0592651367188,0.20305537873965626,0.04648292883587001,0.3725514474109456,0.0017152652144432068,8.52252568736574,0.0,0.011874469889737066,14,1179,0.39068132359425256,560.3954162597656,401.6205880641937,1.0,0.0,0.0,0.0024837279305760696,0.4481556694005057
C06_representative__proxy_48h__vehicle_specific_9010,vehicle_specific_9010,C06_representative,48.0,AUV1=region_A;AUV2=region_B,0.9,0.1,0.0,SUCCESS,723.1295263767242,676.4491577148438,929.7143859863281,0.28962444302991724,0.0,0.0,0.25525039434432983,1.7908613521943968,0.0,0.23671013039117353,236,997,0.3560036210487601,560.3954162597656,401.6205880641937,1.207092595848933,-0.20709259584893291,-0.04648292883587001,0.0013809684090685121,0.4895758930048819
