run_id,command,returncode,runtime_s,runtime_source,status,error,input_nc,solver_status,solver_runtime_s,solver_gap,run_dir
C01_representative__proxy_12h__vehicle_specific_5050__AUV2_region_B,REUSED_EXISTING,0,239.7692801952362,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__da49a03187.nc,REUSED,239.7692801952362,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__da49a03187
C01_representative__proxy_12h__vehicle_specific_2575__AUV1_region_A,REUSED_EXISTING,0,140.6841220855713,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__f6e909d3d1.nc,REUSED,140.6841220855713,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__f6e909d3d1
C01_representative__proxy_12h__vehicle_specific_2575__AUV2_region_B,REUSED_EXISTING,0,131.2395453453064,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__b1798d2297.nc,REUSED,131.2395453453064,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__b1798d2297
C06_representative__multi_auv_12h__baseline_shared_STD,REUSED_EXISTING,0,326.3576309680939,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__mult__80ba3084f7.nc,REUSED,326.3576309680939,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__mult__80ba3084f7
C01_representative__proxy_12h__vehicle_specific_00100__AUV1_region_A,REUSED_EXISTING,0,68.33397960662842,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__b237872394.nc,REUSED,68.33397960662842,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__b237872394
C01_representative__proxy_12h__vehicle_specific_00100__AUV2_region_B,REUSED_EXISTING,0,71.90394973754883,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__623889d9da.nc,REUSED,71.90394973754883,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__623889d9da
C06_representative__proxy_12h__vehicle_specific_9010__AUV1_region_A,REUSED_EXISTING,0,311.82094836235046,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__7197c79d46.nc,REUSED,311.82094836235046,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__7197c79d46
C06_representative__proxy_12h__vehicle_specific_9010__AUV2_region_B,REUSED_EXISTING,0,325.9032573699951,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__dc363b55a7.nc,REUSED,325.9032573699951,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__dc363b55a7
C06_representative__proxy_12h__vehicle_specific_8020__AUV1_region_A,REUSED_EXISTING,0,293.0745573043823,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__1ea7e508f6.nc,REUSED,293.0745573043823,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__1ea7e508f6
C06_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,REUSED_EXISTING,0,297.6867666244507,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__8618a62204.nc,REUSED,297.6867666244507,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__8618a62204
C06_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,REUSED_EXISTING,0,274.6014144420624,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__071753d959.nc,REUSED,274.6014144420624,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__071753d959
C06_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,REUSED_EXISTING,0,314.1399426460266,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__094125d47e.nc,REUSED,314.1399426460266,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__094125d47e
C06_representative__proxy_12h__vehicle_specific_6040__AUV1_region_A,REUSED_EXISTING,0,262.4329934120178,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__bae7476859.nc,REUSED,262.4329934120178,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__bae7476859
C06_representative__proxy_12h__vehicle_specific_6040__AUV2_region_B,REUSED_EXISTING,0,301.5395722389221,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__0c98ac79ea.nc,REUSED,301.5395722389221,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__0c98ac79ea
C06_representative__proxy_12h__vehicle_specific_5050__AUV1_region_A,REUSED_EXISTING,0,225.64028000831604,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__a4ed6b0504.nc,REUSED,225.64028000831604,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__a4ed6b0504
C06_representative__proxy_12h__vehicle_specific_5050__AUV2_region_B,REUSED_EXISTING,0,275.76878905296326,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__b081fc7bd5.nc,REUSED,275.76878905296326,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__b081fc7bd5
C06_representative__proxy_12h__vehicle_specific_2575__AUV1_region_A,REUSED_EXISTING,0,162.0335648059845,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__14144c3434.nc,REUSED,162.0335648059845,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__14144c3434
C06_representative__proxy_12h__vehicle_specific_2575__AUV2_region_B,REUSED_EXISTING,0,169.0311598777771,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__16f04bc50a.nc,REUSED,169.0311598777771,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__16f04bc50a
October_control__multi_auv_12h__baseline_shared_STD,REUSED_EXISTING,0,232.15893840789795,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__multi_a__98d8152b36.nc,REUSED,232.15893840789795,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__multi_a__98d8152b36
C06_representative__proxy_12h__vehicle_specific_00100__AUV1_region_A,REUSED_EXISTING,0,69.33978486061096,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__e81ef6cd91.nc,REUSED,69.33978486061096,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__e81ef6cd91
C06_representative__proxy_12h__vehicle_specific_00100__AUV2_region_B,REUSED_EXISTING,0,72.49935412406921,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C06_representative__prox__8190f85389.nc,REUSED,72.49935412406921,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C06_representative__prox__8190f85389
October_control__proxy_12h__vehicle_specific_9010__AUV1_region_A,REUSED_EXISTING,0,245.1109583377838,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__3dded62aa1.nc,REUSED,245.1109583377838,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__3dded62aa1
October_control__proxy_12h__vehicle_specific_9010__AUV2_region_B,REUSED_EXISTING,0,225.2081699371338,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__48ad47942c.nc,REUSED,225.2081699371338,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__48ad47942c
October_control__proxy_12h__vehicle_specific_8020__AUV1_region_A,REUSED_EXISTING,0,259.1789174079895,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__db96655a58.nc,REUSED,259.1789174079895,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__db96655a58
October_control__proxy_12h__vehicle_specific_8020__AUV2_region_B,REUSED_EXISTING,0,229.07535243034363,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__1d7fc51e1d.nc,REUSED,229.07535243034363,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__1d7fc51e1d
October_control__proxy_12h__vehicle_specific_7030__AUV1_region_A,REUSED_EXISTING,0,256.3967926502228,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__1fd3caa87a.nc,REUSED,256.3967926502228,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__1fd3caa87a
October_control__proxy_12h__vehicle_specific_7030__AUV2_region_B,REUSED_EXISTING,0,237.80907464027405,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__5cd6dcf275.nc,REUSED,237.80907464027405,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__5cd6dcf275
October_control__proxy_12h__vehicle_specific_6040__AUV1_region_A,REUSED_EXISTING,0,277.32616996765137,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__5adac00312.nc,REUSED,277.32616996765137,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__5adac00312
October_control__proxy_12h__vehicle_specific_6040__AUV2_region_B,REUSED_EXISTING,0,197.99168992042542,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__40a7106681.nc,REUSED,197.99168992042542,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__40a7106681
October_control__proxy_12h__vehicle_specific_5050__AUV1_region_A,REUSED_EXISTING,0,243.7715196609497,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__4a184d60bb.nc,REUSED,243.7715196609497,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__4a184d60bb
October_control__proxy_12h__vehicle_specific_5050__AUV2_region_B,REUSED_EXISTING,0,197.81788754463196,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__669169d0cc.nc,REUSED,197.81788754463196,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__669169d0cc
October_control__proxy_12h__vehicle_specific_2575__AUV1_region_A,REUSED_EXISTING,0,158.41539978981018,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__62d36855cb.nc,REUSED,158.41539978981018,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__62d36855cb
October_control__proxy_12h__vehicle_specific_2575__AUV2_region_B,REUSED_EXISTING,0,147.82010698318481,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__d4be949a0c.nc,REUSED,147.82010698318481,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__d4be949a0c
C01_representative__multi_auv_24h__baseline_shared_STD,REUSED_EXISTING,0,325.9245355129242,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__mult__a1a1d019f6.nc,REUSED,325.9245355129242,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__mult__a1a1d019f6
October_control__proxy_12h__vehicle_specific_00100__AUV1_region_A,REUSED_EXISTING,0,71.82827854156494,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__110fa93442.nc,REUSED,71.82827854156494,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__110fa93442
October_control__proxy_12h__vehicle_specific_00100__AUV2_region_B,REUSED_EXISTING,0,70.4199788570404,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\October_control__proxy_1__e607ab7cac.nc,REUSED,70.4199788570404,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\October_control__proxy_1__e607ab7cac
C01_representative__proxy_24h__vehicle_specific_9010__AUV1_region_A,REUSED_EXISTING,0,308.60566759109497,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__d3efa45cc7.nc,REUSED,308.60566759109497,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__d3efa45cc7
C01_representative__proxy_24h__vehicle_specific_9010__AUV2_region_B,REUSED_EXISTING,0,299.9756336212158,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__360f25aa80.nc,REUSED,299.9756336212158,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__360f25aa80
C01_representative__proxy_24h__vehicle_specific_8020__AUV1_region_A,REUSED_EXISTING,0,297.8699758052826,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__c3291232e1.nc,REUSED,297.8699758052826,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__c3291232e1
C01_representative__proxy_24h__vehicle_specific_8020__AUV2_region_B,REUSED_EXISTING,0,250.32370448112488,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__700e302bb1.nc,REUSED,250.32370448112488,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__700e302bb1
C01_representative__proxy_24h__vehicle_specific_7030__AUV1_region_A,REUSED_EXISTING,0,270.44857120513916,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__3fdbf212ae.nc,REUSED,270.44857120513916,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__3fdbf212ae
C01_representative__proxy_24h__vehicle_specific_7030__AUV2_region_B,REUSED_EXISTING,0,262.159471988678,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__105de70dee.nc,REUSED,262.159471988678,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__105de70dee
C01_representative__proxy_24h__vehicle_specific_6040__AUV1_region_A,REUSED_EXISTING,0,281.865430355072,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_inputs\C01_representative__prox__aa12f34ced.nc,REUSED,281.865430355072,,results\fossum_roi_x490_step12b_multi_auv_vehicle_specific_weight_duration_sensitivity_20260529_221108\planner_runs\C01_representative__prox__aa12f34ced
