run_id,strategy,case_id,vehicle_id,mission_duration_requested_h,solver_status,solver_runtime,collected_STD,collected_region_A,collected_region_B,collected_boundary,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C06_representative__proxy_24h__vehicle_specific_6040__AUV1_region_A,vehicle_specific_6040,C06_representative,1,24.0,REUSED,274.15785026550293,170.4246063232422,238.0,0.0,219.12872314453125,0.7752442955970764,0.0,0.02931596152484417,0,1,75.334,21.766666666666666,307
C06_representative__proxy_24h__vehicle_specific_6040__AUV2_region_B,vehicle_specific_6040,C06_representative,2,24.0,REUSED,310.5868525505066,99.84910583496094,0.0,257.0,92.7042236328125,0.0,0.8132911324501038,0.0,0,1,75.51,21.733333333333334,316
C06_representative__proxy_24h__vehicle_specific_5050__AUV1_region_A,vehicle_specific_5050,C06_representative,1,24.0,REUSED,231.781640291214,165.1236572265625,232.0,0.0,213.36036682128906,0.7785235047340393,0.0,0.016778523102402687,0,1,74.08,21.366666666666667,298
C06_representative__proxy_24h__vehicle_specific_5050__AUV2_region_B,vehicle_specific_5050,C06_representative,2,24.0,REUSED,276.4693443775177,92.4131851196289,0.0,245.0,90.8592300415039,0.0,0.7980455756187439,0.0,0,1,74.531,21.5,307
C06_representative__proxy_24h__vehicle_specific_2575__AUV1_region_A,vehicle_specific_2575,C06_representative,1,24.0,REUSED,156.7423813343048,150.95831298828125,224.0,0.0,206.65206909179688,0.775086522102356,0.0,0.010380622930824757,0,1,75.025,21.616666666666667,289
C06_representative__proxy_24h__vehicle_specific_2575__AUV2_region_B,vehicle_specific_2575,C06_representative,2,24.0,REUSED,176.80142498016357,95.71439361572266,0.0,264.0,88.86014556884766,0.0,0.8275862336158752,0.0,0,1,76.475,21.983333333333334,319
C06_representative__proxy_24h__vehicle_specific_00100__AUV1_region_A,vehicle_specific_00100,C06_representative,1,24.0,REUSED,69.52274632453918,137.91378784179688,160.0,0.0,190.13067626953125,0.6153846383094788,0.0,0.06538461893796921,0,1,62.323,17.566666666666666,260
C06_representative__proxy_24h__vehicle_specific_00100__AUV2_region_B,vehicle_specific_00100,C06_representative,2,24.0,REUSED,73.33483004570007,95.42102813720703,0.0,254.0,102.44267272949219,0.0,0.8063492178916931,0.0,0,1,75.278,21.333333333333332,315
October_control__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,October_control,1,24.0,REUSED,260.68045258522034,180.27532958984375,0.0,205.0,55.53916549682617,0.0,0.6528662443161011,0.0,0,1,77.184,22.216666666666665,314
October_control__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,October_control,2,24.0,REUSED,260.68045258522034,175.8923797607422,0.0,197.0,57.54459762573242,0.0,0.6314102411270142,0.0,0,1,77.491,22.333333333333332,312
October_control__proxy_24h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,October_control,1,24.0,REUSED,257.3137094974518,182.09194946289062,0.0,238.0,51.39012145996094,0.0,0.7677419185638428,0.0,0,1,75.589,21.866666666666667,310
October_control__proxy_24h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,October_control,2,24.0,REUSED,229.02716875076294,188.36032104492188,0.0,288.0,48.35374450683594,0.0,0.891640841960907,0.0,0,1,75.945,21.833333333333332,323
October_control__proxy_24h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,October_control,1,24.0,REUSED,279.4011015892029,188.01211547851562,0.0,235.0,56.847957611083984,0.0,0.7253086566925049,0.0,0,1,76.082,22.033333333333335,324
October_control__proxy_24h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,October_control,2,24.0,REUSED,234.4502317905426,180.49484252929688,0.0,265.0,46.188392639160156,0.0,0.8603895902633667,0.0,0,1,76.289,22.0,308
October_control__proxy_24h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,October_control,1,24.0,REUSED,256.7388017177582,139.1145477294922,150.0,76.0,135.2667236328125,0.4934210479259491,0.25,0.0,1,2,75.214,21.75,304
October_control__proxy_24h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,October_control,2,24.0,REUSED,226.60543847084045,178.12686157226562,0.0,256.0,47.017669677734375,0.0,0.8476821184158325,0.0,0,1,75.633,21.8,302
October_control__proxy_24h__vehicle_specific_6040__AUV1_region_A,vehicle_specific_6040,October_control,1,24.0,REUSED,282.9450011253357,103.43597412109375,237.0,0.0,196.85348510742188,0.7523809671401978,0.0,0.0,0,1,75.998,21.916666666666668,315
October_control__proxy_24h__vehicle_specific_6040__AUV2_region_B,vehicle_specific_6040,October_control,2,24.0,REUSED,223.16217947006226,180.82591247558594,0.0,273.0,46.276512145996094,0.0,0.8778135180473328,0.0,0,1,76.79,22.166666666666668,311
October_control__proxy_24h__vehicle_specific_5050__AUV1_region_A,vehicle_specific_5050,October_control,1,24.0,REUSED,252.73555755615234,97.999267578125,252.0,0.0,200.92567443847656,0.8399999737739563,0.0,0.09333333373069763,0,1,74.487,21.483333333333334,300
October_control__proxy_24h__vehicle_specific_5050__AUV2_region_B,vehicle_specific_5050,October_control,2,24.0,REUSED,189.7804536819458,179.80165100097656,0.0,268.0,49.12331008911133,0.0,0.8645161390304565,0.0,0,1,75.701,21.816666666666666,310
October_control__proxy_24h__vehicle_specific_2575__AUV1_region_A,vehicle_specific_2575,October_control,1,24.0,REUSED,167.5727994441986,88.84721374511719,238.0,0.0,194.17782592773438,0.8321678042411804,0.0,0.0839160829782486,0,1,75.453,21.683333333333334,286
October_control__proxy_24h__vehicle_specific_2575__AUV2_region_B,vehicle_specific_2575,October_control,2,24.0,REUSED,145.75353288650513,179.3075408935547,0.0,269.0,42.88364791870117,0.0,0.8621794581413269,0.0,0,1,75.338,21.733333333333334,312
October_control__proxy_24h__vehicle_specific_00100__AUV1_region_A,vehicle_specific_00100,October_control,1,24.0,REUSED,69.81573486328125,81.0622787475586,202.0,0.0,165.28079223632812,0.8015872836112976,0.0,0.075396828353405,0,1,62.138,17.6,252
October_control__proxy_24h__vehicle_specific_00100__AUV2_region_B,vehicle_specific_00100,October_control,2,24.0,REUSED,71.37628841400146,146.79322814941406,0.0,217.0,47.52117919921875,0.0,0.8346154093742371,0.0,0,1,62.153,17.633333333333333,260
