date,expected_filename,file_found,path,variables,dimensions,STD_shape,TEMPpred_shape,LAT_shape,LON_shape,BATHY_shape,STD_dims,TEMPpred_dims,day_values,time_values,depth_value_m
2024-10-21,21-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241020\21-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728259200.0, 1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0]",0.4940253794193268
2024-10-22,22-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241021\22-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728345600.0, 1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0, 1729468800.0]",0.4940253794193268
2024-10-23,23-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241022\23-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728432000.0, 1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0, 1729468800.0, 1729555200.0]",0.4940253794193268
2024-10-24,24-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241023\24-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728518400.0, 1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0, 1729468800.0, 1729555200.0, 1729641600.0]",0.4940253794193268
2024-10-25,25-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241024\25-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728604800.0, 1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0, 1729468800.0, 1729555200.0, 1729641600.0, 1729728000.0]",0.4940253794193268
2024-10-26,26-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241025\26-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728691200.0, 1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0, 1729468800.0, 1729555200.0, 1729641600.0, 1729728000.0, 1729814400.0]",0.4940253794193268
2024-10-27,27-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241026\27-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728777600.0, 1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0, 1729468800.0, 1729555200.0, 1729641600.0, 1729728000.0, 1729814400.0, 1729900800.0]",0.4940253794193268
2024-10-28,28-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241027\28-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728864000.0, 1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0, 1729468800.0, 1729555200.0, 1729641600.0, 1729728000.0, 1729814400.0, 1729900800.0, 1729987200.0]",0.4940253794193268
2024-10-29,29-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241028\29-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1728950400.0, 1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0, 1729468800.0, 1729555200.0, 1729641600.0, 1729728000.0, 1729814400.0, 1729900800.0, 1729987200.0, 1730073600.0]",0.4940253794193268
2024-10-30,30-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241029\30-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1729036800.0, 1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0, 1729468800.0, 1729555200.0, 1729641600.0, 1729728000.0, 1729814400.0, 1729900800.0, 1729987200.0, 1730073600.0, 1730160000.0]",0.4940253794193268
2024-10-31,31-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241030\31-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1729123200.0, 1729209600.0, 1729296000.0, 1729382400.0, 1729468800.0, 1729555200.0, 1729641600.0, 1729728000.0, 1729814400.0, 1729900800.0, 1729987200.0, 1730073600.0, 1730160000.0, 1730246400.0]",0.4940253794193268
