method_family,method_name,interpolation,domain_tested,mask_mode,rmse,mae,mean_bias,max_abs_error,pearson,spearman,nrmse,ssim,ncc,contour_score,gradient_corr,exact_match_possible,valid_cells_used,valid_fraction,notes,composite_score,rank
D_optimization_matching,ncc_translation_search,linear,roi,nomask,0.8815883098861101,0.8201016652356333,0.8201016652356333,1.3241899139404296,-0.1844236541229101,-0.2660747080264867,1.0896586241716966,0.7124811175277949,-0.18442365412291006,0.08148268718276003,-0.23867874634380465,False,8576,1.0,NCC translation,0.8626354908396222,522
B_linear_registration,affine_manual_shear_shx+0.06_shy+0.00,linear,full,masked,0.7799325991582806,0.6325327871673051,0.6324996265645357,1.5291059295654286,-0.8972725851108091,-0.8885215310208688,0.6937667667303676,0.6857616362567461,-0.8972725851108099,0.1450945516989226,0.06993838952189654,False,27716,0.6415740740740741,manual affine shear,0.8630014527736618,523
B_linear_registration,similarity_manual_rot_-8.0deg,nearest,roi,nomask,0.6722343587349823,0.54880594894459,0.54880594894459,1.3873544738769539,-0.8898674205148305,-0.8486360711036317,0.8308934660836573,0.6340986291729949,-0.8898674205148305,0.10599368971963812,0.07056144904817845,False,8576,1.0,manual similarity,0.8652260166379823,524
B_linear_registration,affine_manual_shear_shx+0.06_shy+0.00,bicubic,full,masked,0.7820334474504314,0.6345571259931982,0.6345372153391737,1.5291059295654286,-0.8992789205710232,-0.891524676403893,0.6956355163231009,0.6799319083584486,-0.8992789205710231,0.15272607132519145,0.06267963538040923,False,27260,0.6310185185185185,manual affine shear,0.8657104560858017,525
B_linear_registration,similarity_manual_rot_-8.0deg,linear,roi,nomask,0.6722635515703053,0.5488224770012187,0.5488224770012187,1.3886438415527351,-0.8899948342361507,-0.8486809028787867,0.8309295489404931,0.6344171018965885,-0.8899948342361503,0.0763603798070549,0.06868636483437796,False,8576,1.0,manual similarity,0.8665020414118366,526
A_discrete_basic,resize_full_flip_h,bicubic,roi,masked,0.8300487195926544,0.7483211149997399,0.7483211149997399,1.4088966705322257,-0.3669952963493927,-0.4467802145875747,1.0259547859744826,0.6853943635564765,-0.36699529634939265,0.1098014905186601,-0.07776654410981244,False,8296,0.9673507462686567,orientation + resize,0.8665362575938742,527
A_discrete_basic,scale_only_center_s1.10,bicubic,full,masked,0.7780714961080981,0.625530095922658,0.625498720581137,1.5700955078124998,-0.9408586516535117,-0.9083505838368633,0.6921112756698957,0.696987788085833,-0.9408586516535119,0.14657963833110932,0.16465457937653868,False,26728,0.6187037037037038,scale only,0.8666091115228174,528
A_discrete_basic,resize_full_flip_h,lanczos,roi,masked,0.8300248660753967,0.7483085804360813,0.7483085804360813,1.4087879516601554,-0.3670553555090543,-0.4468290199271745,1.0259253026084885,0.6854169328065904,-0.3670553555090543,0.10784212010913827,-0.07799960993819348,False,8296,0.9673507462686567,orientation + resize,0.8666211011228322,529
A_discrete_basic,resize_full_flip_h,nearest,roi,masked,0.8300613616389342,0.7482942757811588,0.7482942757811588,1.4086735107421866,-0.3671426288516278,-0.4468907341778625,1.0259704117655708,0.6779519425620799,-0.36714262885162763,0.11053810926655736,-0.07093646781319382,False,8296,0.9673507462686567,orientation + resize,0.8667110897347674,530
B_linear_registration,similarity_manual_rot_-8.0deg,bicubic,roi,nomask,0.6724774613475051,0.5490420385143943,0.5490420385143943,1.3888612792968758,-0.89001951831508,-0.849304675828571,0.8311939451795387,0.6337543772616344,-0.8900195183150797,0.08363647980886346,0.06205798639805355,False,8570,0.9993003731343284,manual similarity,0.8667453111071102,531
B_linear_registration,similarity_manual_rot_-4.0deg,nearest,full,masked,0.7561254147361413,0.6048901409340394,0.6048801813541168,1.5280725708007807,-0.9341135563394459,-0.9006364330163006,0.6769554722558232,0.6702713450861992,-0.9341135563394454,0.17325884392625285,0.05924832731343922,False,24597,0.569375,manual similarity,0.8672947404340928,532
A_discrete_basic,resize_full_flip_h,linear,roi,masked,0.8299560623505142,0.7482643978177754,0.7482643978177754,1.408810839843749,-0.3672283126162923,-0.44698778578778925,1.0258402599969285,0.6851389577476581,-0.36722831261629235,0.0846533029978047,-0.07871714550212969,False,8296,0.9673507462686567,orientation + resize,0.8675904354852297,533
