scope,prototype_key,prototype_name,row,col,lat,lon,temp_mean,temp_std,region_label,region_label_id,boundary_score,gradient_magnitude,gradient_direction,distance_to_boundary,region_id
global,class_03,prototype_class_03,0,74,39.38888931274414,-9.129630088806152,-0.29598036,0.45503026,low,0,0.7099687,3.9841483,2.5329666,25.553865,1
global,class_03,prototype_class_03,0,75,39.38888931274414,-9.123873710632324,-0.3147871,0.45557168,low,0,0.7008339,3.9467468,2.5446355,26.41969,1
global,class_03,prototype_class_03,0,76,39.38888931274414,-9.118118286132812,-0.33359402,0.45617732,low,0,0.69052315,3.9002206,2.5548663,27.294687,1
global,class_03,prototype_class_03,0,77,39.38888931274414,-9.1123628616333,-0.3521711,0.45695496,low,0,0.6678568,3.7616904,2.549106,28.178005,1
global,class_03,prototype_class_03,0,78,39.38888931274414,-9.106606483459473,-0.3694871,0.45837912,low,0,0.647241,3.6378863,2.5443554,29.068884,1
global,class_03,prototype_class_03,0,79,39.38888931274414,-9.100851058959961,-0.38680306,0.4598468,low,0,0.63927096,3.607304,2.5569303,29.966648,1
global,class_03,prototype_class_03,0,80,39.38888931274414,-9.09509563446045,-0.40411896,0.4613572,low,0,0.6316049,3.5764832,2.5695732,30.805843,1
global,class_03,prototype_class_03,0,81,39.38888931274414,-9.089339256286621,-0.421435,0.4629101,low,0,0.62450105,3.5485644,2.582834,31.622776,1
global,class_03,prototype_class_03,0,82,39.38888931274414,-9.08358383178711,-0.43875077,0.4645049,low,0,0.61731285,3.5197673,2.5960538,32.449963,1
global,class_03,prototype_class_03,0,83,39.38888931274414,-9.077828407287598,-0.4560667,0.4661416,low,0,0.61034036,3.4922848,2.6095974,33.286633,1
global,class_03,prototype_class_03,0,84,39.38888931274414,-9.07207202911377,-0.47338268,0.4678191,low,0,0.60340637,3.4647782,2.623244,34.132095,1
global,class_03,prototype_class_03,0,85,39.38888931274414,-9.066316604614258,-0.49069875,0.46953753,low,0,0.5583571,3.1544843,2.5867615,34.98571,1
global,class_03,prototype_class_03,0,86,39.38888931274414,-9.060561180114746,-0.5042754,0.47075796,low,0,0.48847237,2.659795,2.51546,35.846897,1
global,class_03,prototype_class_03,0,87,39.38888931274414,-9.054804801940918,-0.5155149,0.47166157,low,0,0.4528182,2.4184105,2.5112724,36.71512,1
global,class_03,prototype_class_03,0,88,39.38888931274414,-9.049049377441406,-0.52675456,0.47257933,low,0,0.43941963,2.3415759,2.5570102,37.589893,1
global,class_03,prototype_class_03,0,89,39.38888931274414,-9.043293952941895,-0.53799444,0.47351134,low,0,0.42692798,2.2710755,2.6060233,38.470768,1
global,class_03,prototype_class_03,0,90,39.38888931274414,-9.037537574768066,-0.5492343,0.4744579,low,0,0.4150917,2.2050366,2.6577408,39.357338,1
global,class_03,prototype_class_03,0,91,39.38888931274414,-9.031782150268555,-0.56047386,0.47541848,low,0,0.4044119,2.1471672,2.7128992,40.24922,1
global,class_03,prototype_class_03,0,92,39.38888931274414,-9.026026725769043,-0.5717135,0.47639284,low,0,0.39453483,2.094841,2.7706892,41.14608,1
global,class_03,prototype_class_03,0,93,39.38888931274414,-9.020270347595215,-0.5829531,0.4773814,low,0,0.7590919,94.2856,0.006639803,42.047592,1
global,class_03,prototype_class_03,1,0,39.396385192871094,-9.55555534362793,1.2899121,0.5705724,high,1,0.5484078,3.2086668,2.5379772,40.012497,2
global,class_03,prototype_class_03,1,1,39.396385192871094,-9.549799919128418,1.2747334,0.56969535,high,1,0.5549746,3.2332926,2.525392,39.012817,2
global,class_03,prototype_class_03,1,2,39.396385192871094,-9.54404354095459,1.2595544,0.5689505,high,1,0.56182134,3.2593174,2.5131814,38.013157,2
global,class_03,prototype_class_03,1,3,39.396385192871094,-9.538288116455078,1.2443756,0.5683381,high,1,0.56910676,3.2878993,2.5016456,37.01351,2
global,class_03,prototype_class_03,1,4,39.396385192871094,-9.532532691955566,1.2291965,0.5678586,high,1,0.5763881,3.3157372,2.4900343,36.013885,2
global,class_03,prototype_class_03,1,5,39.396385192871094,-9.526776313781738,1.2140174,0.5675124,high,1,0.5839624,3.3450131,2.478851,35.014282,2
global,class_03,prototype_class_03,1,6,39.396385192871094,-9.521020889282227,1.1988385,0.5672998,high,1,0.5916249,3.3741884,2.467745,34.0147,2
global,class_03,prototype_class_03,1,7,39.396385192871094,-9.515265464782715,1.1836596,0.5672205,high,1,0.5996985,3.4056346,2.457277,33.01515,2
global,class_03,prototype_class_03,1,8,39.396385192871094,-9.509509086608887,1.1684806,0.5672752,high,1,0.62113583,3.535318,2.4698493,32.01562,2
global,class_03,prototype_class_03,1,9,39.396385192871094,-9.503753662109375,1.1518241,0.5667155,high,1,0.65783894,3.777311,2.506209,31.016125,2
global,class_03,prototype_class_03,1,10,39.396385192871094,-9.497998237609863,1.1334431,0.5654099,high,1,0.6815319,3.9220488,2.5223124,30.016663,2
