row_id,date,day_index_370,expected_class,expected_class_label,predicted_class,predicted_class_label,predicted_step08_class_label,predicted_cv_regime_label,predicted_qualitative_regime_label,match_expected,nearest_centroid_distance,second_centroid_distance,confidence_margin,confidence_score,class_distance_rank,best_prototype_corr_class,best_prototype_rmse_class,feature_vs_corr_mismatch,feature_vs_rmse_mismatch,low_confidence_flag,class_id,class_label,class_size,cv_regime_label,qualitative_regime_label,prototype_mean,prototype_std,prototype_min,prototype_max,prototype_p05,prototype_p50,prototype_p95,gradient_mean,gradient_median,gradient_p90,gradient_p95,gradient_max,high_gradient_threshold,high_gradient_fraction,gradient_concentration_score,dominant_gradient_region,gradient_centroid_x_km,gradient_centroid_y_km,boundary_score,boundary_threshold,boundary_fraction,boundary_component_count,largest_boundary_component_fraction,boundary_length_proxy,boundary_orientation_proxy,boundary_region_label,heterogeneity_score,local_variance_mean,local_variance_p90,entropy_score,texture_score,spatial_roughness,unimodal_or_bimodal_flag,substructure_flag,cold_fraction,warm_fraction,neutral_fraction,cold_warm_ratio,segmentation_thresholds,segmentation_method,cold_region_centroid_x_km,cold_region_centroid_y_km,warm_region_centroid_x_km,warm_region_centroid_y_km,segment_interface_score,mean_member_to_prototype_rmse,std_member_to_prototype_rmse,max_member_to_prototype_rmse,representative_member_ids,outlier_member_ids,intra_class_variability_score,compactness_score,interest_mean,interest_p90
10,2023-12-16,50,6,C06,6,C06,class_06_multi_regime,multi_regime,mixed,True,88.19496154785156,118.06478118896484,29.86981964111328,0.25299516320228577,C06|C01|C05|C02|C04|C03,6,6,False,False,False,6,class_06_multi_regime,72,multi_regime,mixed,-0.22974194586277,0.1911797225475311,-0.6636298894882202,0.1209588721394538,-0.5632145404815674,-0.198391705751419,0.0494409650564193,0.0321187414228916,0.0254317373037338,0.0380337014794349,0.0395955741405487,1.1792325973510742,0.0380337014794349,0.1000749625187406,0.0649582222104072,east,483.8907470703125,4387.80712890625,0.5384505987167358,-0.2667382955551147,0.0182408795602198,1,1.0,146,north_south,central,0.1078420728445053,0.0004555980849545,0.0001657620014157,0.9669183727768892,0.0034049961250275,0.0029977271333336,bimodal,True,0.1962768615692154,0.3037231384307846,0.5,0.6462361168243521,-0.431307|-0.0999962,otsu_guided_tertiles:otsu,486.14697265625,4386.16845703125,467.6493225097656,4388.98388671875,0.0182408795602198,0.2641033313961493,0.0885399250308782,0.4562040269374847,55|50|211|207|54,326|37|46|35|253,1.38144008097139,0.7910745705381077,0.2259227782487869,0.3509849309921264
11,2023-12-17,51,6,C06,6,C06,class_06_multi_regime,multi_regime,mixed,True,92.3141098022461,125.28768920898438,32.97357940673828,0.2631829082965851,C06|C01|C05|C02|C04|C03,6,6,False,False,False,6,class_06_multi_regime,72,multi_regime,mixed,-0.22974194586277,0.1911797225475311,-0.6636298894882202,0.1209588721394538,-0.5632145404815674,-0.198391705751419,0.0494409650564193,0.0321187414228916,0.0254317373037338,0.0380337014794349,0.0395955741405487,1.1792325973510742,0.0380337014794349,0.1000749625187406,0.0649582222104072,east,483.8907470703125,4387.80712890625,0.5384505987167358,-0.2667382955551147,0.0182408795602198,1,1.0,146,north_south,central,0.1078420728445053,0.0004555980849545,0.0001657620014157,0.9669183727768892,0.0034049961250275,0.0029977271333336,bimodal,True,0.1962768615692154,0.3037231384307846,0.5,0.6462361168243521,-0.431307|-0.0999962,otsu_guided_tertiles:otsu,486.14697265625,4386.16845703125,467.6493225097656,4388.98388671875,0.0182408795602198,0.2641033313961493,0.0885399250308782,0.4562040269374847,55|50|211|207|54,326|37|46|35|253,1.38144008097139,0.7910745705381077,0.2259227782487869,0.3509849309921264
12,2023-12-18,52,6,C06,6,C06,class_06_multi_regime,multi_regime,mixed,True,81.14734649658203,120.72885131835938,39.581504821777344,0.32785457372665405,C06|C01|C05|C02|C04|C03,6,6,False,False,False,6,class_06_multi_regime,72,multi_regime,mixed,-0.22974194586277,0.1911797225475311,-0.6636298894882202,0.1209588721394538,-0.5632145404815674,-0.198391705751419,0.0494409650564193,0.0321187414228916,0.0254317373037338,0.0380337014794349,0.0395955741405487,1.1792325973510742,0.0380337014794349,0.1000749625187406,0.0649582222104072,east,483.8907470703125,4387.80712890625,0.5384505987167358,-0.2667382955551147,0.0182408795602198,1,1.0,146,north_south,central,0.1078420728445053,0.0004555980849545,0.0001657620014157,0.9669183727768892,0.0034049961250275,0.0029977271333336,bimodal,True,0.1962768615692154,0.3037231384307846,0.5,0.6462361168243521,-0.431307|-0.0999962,otsu_guided_tertiles:otsu,486.14697265625,4386.16845703125,467.6493225097656,4388.98388671875,0.0182408795602198,0.2641033313961493,0.0885399250308782,0.4562040269374847,55|50|211|207|54,326|37|46|35|253,1.38144008097139,0.7910745705381077,0.2259227782487869,0.3509849309921264
13,2023-12-19,53,6,C06,6,C06,class_06_multi_regime,multi_regime,mixed,True,64.96834564208984,112.28569793701172,47.317352294921875,0.42140141129493713,C06|C01|C05|C02|C04|C03,6,6,False,False,False,6,class_06_multi_regime,72,multi_regime,mixed,-0.22974194586277,0.1911797225475311,-0.6636298894882202,0.1209588721394538,-0.5632145404815674,-0.198391705751419,0.0494409650564193,0.0321187414228916,0.0254317373037338,0.0380337014794349,0.0395955741405487,1.1792325973510742,0.0380337014794349,0.1000749625187406,0.0649582222104072,east,483.8907470703125,4387.80712890625,0.5384505987167358,-0.2667382955551147,0.0182408795602198,1,1.0,146,north_south,central,0.1078420728445053,0.0004555980849545,0.0001657620014157,0.9669183727768892,0.0034049961250275,0.0029977271333336,bimodal,True,0.1962768615692154,0.3037231384307846,0.5,0.6462361168243521,-0.431307|-0.0999962,otsu_guided_tertiles:otsu,486.14697265625,4386.16845703125,467.6493225097656,4388.98388671875,0.0182408795602198,0.2641033313961493,0.0885399250308782,0.4562040269374847,55|50|211|207|54,326|37|46|35|253,1.38144008097139,0.7910745705381077,0.2259227782487869,0.3509849309921264
14,2023-12-21,55,6,C06,6,C06,class_06_multi_regime,multi_regime,mixed,True,34.662025451660156,101.35623931884766,66.6942138671875,0.6580178141593933,C06|C05|C01|C02|C04|C03,6,6,False,False,False,6,class_06_multi_regime,72,multi_regime,mixed,-0.22974194586277,0.1911797225475311,-0.6636298894882202,0.1209588721394538,-0.5632145404815674,-0.198391705751419,0.0494409650564193,0.0321187414228916,0.0254317373037338,0.0380337014794349,0.0395955741405487,1.1792325973510742,0.0380337014794349,0.1000749625187406,0.0649582222104072,east,483.8907470703125,4387.80712890625,0.5384505987167358,-0.2667382955551147,0.0182408795602198,1,1.0,146,north_south,central,0.1078420728445053,0.0004555980849545,0.0001657620014157,0.9669183727768892,0.0034049961250275,0.0029977271333336,bimodal,True,0.1962768615692154,0.3037231384307846,0.5,0.6462361168243521,-0.431307|-0.0999962,otsu_guided_tertiles:otsu,486.14697265625,4386.16845703125,467.6493225097656,4388.98388671875,0.0182408795602198,0.2641033313961493,0.0885399250308782,0.4562040269374847,55|50|211|207|54,326|37|46|35|253,1.38144008097139,0.7910745705381077,0.2259227782487869,0.3509849309921264
15,2023-12-22,56,6,C06,6,C06,class_06_multi_regime,multi_regime,mixed,True,34.45479965209961,107.40679931640625,72.95199584960938,0.6792120933532715,C06|C05|C01|C02|C04|C03,2,6,True,False,False,6,class_06_multi_regime,72,multi_regime,mixed,-0.22974194586277,0.1911797225475311,-0.6636298894882202,0.1209588721394538,-0.5632145404815674,-0.198391705751419,0.0494409650564193,0.0321187414228916,0.0254317373037338,0.0380337014794349,0.0395955741405487,1.1792325973510742,0.0380337014794349,0.1000749625187406,0.0649582222104072,east,483.8907470703125,4387.80712890625,0.5384505987167358,-0.2667382955551147,0.0182408795602198,1,1.0,146,north_south,central,0.1078420728445053,0.0004555980849545,0.0001657620014157,0.9669183727768892,0.0034049961250275,0.0029977271333336,bimodal,True,0.1962768615692154,0.3037231384307846,0.5,0.6462361168243521,-0.431307|-0.0999962,otsu_guided_tertiles:otsu,486.14697265625,4386.16845703125,467.6493225097656,4388.98388671875,0.0182408795602198,0.2641033313961493,0.0885399250308782,0.4562040269374847,55|50|211|207|54,326|37|46|35|253,1.38144008097139,0.7910745705381077,0.2259227782487869,0.3509849309921264
16,2024-05-22,208,6,C06,6,C06,class_06_multi_regime,multi_regime,mixed,True,96.86689758300781,100.07223510742188,3.2053375244140625,0.03203023970127106,C06|C05|C01|C04|C02|C03,5,6,True,False,True,6,class_06_multi_regime,72,multi_regime,mixed,-0.22974194586277,0.1911797225475311,-0.6636298894882202,0.1209588721394538,-0.5632145404815674,-0.198391705751419,0.0494409650564193,0.0321187414228916,0.0254317373037338,0.0380337014794349,0.0395955741405487,1.1792325973510742,0.0380337014794349,0.1000749625187406,0.0649582222104072,east,483.8907470703125,4387.80712890625,0.5384505987167358,-0.2667382955551147,0.0182408795602198,1,1.0,146,north_south,central,0.1078420728445053,0.0004555980849545,0.0001657620014157,0.9669183727768892,0.0034049961250275,0.0029977271333336,bimodal,True,0.1962768615692154,0.3037231384307846,0.5,0.6462361168243521,-0.431307|-0.0999962,otsu_guided_tertiles:otsu,486.14697265625,4386.16845703125,467.6493225097656,4388.98388671875,0.0182408795602198,0.2641033313961493,0.0885399250308782,0.4562040269374847,55|50|211|207|54,326|37|46|35|253,1.38144008097139,0.7910745705381077,0.2259227782487869,0.3509849309921264
17,2024-05-26,212,6,C06,6,C06,class_06_multi_regime,multi_regime,mixed,True,79.34861755371094,104.07982635498047,24.73120880126953,0.23761770129203796,C06|C01|C05|C02|C04|C03,6,6,False,False,False,6,class_06_multi_regime,72,multi_regime,mixed,-0.22974194586277,0.1911797225475311,-0.6636298894882202,0.1209588721394538,-0.5632145404815674,-0.198391705751419,0.0494409650564193,0.0321187414228916,0.0254317373037338,0.0380337014794349,0.0395955741405487,1.1792325973510742,0.0380337014794349,0.1000749625187406,0.0649582222104072,east,483.8907470703125,4387.80712890625,0.5384505987167358,-0.2667382955551147,0.0182408795602198,1,1.0,146,north_south,central,0.1078420728445053,0.0004555980849545,0.0001657620014157,0.9669183727768892,0.0034049961250275,0.0029977271333336,bimodal,True,0.1962768615692154,0.3037231384307846,0.5,0.6462361168243521,-0.431307|-0.0999962,otsu_guided_tertiles:otsu,486.14697265625,4386.16845703125,467.6493225097656,4388.98388671875,0.0182408795602198,0.2641033313961493,0.0885399250308782,0.4562040269374847,55|50|211|207|54,326|37|46|35|253,1.38144008097139,0.7910745705381077,0.2259227782487869,0.3509849309921264
18,2024-06-12,229,6,C06,2,C02,class_02_single_gradient,single_gradient,transition,False,36.706886291503906,90.37454986572266,53.66766357421875,0.5938360095024109,C02|C01|C03|C04|C05|C06,6,1,True,True,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
19,2024-06-15,232,6,C06,6,C06,class_06_multi_regime,multi_regime,mixed,True,108.7789077758789,110.94194030761719,2.1630325317382812,0.01949697732925415,C06|C01|C05|C02|C04|C03,5,6,True,False,True,6,class_06_multi_regime,72,multi_regime,mixed,-0.22974194586277,0.1911797225475311,-0.6636298894882202,0.1209588721394538,-0.5632145404815674,-0.198391705751419,0.0494409650564193,0.0321187414228916,0.0254317373037338,0.0380337014794349,0.0395955741405487,1.1792325973510742,0.0380337014794349,0.1000749625187406,0.0649582222104072,east,483.8907470703125,4387.80712890625,0.5384505987167358,-0.2667382955551147,0.0182408795602198,1,1.0,146,north_south,central,0.1078420728445053,0.0004555980849545,0.0001657620014157,0.9669183727768892,0.0034049961250275,0.0029977271333336,bimodal,True,0.1962768615692154,0.3037231384307846,0.5,0.6462361168243521,-0.431307|-0.0999962,otsu_guided_tertiles:otsu,486.14697265625,4386.16845703125,467.6493225097656,4388.98388671875,0.0182408795602198,0.2641033313961493,0.0885399250308782,0.4562040269374847,55|50|211|207|54,326|37|46|35|253,1.38144008097139,0.7910745705381077,0.2259227782487869,0.3509849309921264
