class_id,image_idx_0_based,day_index,date
6,115,116,2024-02-20
6,116,117,2024-02-21
6,117,118,2024-02-22
6,168,169,2024-04-13
6,169,170,2024-04-14
6,176,177,2024-04-21
6,177,178,2024-04-22
6,193,194,2024-05-08
6,194,195,2024-05-09
6,197,198,2024-05-12
6,198,199,2024-05-13
6,199,200,2024-05-14
6,206,207,2024-05-21
6,207,208,2024-05-22
6,210,211,2024-05-25
6,211,212,2024-05-26
6,217,218,2024-06-01
6,218,219,2024-06-02
6,228,229,2024-06-12
6,229,230,2024-06-13
6,230,231,2024-06-14
6,231,232,2024-06-15
6,232,233,2024-06-16
6,233,234,2024-06-17
6,237,238,2024-06-21
6,238,239,2024-06-22
6,239,240,2024-06-23
6,240,241,2024-06-24
6,241,242,2024-06-25
6,253,254,2024-07-07
6,302,303,2024-08-25
6,303,304,2024-08-26
6,304,305,2024-08-27
6,311,312,2024-09-03
6,317,318,2024-09-09
6,318,319,2024-09-10
6,325,326,2024-09-17
6,326,327,2024-09-18
