patch_w,patch_h,seed,dictionary_size,include_valid_mask,mask_encoding,feature_mode,patches_per_image,total_patches,patch_vector_length,feature_vector_length,number_of_classes,class_sizes,icv_class_01,icv_class_02,icv_class_03,icv_class_04,mean_icv,std_icv,min_class_size,mean_class_size,max_class_size,runtime_seconds,notes
72,40,23,4,True,concat,raw,1025,307500,5760,4100,4,"[79, 58, 66, 97]",2551.337890625,698.0262451171875,2320.13232421875,676.173828125,1561.4175720214844,878.164475179233,58,75.0,97,479.5334102000015,ok
80,44,11,4,True,concat,raw,693,207900,7040,2772,4,"[61, 129, 50, 60]",3680.671630859375,1523.9476318359375,1620.609375,780.2045288085938,1901.3582916259768,1077.5203570424196,50,75.0,129,363.3329369999992,ok
80,44,23,4,True,concat,raw,693,207900,7040,2772,4,"[155, 40, 50, 55]",2648.6513671875,2444.29248046875,2315.43798828125,606.45458984375,2003.7091064453125,815.4077674837403,40,75.0,155,106.94487969999682,ok
16,16,37,4,True,concat,raw,4753,1425900,512,19012,4,"[98, 27, 130, 45]",3457.04736328125,217.6329345703125,1330.398681640625,1497.52294921875,1625.6504821777344,1166.2030527430315,27,75.0,130,568.5847665000001,ok
24,16,37,4,True,concat,raw,4361,1308300,768,17444,4,"[98, 72, 56, 74]",668.2734985351562,2056.699462890625,652.4005126953125,2361.162109375,1434.6338958740234,781.7636190770193,56,75.0,98,520.9118294,ok
32,20,37,4,True,concat,raw,3645,1093500,1280,14580,4,"[156, 85, 35, 24]",2306.088623046875,2259.5869140625,2142.313720703125,657.3778076171875,1841.3417663574216,686.1620466916122,24,75.0,156,863.1821745999987,ok
40,24,37,4,True,concat,raw,2993,897900,1920,11972,4,"[159, 91, 22, 28]",2349.455322265625,2382.154296875,1828.052978515625,980.9409790039062,1885.150894165039,566.4465391602067,22,75.0,159,1295.7151768000003,ok
48,32,37,4,True,concat,raw,2145,643500,3072,8580,4,"[44, 159, 30, 67]",2052.9736328125,2349.455322265625,941.4091796875,1734.25390625,1769.5230102539062,525.2813931638728,30,75.0,159,848.7821672999999,ok
56,32,37,4,True,concat,raw,1881,564300,3584,7524,4,"[143, 28, 48, 81]",2308.99365234375,1761.604736328125,598.4068603515625,2026.6446533203125,1673.9124755859375,650.4133976318581,28,75.0,143,842.9262906000004,ok
64,36,37,4,True,concat,raw,1421,426300,4608,5684,4,"[72, 76, 44, 108]",1143.2021484375,2412.48388671875,1341.46630859375,995.904296875,1473.26416015625,555.9491296630363,44,75.0,108,590.4010015000022,ok
72,40,37,4,True,concat,raw,1025,307500,5760,4100,4,"[46, 67, 70, 117]",3331.99560546875,1093.0941162109375,3224.00927734375,1302.9920654296875,2238.022766113281,1043.322816553433,46,75.0,117,830.3750112999987,ok
80,44,37,4,True,concat,raw,693,207900,7040,2772,4,"[107, 56, 14, 123]",3346.09228515625,652.4005126953125,1524.211669921875,1188.334716796875,1677.759796142578,1012.1522723148528,14,75.0,123,384.1733352999981,ok
16,16,53,4,True,concat,raw,4753,1425900,512,19012,4,"[117, 110, 24, 49]",3601.97802734375,824.3333740234375,1740.958740234375,481.4847106933594,1662.1887130737305,1210.893349076122,24,75.0,117,5923.256168999997,ok
24,16,53,4,True,concat,raw,4361,1308300,768,17444,4,"[189, 22, 73, 16]",3604.614013671875,1317.9105224609375,1948.15625,915.5316772460938,1946.5531158447263,1025.5931488666422,16,75.0,189,533.2441174999985,ok
32,20,53,4,True,concat,raw,3645,1093500,1280,14580,4,"[76, 108, 71, 45]",2189.2177734375,1837.053466796875,2289.44140625,463.9821166992188,1694.9236907958984,730.2732341714582,45,75.0,108,616.9928454999972,ok
40,24,53,4,True,concat,raw,2993,897900,1920,11972,4,"[156, 49, 38, 57]",2306.088623046875,1591.6630859375,2062.04638671875,1946.520263671875,1976.57958984375,257.3640681990437,38,75.0,156,1036.403100699994,ok
48,32,53,4,True,concat,raw,2145,643500,3072,8580,4,"[40, 118, 72, 70]",2788.68310546875,1334.804931640625,1922.44482421875,1085.999755859375,1782.983154296875,655.2731350599748,40,75.0,118,754.8475051999994,ok
56,32,53,4,True,concat,raw,1881,564300,3584,7524,4,"[93, 76, 54, 77]",3166.130615234375,1037.2095947265625,579.0562133789062,2468.251708984375,1812.6620330810547,1046.9938906913542,54,75.0,93,344.0942958000014,ok
64,36,53,4,True,concat,raw,1421,426300,4608,5684,4,"[130, 35, 81, 54]",2323.389404296875,3377.83203125,1301.5335693359375,1902.7791748046875,2226.383544921875,757.5141944413754,35,75.0,130,310.114459299999,ok
72,40,53,4,True,concat,raw,1025,307500,5760,4100,4,"[33, 135, 80, 52]",1751.94140625,1496.972900390625,2153.06494140625,533.4765014648438,1483.8639373779297,596.4695374371784,33,75.0,135,260.56822239999747,ok
80,44,53,4,True,concat,raw,693,207900,7040,2772,4,"[131, 50, 71, 48]",2030.49267578125,1837.97314453125,1127.51318359375,1910.5341796875,1726.6282958984375,352.66539685753287,48,75.0,131,152.29365859999962,ok
16,16,71,4,True,concat,raw,4753,1425900,512,19012,4,"[85, 51, 106, 58]",1300.8060302734375,1721.719970703125,1721.677978515625,2095.21435546875,1709.8545837402344,281.115391268304,51,75.0,106,545.4255632999993,ok
24,16,71,4,True,concat,raw,4361,1308300,768,17444,4,"[116, 77, 68, 39]",1240.99658203125,2468.251708984375,1052.6702880859375,1217.3509521484375,1494.8173828125,566.674743525667,39,75.0,116,586.6144065999979,ok
32,20,71,4,True,concat,raw,3645,1093500,1280,14580,4,"[97, 134, 14, 55]",2563.8115234375,1565.818603515625,1382.137451171875,606.45458984375,1529.5555419921875,697.2890193716156,14,75.0,134,487.5688897,ok
40,24,71,4,True,concat,raw,2993,897900,1920,11972,4,"[100, 72, 31, 97]",2903.540283203125,1142.25634765625,1920.60498046875,684.92138671875,1662.8307495117188,841.5925574236569,31,75.0,100,420.5872643000039,ok
48,32,71,4,True,concat,raw,2145,643500,3072,8580,4,"[92, 116, 71, 21]",2403.68994140625,1399.6044921875,1103.5472412109375,1794.388427734375,1675.3075256347656,486.73483292918365,21,75.0,116,436.7644006999981,ok
56,32,71,4,True,concat,raw,1881,564300,3584,7524,4,"[92, 81, 25, 102]",2374.126953125,1301.5335693359375,1367.2008056640625,1015.6768798828125,1514.6345520019531,513.5257258714648,25,75.0,102,411.67424349999783,ok
64,36,71,4,True,concat,raw,1421,426300,4608,5684,4,"[89, 113, 70, 28]",2334.39208984375,1136.3408203125,1085.999755859375,1666.30078125,1555.7583618164062,503.75448655765496,28,75.0,113,339.0585917999997,ok
72,40,71,4,True,concat,raw,1025,307500,5760,4100,4,"[77, 81, 57, 85]",2447.392822265625,1301.5335693359375,1647.8746337890625,592.0487060546875,1497.2124328613281,667.6738464913025,57,75.0,85,277.36215520000405,ok
80,44,71,4,True,concat,raw,693,207900,7040,2772,4,"[88, 114, 54, 44]",2925.228759765625,910.7896728515625,579.0562133789062,1569.917724609375,1496.2480926513672,898.8069128540583,44,75.0,114,118.24759459999768,ok
