descriptor,alpha,run_count,mean_iqr10_collected_total,mean_iqr10_collected_mean,mean_iqr10_collected_per_km,mean_percentage_path_in_top10_IQR10,mean_IQR10_retention_vs_baseline,mean_IQR10_gain_vs_baseline,mean_IQR10_gain_pct_vs_baseline,mean_collected_STD,mean_STD_retention,mean_collected_descriptor,mean_collected_information_score,mean_trajectory_length,mean_solver_runtime
boundary_distance_score_r5_cells,0.5,1,81.82144165039062,0.5347806811332703,2.13437959176707,0.0457516339869281,0.8585888304594285,-13.476142883300781,-0.1414111695405715,91.19650268554688,1.0060281864109657,130.73773193359375,119.99423217773438,38.335,1128.910235599993
boundary_distance_score_r5_cells,0.75,1,78.63656616210938,0.500869870185852,2.019792108548259,0.0,0.8251685134192283,-16.66101837158203,-0.17483148658077174,92.39990234375,1.0193034101313765,141.50027465820312,135.83058166503906,38.933,625.5467343000055
boundary_distance_score_r5_cells,1.0,1,77.52534484863281,0.47561562061309814,1.9750673812451036,0.0,0.8135079732396007,-17.772239685058594,-0.1864920267603993,93.690673828125,1.0335424703722529,149.73248291015625,149.73248291015625,39.252,287.7381919999898
boundary_score,0.0,1,95.2975845336914,0.6228600144386292,2.5043382790763253,0.3202614379084967,1.0,0.0,0.0,90.6500473022461,1.0,107.18716430664062,90.6500473022461,38.053,1524.0095923999909
boundary_score,0.25,1,84.11785888671875,0.5497899055480957,2.1705593973968815,0.0392156862745098,0.8826861593431029,-11.179725646972656,-0.11731384065689711,90.0822296142578,0.9937361567380648,129.47348022460938,98.47460174560548,38.754,1501.3017230000114
boundary_score,0.5,1,82.18208312988281,0.5371378064155579,2.1543524557601597,0.0,0.8623732021332424,-13.115501403808594,-0.1376267978667576,89.0613784790039,0.9824747049723512,130.7659912109375,112.08275604248048,38.147,924.1077984000148
boundary_score,0.75,1,69.71807098388672,0.4875389635562897,1.8489423975359143,0.0,0.7315827712216427,-25.579513549804688,-0.2684172287783573,76.82015991210938,0.8474365121506776,125.09266662597656,117.65697479248048,37.707,1173.4373592000047
boundary_score,1.0,1,79.93794250488281,0.49961215257644653,2.07377856914631,0.0,0.8388244350162058,-15.359642028808594,-0.16117556498379412,84.33016967773438,0.930282688067002,136.2384796142578,136.2384796142578,38.547,1023.532899200014
interest_map,0.0,1,95.2975845336914,0.6228600144386292,2.5043382790763253,0.3202614379084967,1.0,0.0,0.0,90.6500473022461,1.0,52.42616271972656,90.6500473022461,38.053,1524.0095923999909
interest_map,0.25,1,84.45294189453125,0.5448576807975769,2.2137075201711993,0.03870967741935484,0.8862023345898536,-10.844642639160156,-0.1137976654101464,91.73143005371094,1.0119292022855684,60.51144027709961,93.86363220214844,38.15,1652.19227639999
interest_map,0.5,1,84.382080078125,0.5409107804298401,2.2266163569180937,0.14102564102564102,0.8854587499884916,-10.915504455566406,-0.11454125001150843,94.73582458496094,1.0450719818059444,59.35566329956055,105.01827239990234,37.897,1344.8490470999968
interest_map,0.75,1,78.54042053222656,0.520135223865509,2.002203087980895,0.0,0.824159614501661,-16.757164001464844,-0.175840385498339,82.72241973876953,0.9125469009735404,59.73246765136719,80.5582275390625,39.227,731.5585024000029
interest_map,1.0,1,77.54707336425781,0.4939303994178772,2.1624347721552053,0.0,0.8137359802319218,-17.750511169433594,-0.18626401976807813,59.08704376220703,0.6518148144501078,64.89676666259766,64.89676666259766,35.861,370.32491490000393
