path,bytes
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_06_pixel_std_map.png,52144
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_07_closest_to_prototype_panel.png,184400
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_07_distance_to_prototype.csv,4590
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_07_farthest_from_prototype_panel.png,185131
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_07_members_list.csv,4485
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_07_members_panel.png,175637
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_07_pixel_std_map.png,52289
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_08_closest_to_prototype_panel.png,85982
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_08_distance_to_prototype.csv,1743
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_08_farthest_from_prototype_panel.png,86998
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_08_members_list.csv,1684
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_08_members_panel.png,84353
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_08_pixel_std_map.png,53825
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_09_closest_to_prototype_panel.png,182486
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_09_distance_to_prototype.csv,4719
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_09_farthest_from_prototype_panel.png,184510
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_09_members_list.csv,4614
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_09_members_panel.png,188938
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_09_pixel_std_map.png,55078
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_10_closest_to_prototype_panel.png,160261
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_10_distance_to_prototype.csv,4596
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_10_farthest_from_prototype_panel.png,160573
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_10_members_list.csv,4500
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_10_members_panel.png,149978
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\class_10_pixel_std_map.png,51957
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\dendrogram_cut.png,63512
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\pca2d_classes.png,134987
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototype_class_01.png,46396
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototype_class_02.png,42878
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototype_class_03.png,38835
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototype_class_04.png,39182
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototype_class_05.png,37776
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototype_class_06.png,38768
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototype_class_07.png,40900
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototype_class_08.png,44062
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototype_class_09.png,39558
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototype_class_10.png,38376
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_20pct\prototypes_panel.png,128060
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_01_closest_to_prototype_panel.png,241051
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_01_distance_to_prototype.csv,6243
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_01_farthest_from_prototype_panel.png,251407
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_01_members_list.csv,6092
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_01_members_panel.png,329058
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_01_pixel_std_map.png,47368
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_02_closest_to_prototype_panel.png,187651
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_02_distance_to_prototype.csv,10590
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_02_farthest_from_prototype_panel.png,200195
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_02_members_list.csv,7444
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_02_members_panel.png,303227
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_02_pixel_std_map.png,46454
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_03_closest_to_prototype_panel.png,181828
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_03_distance_to_prototype.csv,7550
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_03_farthest_from_prototype_panel.png,198029
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_03_members_list.csv,7415
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_03_members_panel.png,292713
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_03_pixel_std_map.png,46874
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_04_closest_to_prototype_panel.png,149330
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_04_distance_to_prototype.csv,16123
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_04_farthest_from_prototype_panel.png,152186
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_04_members_list.csv,7454
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_04_members_panel.png,250883
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_04_pixel_std_map.png,42709
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_05_closest_to_prototype_panel.png,184301
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_05_distance_to_prototype.csv,4590
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_05_farthest_from_prototype_panel.png,185103
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_05_members_list.csv,4485
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_05_members_panel.png,175707
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_05_pixel_std_map.png,47043
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_06_closest_to_prototype_panel.png,177499
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_06_distance_to_prototype.csv,10880
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_06_farthest_from_prototype_panel.png,188290
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_06_members_list.csv,7456
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_06_members_panel.png,284455
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\class_06_pixel_std_map.png,47015
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\dendrogram_cut.png,61546
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\pca2d_classes.png,120251
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\prototype_class_01.png,43267
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\prototype_class_02.png,38346
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\prototype_class_03.png,38982
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\prototype_class_04.png,38167
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\prototype_class_05.png,41065
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\prototype_class_06.png,40104
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_25pct\prototypes_panel.png,89582
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_01_closest_to_prototype_panel.png,240947
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_01_distance_to_prototype.csv,6243
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_01_farthest_from_prototype_panel.png,251318
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_01_members_list.csv,6092
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_01_members_panel.png,329089
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_01_pixel_std_map.png,48530
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_02_closest_to_prototype_panel.png,181613
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_02_distance_to_prototype.csv,18044
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_02_farthest_from_prototype_panel.png,172627
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_02_members_list.csv,7410
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_02_members_panel.png,299254
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_02_pixel_std_map.png,42517
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_03_closest_to_prototype_panel.png,149198
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_03_distance_to_prototype.csv,16123
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_03_farthest_from_prototype_panel.png,152056
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_03_members_list.csv,7454
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_03_members_panel.png,250676
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_03_pixel_std_map.png,43696
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_04_closest_to_prototype_panel.png,184220
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_04_distance_to_prototype.csv,4590
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_04_farthest_from_prototype_panel.png,184907
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_04_members_list.csv,4485
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_04_members_panel.png,175445
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_04_pixel_std_map.png,47073
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_05_closest_to_prototype_panel.png,177425
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_05_distance_to_prototype.csv,10880
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_05_farthest_from_prototype_panel.png,188129
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_05_members_list.csv,7456
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_05_members_panel.png,284214
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\class_05_pixel_std_map.png,46424
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\dendrogram_cut.png,61046
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\pca2d_classes.png,115317
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\prototype_class_01.png,43173
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\prototype_class_02.png,38819
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\prototype_class_03.png,38098
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\prototype_class_04.png,40690
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\prototype_class_05.png,39871
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_30pct\prototypes_panel.png,79773
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_01_closest_to_prototype_panel.png,241264
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_01_distance_to_prototype.csv,6243
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_01_farthest_from_prototype_panel.png,251639
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_01_members_list.csv,6092
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_01_members_panel.png,329224
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_01_pixel_std_map.png,48523
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_02_closest_to_prototype_panel.png,182015
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_02_distance_to_prototype.csv,18044
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_02_farthest_from_prototype_panel.png,173034
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_02_members_list.csv,7410
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_02_members_panel.png,299741
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_02_pixel_std_map.png,42736
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_03_closest_to_prototype_panel.png,149418
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_03_distance_to_prototype.csv,16123
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_03_farthest_from_prototype_panel.png,152371
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_03_members_list.csv,7454
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_03_members_panel.png,251114
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_03_pixel_std_map.png,43588
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_04_closest_to_prototype_panel.png,179957
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_04_distance_to_prototype.csv,15382
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_04_farthest_from_prototype_panel.png,200277
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_04_members_list.csv,7460
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_04_members_panel.png,288710
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\class_04_pixel_std_map.png,45337
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\dendrogram_cut.png,60233
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\pca2d_classes.png,108256
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\prototype_class_01.png,43590
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\prototype_class_02.png,38997
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\prototype_class_03.png,38114
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\prototype_class_04.png,40553
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_35pct\prototypes_panel.png,71913
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_01_closest_to_prototype_panel.png,240886
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_01_distance_to_prototype.csv,6243
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_01_farthest_from_prototype_panel.png,251318
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_01_members_list.csv,6092
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_01_members_panel.png,328945
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_01_pixel_std_map.png,47906
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_02_closest_to_prototype_panel.png,181711
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_02_distance_to_prototype.csv,18044
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_02_farthest_from_prototype_panel.png,172789
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_02_members_list.csv,7410
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_02_members_panel.png,299429
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_02_pixel_std_map.png,42612
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_03_closest_to_prototype_panel.png,149208
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_03_distance_to_prototype.csv,16123
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_03_farthest_from_prototype_panel.png,152107
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_03_members_list.csv,7454
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_03_members_panel.png,250827
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_03_pixel_std_map.png,43255
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_04_closest_to_prototype_panel.png,179601
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_04_distance_to_prototype.csv,15382
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_04_farthest_from_prototype_panel.png,200003
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_04_members_list.csv,7460
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_04_members_panel.png,288452
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\class_04_pixel_std_map.png,45075
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\dendrogram_cut.png,60042
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\pca2d_classes.png,108118
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\prototype_class_01.png,42922
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\prototype_class_02.png,38808
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\prototype_class_03.png,37556
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\prototype_class_04.png,40243
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_40pct\prototypes_panel.png,71719
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_fraction_vs_n_classes.png,109524
results\fossum_roi_x490_step04_sd_probe_patch40x24_dict4_20260511_211354\sd_probe_leaderboard.csv,2266
