path,type,extension,size_mb,modified,modified_iso,probable_objective,variables_or_dims,dimensions,contains_TEMPpred,contains_STD,contains_100_realizations,input_or_output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241003\04-10-2024_predModel_9.nc,output,.nc,80.142,1778919161.0943525,2026-05-16T09:12:41,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_1.nc,output,.nc,80.142,1778919161.723047,2026-05-16T09:12:41,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_10.nc,output,.nc,80.142,1778919162.4773128,2026-05-16T09:12:42,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_11.nc,output,.nc,80.142,1778919165.617283,2026-05-16T09:12:45,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_12.nc,output,.nc,80.142,1778919166.1983147,2026-05-16T09:12:46,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_13.nc,output,.nc,80.142,1778919166.7946305,2026-05-16T09:12:46,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_14.nc,output,.nc,80.142,1778919167.4704762,2026-05-16T09:12:47,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_15.nc,output,.nc,80.142,1778919168.1930249,2026-05-16T09:12:48,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_16.nc,output,.nc,80.142,1778919168.8694293,2026-05-16T09:12:48,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_17.nc,output,.nc,80.142,1778919169.5607786,2026-05-16T09:12:49,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_2.nc,output,.nc,80.142,1778919170.2679467,2026-05-16T09:12:50,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_3.nc,output,.nc,80.142,1778919170.8651464,2026-05-16T09:12:50,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_4.nc,output,.nc,80.142,1778919171.6336799,2026-05-16T09:12:51,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_5.nc,output,.nc,80.142,1778919172.2606492,2026-05-16T09:12:52,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_6.nc,output,.nc,80.142,1778919172.8731184,2026-05-16T09:12:52,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_7.nc,output,.nc,80.142,1778919173.6265638,2026-05-16T09:12:53,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_8.nc,output,.nc,80.142,1778919174.254964,2026-05-16T09:12:54,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_9.nc,output,.nc,80.142,1778919179.6566048,2026-05-16T09:12:59,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_1.nc,output,.nc,80.142,1778919180.2690096,2026-05-16T09:13:00,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_10.nc,output,.nc,80.142,1778919180.9284902,2026-05-16T09:13:00,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_11.nc,output,.nc,80.142,1778919181.5561316,2026-05-16T09:13:01,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_12.nc,output,.nc,80.142,1778919182.2149878,2026-05-16T09:13:02,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_13.nc,output,.nc,80.142,1778919182.9221206,2026-05-16T09:13:02,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_14.nc,output,.nc,80.142,1778919183.5971076,2026-05-16T09:13:03,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_15.nc,output,.nc,80.142,1778919184.2411566,2026-05-16T09:13:04,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_16.nc,output,.nc,80.142,1778919184.9320695,2026-05-16T09:13:04,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_17.nc,output,.nc,80.142,1778919185.5759807,2026-05-16T09:13:05,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_2.nc,output,.nc,80.142,1778919186.2350528,2026-05-16T09:13:06,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_3.nc,output,.nc,80.142,1778919186.956925,2026-05-16T09:13:06,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_4.nc,output,.nc,80.142,1778919189.9892163,2026-05-16T09:13:09,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_5.nc,output,.nc,80.142,1778919190.5696106,2026-05-16T09:13:10,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_6.nc,output,.nc,80.142,1778919191.244637,2026-05-16T09:13:11,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_7.nc,output,.nc,80.142,1778919191.8879807,2026-05-16T09:13:11,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_8.nc,output,.nc,80.142,1778919192.5822492,2026-05-16T09:13:12,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_9.nc,output,.nc,80.142,1778919193.3000681,2026-05-16T09:13:13,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241006\07-10-2024_predModel_1.nc,output,.nc,80.142,1778919194.0222018,2026-05-16T09:13:14,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241006\07-10-2024_predModel_10.nc,output,.nc,80.142,1778919194.6182182,2026-05-16T09:13:14,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241006\07-10-2024_predModel_11.nc,output,.nc,80.142,1778919195.294054,2026-05-16T09:13:15,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241006\07-10-2024_predModel_12.nc,output,.nc,80.142,1778919195.9218943,2026-05-16T09:13:15,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
data\dadosParaPedro_Fresnel\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241006\07-10-2024_predModel_13.nc,output,.nc,80.142,1778919199.0431814,2026-05-16T09:13:19,Filipa geostatistical simulation output with TEMPpred/STD.,"{""TEMP"": [14, 17, 180, 240], ""LAT"": [180], ""LON"": [240], ""BATHY"": [180, 240], ""DEPT"": [17], ""TIME"": [14], ""STD"": [2, 180, 240], ""TEMPpred"": [2, 180, 240]}","{""TIME"": 14, ""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""lat"": 180, ""lon"": 240, ""depth"": 17, ""seconds since 1970-01-01"": 14, ""day"": 2}",True,True,True,output
