priority_rank,day_index,date,image_idx_0_based,class_id,date_from_step00,date_match_step00,class_label,gradient_mean,boundary_score,interest_mean,qualitative_regime_label,month,is_october_2024,available_in_step06,needs_temppred_std_generation,rmse,period_bucket,class_interest_rank_score,representative_score,october_bonus,priority_score
28,198,2024-05-12,197,6,2024-05-12,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True,0.1696318089962005,spring,0.24591352231800556,0.7938331975904191,0.0,0.44437182171561035
29,255,2024-07-08,254,1,2024-07-08,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-07,False,False,True,0.3204700052738189,summer,0.3281478747725487,0.4643927847701024,0.0,0.4442460709650743
30,283,2024-08-05,282,1,2024-08-05,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.321328341960907,summer,0.3281478747725487,0.46251812172379625,0.0,0.44377740520349773
31,285,2024-08-07,284,1,2024-08-07,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.3213878571987152,summer,0.3281478747725487,0.4623881365807987,0.0,0.44374490891774837
32,196,2024-05-10,195,1,2024-05-10,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-05,False,False,True,0.3216299414634704,spring,0.3281478747725487,0.4618594088308893,0.0,0.443612726980271
33,57,2023-12-23,56,6,2023-12-23,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.1710711270570755,winter,0.24591352231800556,0.7906896335074751,0.0,0.44358593069487434
34,194,2024-05-08,193,6,2024-05-08,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True,0.1719473600387573,spring,0.24591352231800556,0.7887758837919804,0.0,0.44310749326600063
35,207,2024-05-21,206,6,2024-05-21,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True,0.1840727776288986,spring,0.24591352231800556,0.7622931846143609,0.0,0.43648681847159576
36,326,2024-09-17,325,6,2024-09-17,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-09,False,False,True,0.1850053817033767,autumn,0.24591352231800556,0.760256316772687,0.0,0.4359776015111773
37,49,2023-12-15,48,6,2023-12-15,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.1855759620666504,winter,0.24591352231800556,0.7590101322182252,0.0,0.43566605537256187
38,300,2024-08-22,299,1,2024-08-22,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.3377217352390289,summer,0.3281478747725487,0.42671388657416365,0.0,0.43482634641608964
39,282,2024-08-04,281,1,2024-08-04,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.3389990031719208,summer,0.3281478747725487,0.42392425049074345,0.0,0.43412893739523456
40,178,2024-04-22,177,6,2024-04-22,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-04,False,False,True,0.1919785588979721,spring,0.24591352231800556,0.7450264450933106,0.0,0.4321701335913332
41,295,2024-08-17,294,1,2024-08-17,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.3440507054328918,summer,0.3281478747725487,0.4128910048051707,0.0,0.43137062597384135
42,199,2024-05-13,198,6,2024-05-13,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True,0.1937595009803772,spring,0.24591352231800556,0.741136751969715,0.0,0.4311977103104343
43,307,2024-08-29,306,1,2024-08-29,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.3453405499458313,summer,0.3281478747725487,0.41007390065447713,0.0,0.430666349936168
44,230,2024-06-13,229,6,2024-06-13,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.2021650075912475,summer,0.24591352231800556,0.7227785798608914,0.0,0.4266081672832284
45,297,2024-08-19,296,1,2024-08-19,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.3532539308071136,summer,0.3281478747725487,0.3927905631306906,0.0,0.4263455155552214
46,35,2023-12-01,34,1,2023-12-01,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2023-12,False,False,True,0.3552181720733642,winter,0.3281478747725487,0.3885005326901163,0.0,0.4252730079450778
47,197,2024-05-11,196,1,2024-05-11,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-05,False,False,True,0.3578920364379883,spring,0.3281478747725487,0.3826606393352129,0.0,0.4238130346063519
48,318,2024-09-09,317,6,2024-09-09,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-09,False,False,True,0.2077729254961013,autumn,0.24591352231800556,0.710530523100539,0.0,0.4235461530931403
49,296,2024-08-18,295,1,2024-08-18,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.3604205846786499,summer,0.3281478747725487,0.3771381258287102,0.0,0.4224324062297262
50,54,2023-12-20,53,6,2023-12-20,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.2145232558250427,winter,0.24591352231800556,0.6957873634425769,0.0,0.4198603631786498
51,312,2024-09-03,311,6,2024-09-03,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-09,False,False,True,0.2165350764989853,autumn,0.24591352231800556,0.6913934164868318,0.0,0.4187618764397135
52,233,2024-06-16,232,6,2024-06-16,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.2171901315450668,summer,0.24591352231800556,0.6899627337411702,0.0,0.4184042057532981
53,177,2024-04-21,176,6,2024-04-21,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-04,False,False,True,0.2208530157804489,spring,0.24591352231800556,0.6819627567831033,0.0,0.4164042115137814
54,200,2024-05-14,199,6,2024-05-14,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True,0.2245225757360458,spring,0.24591352231800556,0.6739481996187113,0.0,0.4144005722226834
55,42,2023-12-08,41,1,2023-12-08,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2023-12,False,False,True,0.3751694560050964,winter,0.3281478747725487,0.3449256333810049,0.0,0.4143792831177999
56,58,2023-12-24,57,6,2023-12-24,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.2253746539354324,winter,0.24591352231800556,0.6720872055158353,0.0,0.4139353236969644
57,219,2024-06-02,218,6,2024-06-02,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.2301558852195739,summer,0.24591352231800556,0.6616446860021575,0.0,0.411324693818545
58,41,2023-12-07,40,1,2023-12-07,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2023-12,False,False,True,0.3826728761196136,winter,0.3281478747725487,0.3285376767420829,0.0,0.4102822939580694
59,59,2023-12-25,58,6,2023-12-25,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.2370520979166031,winter,0.24591352231800556,0.6465829097818652,0.0,0.40755924976347185
60,299,2024-08-21,298,1,2024-08-21,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.3893274962902069,summer,0.3281478747725487,0.31400355428328786,0.0,0.40664876334337063
61,116,2024-02-20,115,6,2024-02-20,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.2424741983413696,winter,0.24591352231800556,0.6347406904609667,0.0,0.40459869493324724
62,284,2024-08-06,283,1,2024-08-06,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.3944674134254455,summer,0.3281478747725487,0.3027776415855604,0.0,0.40384228516893883
63,231,2024-06-14,230,6,2024-06-14,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.2444701492786407,summer,0.24591352231800556,0.6303814040403477,0.0,0.4035088733280925
64,60,2023-12-26,59,6,2023-12-26,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.2460407614707946,winter,0.24591352231800556,0.6269510850513068,0.0,0.4026512935808323
65,83,2024-01-18,82,6,2024-01-18,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-01,False,False,True,0.2477579861879348,winter,0.24591352231800556,0.6232005547898689,0.0,0.4017136610154728
66,211,2024-05-25,210,6,2024-05-25,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True,0.2504026293754577,spring,0.24591352231800556,0.6174244823827416,0.0,0.40026964291369094
67,319,2024-09-10,318,6,2024-09-10,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-09,False,False,True,0.2506886720657348,autumn,0.24591352231800556,0.6167997465777888,0.0,0.40011345896245276
68,298,2024-08-20,297,1,2024-08-20,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.4163733124732971,summer,0.3281478747725487,0.2549337359726739,0.0,0.39188130876571714
69,218,2024-06-01,217,6,2024-06-01,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.2673548460006714,summer,0.24591352231800556,0.5803997407652333,0.0,0.3910134575093139
70,239,2024-06-22,238,6,2024-06-22,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.2683872580528259,summer,0.24591352231800556,0.5781448858209559,0.0,0.39044974377324454
71,103,2024-02-07,102,6,2024-02-07,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.2707060277462005,winter,0.24591352231800556,0.5730805422801819,0.0,0.38918365788805104
72,111,2024-02-15,110,6,2024-02-15,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.2744823098182678,winter,0.24591352231800556,0.5648328970852068,0.0,0.38712174658930726
73,117,2024-02-21,116,6,2024-02-21,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.274791270494461,winter,0.24591352231800556,0.564158106911218,0.0,0.38695304904581007
74,109,2024-02-13,108,6,2024-02-13,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.2749957144260406,winter,0.24591352231800556,0.5637115880925083,0.0,0.38684141934113264
75,110,2024-02-14,109,6,2024-02-14,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.277950644493103,winter,0.24591352231800556,0.5572578289971891,0.0,0.3852279795673028
76,112,2024-02-16,111,6,2024-02-16,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.2811355888843536,winter,0.24591352231800556,0.5503017036857183,0.0,0.38348894823943513
77,269,2024-07-22,268,1,2024-07-22,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-07,False,False,True,0.4320767521858215,summer,0.3281478747725487,0.2206364042008765,0.0,0.38330697582276785
78,82,2024-01-17,81,6,2024-01-17,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-01,False,False,True,0.2826495170593261,winter,0.24591352231800556,0.546995186270028,0.0,0.38266231888551255
79,43,2023-12-09,42,1,2023-12-09,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2023-12,False,False,True,0.4341818392276764,winter,0.3281478747725487,0.21603875744292278,0.0,0.3821575641332794
80,238,2024-06-21,237,6,2024-06-21,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.2862578928470611,summer,0.24591352231800556,0.539114259300215,0.0,0.3806920871430593
81,253,2024-07-06,252,1,2024-07-06,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-07,False,False,True,0.4386841654777527,summer,0.3281478747725487,0.20620538462966687,0.0,0.37969922092996544
82,115,2024-02-19,114,6,2024-02-19,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.2888480126857757,winter,0.24591352231800556,0.5334572694264448,0.0,0.37927783967461676
83,304,2024-08-26,303,6,2024-08-26,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-08,False,False,True,0.2981811165809631,summer,0.24591352231800556,0.5130731646306912,0.0,0.37418181347567836
84,195,2024-05-09,194,6,2024-05-09,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-05,False,False,True,0.300595611333847,spring,0.24591352231800556,0.5077997513456465,0.0,0.3728634601544172
85,108,2024-02-12,107,6,2024-02-12,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.3035903573036194,winter,0.24591352231800556,0.5012590317340305,0.0,0.3712282802515132
86,256,2024-07-09,255,1,2024-07-09,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-07,False,False,True,0.4547965824604034,summer,0.3281478747725487,0.1710148199498296,0.0,0.3709015797600061
87,240,2024-06-23,239,6,2024-06-23,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.3050695359706878,summer,0.24591352231800556,0.4980284094994797,0.0,0.3704206246928755
88,113,2024-02-17,112,6,2024-02-17,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.3051206171512604,winter,0.24591352231800556,0.49791684488500887,0.0,0.3703927335392578
89,48,2023-12-14,47,6,2023-12-14,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.3064144551753998,winter,0.24591352231800556,0.495091018646603,0.0,0.3696862769796563
90,114,2024-02-18,113,6,2024-02-18,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.3087401986122131,winter,0.24591352231800556,0.4900114439974357,0.0,0.3684163833173645
91,44,2023-12-10,43,1,2023-12-10,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2023-12,False,False,True,0.4678472578525543,winter,0.3281478747725487,0.1425112976665145,0.0,0.3637756991891773
92,104,2024-02-08,103,6,2024-02-08,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.320927619934082,winter,0.24591352231800556,0.4633933246445502,0.0,0.36176185347914314
93,241,2024-06-24,240,6,2024-06-24,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.3259128034114837,summer,0.24591352231800556,0.452505360300575,0.0,0.35903986239314933
94,294,2024-08-16,293,1,2024-08-16,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.477453738451004,summer,0.3281478747725487,0.12153012040370192,0.0,0.3585304048734742
95,242,2024-06-25,241,6,2024-06-25,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.3403005301952362,summer,0.24591352231800556,0.4210816309789809,0.0,0.3511839300627508
96,105,2024-02-09,104,6,2024-02-09,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.3440168797969818,winter,0.24591352231800556,0.4129648821898988,0.0,0.34915474286548026
97,118,2024-02-22,117,6,2024-02-22,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-02,False,False,True,0.3473901748657226,winter,0.24591352231800556,0.4055973867713951,0.0,0.34731286901085434
98,305,2024-08-27,304,6,2024-08-27,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-08,False,False,True,0.3479357063770294,summer,0.24591352231800556,0.40440591053575625,0.0,0.3470149999519446
99,303,2024-08-25,302,6,2024-08-25,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-08,False,False,True,0.3496556580066681,summer,0.24591352231800556,0.4006494245203954,0.0,0.3460758784481044
100,40,2023-12-06,39,6,2023-12-06,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.3499934375286102,winter,0.24591352231800556,0.3999116921164223,0.0,0.34589144534711114
101,281,2024-08-03,280,1,2024-08-03,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-08,False,False,True,0.506492555141449,summer,0.3281478747725487,0.058107459602942946,0.0,0.34267473967328443
102,169,2024-04-13,168,6,2024-04-13,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-04,False,False,True,0.3564092814922333,spring,0.24591352231800556,0.385899072394581,0.0,0.3423882904166508
103,234,2024-06-17,233,6,2024-06-17,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-06,False,False,True,0.3640983700752258,summer,0.24591352231800556,0.369105603767239,0.0,0.33818992325981534
104,39,2023-12-05,38,6,2023-12-05,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.3701761364936828,winter,0.24591352231800556,0.35583136735143905,0.0,0.3348713641558653
105,260,2024-07-13,259,1,2024-07-13,True,C01_frontal,0.0650407075881958,0.6620786190032959,0.3180355727672577,frontal,2024-07,False,False,True,0.5330977439880371,summer,0.3281478747725487,0.0,0.0,0.3281478747725487
106,37,2023-12-03,36,6,2023-12-03,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.4011265337467193,winter,0.24591352231800556,0.2882336905055374,0.0,0.3179719449443899
107,45,2023-12-11,44,6,2023-12-11,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.4067419469356537,winter,0.24591352231800556,0.2759692635581721,0.0,0.3149058382075486
108,46,2023-12-12,45,6,2023-12-12,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.4168654382228851,winter,0.24591352231800556,0.253858901387637,0.0,0.30937824766491484
109,327,2024-09-18,326,6,2024-09-18,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-09,False,False,True,0.4200736284255981,autumn,0.24591352231800556,0.2468520057148551,0.0,0.30762652374671934
110,38,2023-12-04,37,6,2023-12-04,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.4245472252368927,winter,0.24591352231800556,0.237081379860963,0.0,0.3051838672832463
111,47,2023-12-13,46,6,2023-12-13,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.4303058087825775,winter,0.24591352231800556,0.22450425956008746,0.0,0.3020395872080274
112,36,2023-12-02,35,6,2023-12-02,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2023-12,False,False,True,0.4422757923603058,winter,0.24591352231800556,0.19836103835608043,0.0,0.29550378190702564
113,254,2024-07-07,253,6,2024-07-07,True,C06_mixed,0.0321187414228916,0.5384505987167358,0.2259227782487869,mixed,2024-07,False,False,True,0.4562040269374847,summer,0.24591352231800556,0.16794086984306777,0.0,0.2878987397787725
