class_id,image_idx_0_based,day_index,date,rmse
2,219,220,2024-06-03,0.40382060408592224
2,27,28,2023-11-24,0.41128969192504883
2,28,29,2023-11-25,0.424468994140625
2,33,34,2023-11-30,0.42828595638275146
2,292,293,2024-08-15,0.4291352331638336
2,269,270,2024-07-23,0.43594956398010254
2,275,276,2024-07-29,0.4364905059337616
2,31,32,2023-11-28,0.4372365176677704
2,222,223,2024-06-06,0.4461335837841034
2,258,259,2024-07-12,0.45662641525268555
2,29,30,2023-11-26,0.4586934447288513
2,30,31,2023-11-27,0.4672495424747467
2,267,268,2024-07-21,0.47508445382118225
2,264,265,2024-07-18,0.49733129143714905
2,265,266,2024-07-19,0.5766027569770813
2,279,280,2024-08-02,0.5766921043395996
3,8,9,2023-11-05,0.10200560092926025
3,261,262,2024-07-15,0.1208331435918808
3,262,263,2024-07-16,0.12669694423675537
3,9,10,2023-11-06,0.1288333386182785
3,351,352,2024-10-13,0.13320069015026093
3,7,8,2023-11-04,0.14293740689754486
3,352,353,2024-10-14,0.15161266922950745
3,353,354,2024-10-15,0.15760637819766998
3,276,277,2024-07-30,0.16071628034114838
3,10,11,2023-11-07,0.16289271414279938
3,11,12,2023-11-08,0.1736183613538742
3,6,7,2023-11-03,0.1741875410079956
3,19,20,2023-11-16,0.18271410465240479
3,12,13,2023-11-09,0.18364429473876953
3,15,16,2023-11-12,0.19388769567012787
3,14,15,2023-11-11,0.20114989578723907
3,18,19,2023-11-15,0.22063001990318298
3,354,355,2024-10-16,0.23276570439338684
3,16,17,2023-11-13,0.2361445277929306
3,13,14,2023-11-10,0.23721012473106384
3,17,18,2023-11-14,0.2424468845129013
3,257,258,2024-07-11,0.2782740294933319
3,363,364,2024-10-25,0.28499361872673035
3,5,6,2023-11-02,0.289580762386322
3,360,361,2024-10-22,0.29008612036705017
3,356,357,2024-10-18,0.29205766320228577
3,278,279,2024-08-01,0.29277750849723816
3,20,21,2023-11-17,0.2949809432029724
3,355,356,2024-10-17,0.2950842082500458
3,362,363,2024-10-24,0.2968880236148834
3,361,362,2024-10-23,0.30229538679122925
3,357,358,2024-10-19,0.30283239483833313
3,288,289,2024-08-11,0.3267209231853485
3,270,271,2024-07-24,0.32677775621414185
3,4,5,2023-11-01,0.33349183201789856
3,290,291,2024-08-13,0.33598262071609497
3,3,4,2023-10-31,0.3510090708732605
3,256,257,2024-07-10,0.35767996311187744
3,289,290,2024-08-12,0.3607019782066345
3,291,292,2024-08-14,0.3780193626880646
3,358,359,2024-10-20,0.383394330739975
3,263,264,2024-07-17,0.384572297334671
