day_index,date,assigned_class_id,assigned_class_label,assigned_cv_regime_label,nearest_centroid_distance,second_centroid_distance,confidence_margin,confidence_score,best_prototype_corr_class,best_prototype_rmse_class,feature_vs_corr_mismatch,feature_vs_rmse_mismatch,class_id,class_label,class_size,cv_regime_label,qualitative_regime_label,prototype_mean,prototype_std,prototype_min,prototype_max,prototype_p05,prototype_p50,prototype_p95,gradient_mean,gradient_median,gradient_p90,gradient_p95,gradient_max,high_gradient_threshold,high_gradient_fraction,gradient_concentration_score,dominant_gradient_region,gradient_centroid_x_km,gradient_centroid_y_km,boundary_score,boundary_threshold,boundary_fraction,boundary_component_count,largest_boundary_component_fraction,boundary_length_proxy,boundary_orientation_proxy,boundary_region_label,heterogeneity_score,local_variance_mean,local_variance_p90,entropy_score,texture_score,spatial_roughness,unimodal_or_bimodal_flag,substructure_flag,cold_fraction,warm_fraction,neutral_fraction,cold_warm_ratio,segmentation_thresholds,segmentation_method,cold_region_centroid_x_km,cold_region_centroid_y_km,warm_region_centroid_x_km,warm_region_centroid_y_km,segment_interface_score,mean_member_to_prototype_rmse,std_member_to_prototype_rmse,max_member_to_prototype_rmse,representative_member_ids,outlier_member_ids,intra_class_variability_score,compactness_score,interest_mean,interest_p90
11,2024-10-11,2,class_02_single_gradient,single_gradient,42.914268493652344,80.01700592041016,37.10273742675781,0.46368566155433655,4,2,True,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
12,2024-10-12,2,class_02_single_gradient,single_gradient,42.289817810058594,72.73883056640625,30.449012756347656,0.4186074137687683,3,2,True,False,2,class_02_single_gradient,70,single_gradient,transition,0.7948435544967651,0.1575272530317306,0.4003757536411285,1.010189652442932,0.4855498671531677,0.8390796184539795,0.9812673926353456,0.026729779317975,0.0186318028718233,0.0422177948057651,0.0458592325448989,1.0611002445220947,0.0422177948057651,0.1000749625187406,0.0766315087676048,mixed,485.49456787109375,4381.9921875,0.4367001354694366,0.0422177948057651,0.1000749625187406,1,1.0,801,diagonal,mixed,0.1849368661642074,0.0003426773182582,0.000195604559849,0.9443007019967457,0.00331731303595,0.0026540665421634,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.74693|0.900687,tertiles,484.4797058105469,4386.9912109375,467.4566955566406,4387.51708984375,0.1000749625187406,0.294418088133846,0.1208606985829778,0.5766921043395996,247|328|23|225|336,30|267|264|265|279,1.868997792239426,0.7725479187653298,0.1722886860370636,0.3741748034954071
13,2024-10-13,3,class_03_homogeneous,homogeneous,55.33622741699219,60.53759002685547,5.201362609863281,0.08591955155134201,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
14,2024-10-14,3,class_03_homogeneous,homogeneous,18.081838607788086,66.71691131591797,48.63507080078125,0.7289766669273376,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
15,2024-10-15,3,class_03_homogeneous,homogeneous,20.190208435058594,75.51788330078125,55.327674865722656,0.7326433658599854,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
16,2024-10-16,3,class_03_homogeneous,homogeneous,19.440547943115234,63.8769416809082,44.43639373779297,0.6956562399864197,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
17,2024-10-17,3,class_03_homogeneous,homogeneous,107.73384857177734,136.58741760253906,28.85356903076172,0.21124617755413055,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
18,2024-10-18,3,class_03_homogeneous,homogeneous,133.8981475830078,159.69886779785156,25.80072021484375,0.16155856847763062,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
19,2024-10-19,3,class_03_homogeneous,homogeneous,76.88417053222656,109.76567077636719,32.881500244140625,0.29956087470054626,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
20,2024-10-20,3,class_03_homogeneous,homogeneous,25.103559494018555,78.96247100830078,53.858909606933594,0.6820823550224304,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
21,2024-10-21,3,class_03_homogeneous,homogeneous,32.7090950012207,92.20357513427734,59.49448013305664,0.6452513337135315,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
22,2024-10-22,3,class_03_homogeneous,homogeneous,36.525386810302734,97.13610076904297,60.610713958740234,0.6239772439002991,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
23,2024-10-23,3,class_03_homogeneous,homogeneous,81.2680435180664,117.05872344970703,35.790679931640625,0.305749773979187,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
24,2024-10-24,3,class_03_homogeneous,homogeneous,28.34290313720703,85.86082458496094,57.517921447753906,0.6698971390724182,3,3,False,False,3,class_03_homogeneous,50,homogeneous,warm_homogeneous,1.5788333415985107,0.1016542091965675,1.167732834815979,1.7442970275878906,1.357480764389038,1.5877983570098877,1.712264060974121,0.0250393897294998,0.0146497022360563,0.0527483560144901,0.0606142021715641,1.1024338006973269,0.0527483560144901,0.1000749625187406,0.0867281928658485,mixed,485.9434814453125,4382.68505859375,0.0,,0.0,0,0.0,0,none,mixed,0.0996498093008995,0.000310508912662,0.0003010153886862,0.8221944894260884,0.0031560256611555,0.002666258951649,unimodal_or_gradient,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.56502|1.62386,tertiles,481.5517578125,4388.60498046875,472.0867614746094,4381.8310546875,0.0,0.2830257093906402,0.1129663423975769,0.5949503183364868,8|261|262|9|351,2|364|1|277|0,2.7842005916681405,0.7794076086557452,0.0457362122833728,0.1123425960540771
