z,filepath,lon_min,lon_max,lat_min,lat_max,mean_norm,std_norm,min_norm,max_norm
96,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z096.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.076797604560852,0.09266446530818939,-1.3241908550262451,-0.9534192681312561
97,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z097.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.9306897521018982,0.09459403157234192,-1.2125564813613892,-0.8058965802192688
98,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z098.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.0379458665847778,0.07232391834259033,-1.2159258127212524,-0.9233083724975586
99,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z099.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.1204978227615356,0.0757860615849495,-1.2837094068527222,-1.0224465131759644
100,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z100.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.1196402311325073,0.07288146764039993,-1.272094488143921,-0.967521607875824
101,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z101.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.9766491055488586,0.04641810059547424,-1.0625464916229248,-0.8175922632217407
102,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z102.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.7052979469299316,0.05079954117536545,-0.8143687844276428,-0.5758403539657593
103,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z103.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3855564594268799,0.08006112277507782,-0.6105111241340637,-0.22580991685390472
104,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z104.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.16251477599143982,0.11108136177062988,-0.4286659359931946,0.06395772099494934
105,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z105.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.45125722885131836,0.20938053727149963,-0.9244728088378906,-0.14906716346740723
106,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z106.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.7326515913009644,0.2700110971927643,-1.1909312009811401,-0.2995188534259796
107,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z107.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.7681754231452942,0.26602399349212646,-1.301522970199585,-0.20525561273097992
