z,filepath,x_index_min,x_index_max,y_index_min,y_index_max,mean_temp,std_temp,min_temp,max_temp,missing_fraction
100,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z100.png,1.0,112.0,1.0,64.0,15.163050651550293,0.09819314628839493,14.957649230957031,15.368000030517578,0.033900669642857095
101,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z101.png,1.0,112.0,1.0,64.0,15.35570240020752,0.06253907829523087,15.239973068237305,15.569999694824219,0.033900669642857095
102,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z102.png,1.0,112.0,1.0,64.0,15.721294403076172,0.06844218820333481,15.574342727661133,15.895711898803711,0.033900669642857095
103,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z103.png,1.0,112.0,1.0,64.0,16.152080535888672,0.1078663021326065,15.848999977111816,16.367307662963867,0.033900669642857095
104,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z104.png,1.0,112.0,1.0,64.0,16.452585220336914,0.14965984225273132,16.0939998626709,16.75771141052246,0.033900669642857095
105,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z105.png,1.0,112.0,1.0,64.0,16.063562393188477,0.28209826350212097,15.425999641418457,16.470703125,0.033900669642857095
106,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z106.png,1.0,112.0,1.0,64.0,15.684440612792969,0.3637857735157013,15.067000389099121,16.26799964904785,0.033900669642857095
107,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z107.png,1.0,112.0,1.0,64.0,15.636579513549805,0.3584139347076416,14.918000221252441,16.395000457763672,0.033900669642857095
108,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z108.png,1.0,112.0,1.0,64.0,15.992216110229492,0.36737629771232605,15.22700023651123,16.937999725341797,0.033900669642857095
109,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z109.png,1.0,112.0,1.0,64.0,16.25528907775879,0.319827675819397,15.689000129699707,17.066999435424805,0.033900669642857095
110,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z110.png,1.0,112.0,1.0,64.0,16.20491600036621,0.22750712931156158,15.711999893188477,16.961999893188477,0.033900669642857095
111,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z111.png,1.0,112.0,1.0,64.0,16.30164909362793,0.20554885268211365,15.786999702453613,16.888999938964844,0.033900669642857095
112,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z112.png,1.0,112.0,1.0,64.0,16.39234161376953,0.17197656631469727,15.949000358581543,16.854000091552734,0.033900669642857095
113,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z113.png,1.0,112.0,1.0,64.0,16.081106185913086,0.2141757309436798,15.513999938964844,16.650999069213867,0.033900669642857095
114,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z114.png,1.0,112.0,1.0,64.0,15.89179801940918,0.2508462369441986,15.192999839782715,16.555999755859375,0.033900669642857095
115,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z115.png,1.0,112.0,1.0,64.0,15.380294799804688,0.3098040819168091,14.74899959564209,16.091999053955078,0.033900669642857095
116,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z116.png,1.0,112.0,1.0,64.0,15.244643211364746,0.27790823578834534,14.779000282287598,15.892999649047852,0.033900669642857095
117,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z117.png,1.0,112.0,1.0,64.0,15.230782508850098,0.24466735124588013,14.819999694824219,16.062999725341797,0.033900669642857095
118,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z118.png,1.0,112.0,1.0,64.0,15.172771453857422,0.19252261519432068,14.857999801635742,15.97599983215332,0.033900669642857095
119,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z119.png,1.0,112.0,1.0,64.0,15.082987785339355,0.15299564599990845,14.815999984741211,15.57699966430664,0.033900669642857095
120,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z120.png,1.0,112.0,1.0,64.0,15.14977741241455,0.16347338259220123,14.82800006866455,15.628000259399414,0.033900669642857095
121,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z121.png,1.0,112.0,1.0,64.0,15.186840057373047,0.17395496368408203,14.79800033569336,15.565999984741211,0.033900669642857095
122,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z122.png,1.0,112.0,1.0,64.0,15.28574275970459,0.1994514763355255,14.810999870300293,15.640918731689453,0.033900669642857095
123,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z123.png,1.0,112.0,1.0,64.0,15.513065338134766,0.19514213502407074,14.996999740600586,15.826837539672852,0.033900669642857095
124,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z124.png,1.0,112.0,1.0,64.0,15.742953300476074,0.15362180769443512,15.28600025177002,15.94567584991455,0.033900669642857095
125,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z125.png,1.0,112.0,1.0,64.0,15.933097839355469,0.09246167540550232,15.582054138183594,16.055747985839844,0.033900669642857095
