distance_rank_asc,image_idx_0_based,image_z_1_based,distance_to_prototype_rmse_norm,png_path
88,105,106,0.3488171398639679,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z106.png
89,149,150,0.35112982988357544,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z150.png
90,256,257,0.35247883200645447,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z257.png
91,248,249,0.3539751470088959,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z249.png
92,4,5,0.3546576499938965,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z005.png
93,53,54,0.36076751351356506,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z054.png
94,123,124,0.3612111806869507,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z124.png
95,245,246,0.3682786524295807,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z246.png
96,162,163,0.36962956190109253,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z163.png
97,145,146,0.3748508393764496,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z146.png
98,172,173,0.3821086883544922,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z173.png
99,106,107,0.3852275609970093,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z107.png
100,173,174,0.3956620991230011,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z174.png
101,101,102,0.40209442377090454,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z102.png
102,247,248,0.4350922703742981,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z248.png
103,148,149,0.43661218881607056,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z149.png
104,54,55,0.4457874000072479,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z055.png
105,147,148,0.4478919804096222,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z148.png
106,237,238,0.46308180689811707,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z238.png
107,5,6,0.46907302737236023,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z006.png
108,254,255,0.46985501050949097,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z255.png
109,166,167,0.47220611572265625,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z167.png
110,164,165,0.48132359981536865,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z165.png
111,144,145,0.5067060589790344,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z145.png
112,171,172,0.5187937617301941,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z172.png
113,55,56,0.5453267097473145,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z056.png
114,255,256,0.5520030856132507,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z256.png
115,96,97,0.5808266401290894,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z097.png
116,232,233,0.7017343044281006,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z233.png
117,233,234,0.7502325773239136,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z234.png
118,188,189,0.8328588008880615,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z189.png
119,183,184,0.8618277907371521,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z184.png
120,184,185,0.8805492520332336,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z185.png
121,234,235,0.8933642506599426,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z235.png
122,185,186,1.0496782064437866,results/plots/pngs_normalized_surface_300_thesis/X_surface_norm_z186.png
