run_id,strategy,base_strategy,case_id,vehicle_id,mission_duration_requested_h,solver_status,solver_runtime,collected_STD,collected_region_A,collected_region_B,collected_boundary,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
October_control__proxy_12h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,vehicle_specific_9010,October_control,1,12.0,REUSED,245.1109583377838,93.55828094482422,0.0,104.0,26.713829040527344,0.0,0.6341463327407837,0.0,0,1,38.86,11.066666666666666,164
October_control__proxy_12h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,vehicle_specific_9010,October_control,2,12.0,REUSED,225.2081699371338,85.659912109375,0.0,113.0,22.690670013427734,0.0,0.7635135054588318,0.0,0,1,37.675,10.8,148
C06_representative__proxy_12h__vehicle_specific_7030_penalty_both__AUV1_region_A,vehicle_specific_7030_penalty_both,vehicle_specific_7030,C06_representative,1,12.0,SUCCESS,284.0703288000077,75.39899444580078,75.0,0.0,106.516357421875,0.5244755148887634,0.0,0.03496503457427025,0,1,35.992,10.3,143
C06_representative__proxy_12h__vehicle_specific_7030_penalty_both__AUV2_region_B,vehicle_specific_7030_penalty_both,vehicle_specific_7030,C06_representative,2,12.0,SUCCESS,331.5143959999841,81.13520050048828,45.0,0.0,115.84845733642578,0.29411765933036804,0.0,0.22875817120075226,0,1,35.203,10.083333333333334,153
October_control__proxy_12h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,vehicle_specific_8020,October_control,1,12.0,REUSED,259.1789174079895,93.49459838867188,0.0,92.0,26.825237274169922,0.0,0.5679012537002563,0.0,0,1,37.926,10.916666666666666,162
October_control__proxy_12h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,vehicle_specific_8020,October_control,2,12.0,REUSED,229.07535243034363,87.3160400390625,0.0,104.0,24.640806198120117,0.0,0.6887417435646057,0.0,0,1,38.07,10.983333333333333,151
October_control__proxy_12h__vehicle_specific_9010_penalty_both__AUV1_region_A,vehicle_specific_9010_penalty_both,vehicle_specific_9010,October_control,1,12.0,SUCCESS,250.04304750001756,93.55828094482422,0.0,104.0,26.713829040527344,0.0,0.6341463327407837,0.0,0,1,38.86,11.066666666666666,164
October_control__proxy_12h__vehicle_specific_9010_penalty_both__AUV2_region_B,vehicle_specific_9010_penalty_both,vehicle_specific_9010,October_control,2,12.0,SUCCESS,262.5335443999793,89.2854232788086,0.0,104.0,27.662540435791016,0.0,0.6459627151489258,0.0,0,1,37.172,10.75,161
October_control__proxy_12h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,vehicle_specific_7030,October_control,1,12.0,REUSED,256.3967926502228,56.84149169921875,113.0,0.0,98.64254760742188,0.7197452187538147,0.0,0.0,0,1,37.207,10.733333333333333,157
October_control__proxy_12h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,vehicle_specific_7030,October_control,2,12.0,REUSED,237.80907464027405,87.71820068359375,0.0,100.0,22.006961822509766,0.0,0.6578947305679321,0.0,0,1,37.868,10.8,152
October_control__proxy_12h__vehicle_specific_8020_penalty_both__AUV1_region_A,vehicle_specific_8020_penalty_both,vehicle_specific_8020,October_control,1,12.0,SUCCESS,261.7081335000112,93.49459838867188,0.0,92.0,26.825237274169922,0.0,0.5679012537002563,0.0,0,1,37.926,10.916666666666666,162
October_control__proxy_12h__vehicle_specific_8020_penalty_both__AUV2_region_B,vehicle_specific_8020_penalty_both,vehicle_specific_8020,October_control,2,12.0,SUCCESS,277.52283609998995,86.00331115722656,0.0,89.0,26.05864906311035,0.0,0.5855262875556946,0.0,0,1,36.825,10.516666666666667,152
C01_representative__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C01_representative,1,24.0,REUSED,325.9245355129242,184.44815063476562,0.0,108.0,181.34474182128906,0.0,0.3529411852359772,0.10130719095468521,0,1,76.145,22.066666666666666,306
C01_representative__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C01_representative,2,24.0,REUSED,325.9245355129242,177.03646850585938,35.0,0.0,266.1166687011719,0.11551155149936676,0.0,0.3465346395969391,0,1,74.753,21.616666666666667,303
C01_representative__proxy_24h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,vehicle_specific_9010,C01_representative,1,24.0,REUSED,308.60566759109497,185.64688110351562,33.0,0.0,257.6350402832031,0.10443037748336792,0.0,0.2531645596027374,0,1,75.494,21.916666666666668,316
C01_representative__proxy_24h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,vehicle_specific_9010,C01_representative,2,24.0,REUSED,299.9756336212158,175.0917205810547,0.0,111.0,190.78192138671875,0.0,0.37123745679855347,0.07023411244153976,0,1,76.091,21.933333333333334,299
October_control__proxy_12h__vehicle_specific_7030_penalty_both__AUV1_region_A,vehicle_specific_7030_penalty_both,vehicle_specific_7030,October_control,1,12.0,SUCCESS,305.35461919999216,56.84149169921875,113.0,0.0,98.64254760742188,0.7197452187538147,0.0,0.0,0,1,37.207,10.733333333333333,157
October_control__proxy_12h__vehicle_specific_7030_penalty_both__AUV2_region_B,vehicle_specific_7030_penalty_both,vehicle_specific_7030,October_control,2,12.0,SUCCESS,272.2195212999941,87.1483154296875,0.0,103.0,26.742984771728516,0.0,0.6645161509513855,0.0,0,1,37.587,10.716666666666667,155
C01_representative__proxy_24h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,vehicle_specific_8020,C01_representative,1,24.0,REUSED,297.8699758052826,192.6007080078125,18.0,9.0,244.93582153320312,0.0573248416185379,0.02866242080926895,0.23885349929332733,1,2,74.945,21.633333333333333,314
C01_representative__proxy_24h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,vehicle_specific_8020,C01_representative,2,24.0,REUSED,250.32370448112488,167.07467651367188,0.0,202.0,149.0263214111328,0.0,0.6710963249206543,0.039867110550403595,0,1,75.26,21.8,301
C01_representative__proxy_24h__vehicle_specific_9010_penalty_both__AUV1_region_A,vehicle_specific_9010_penalty_both,vehicle_specific_9010,C01_representative,1,24.0,SUCCESS,379.5852412999957,185.64688110351562,33.0,0.0,257.6350402832031,0.10443037748336792,0.0,0.2531645596027374,0,1,75.494,21.916666666666668,316
C01_representative__proxy_24h__vehicle_specific_9010_penalty_both__AUV2_region_B,vehicle_specific_9010_penalty_both,vehicle_specific_9010,C01_representative,2,24.0,SUCCESS,373.1758469000051,163.40142822265625,0.0,169.0,157.21743774414062,0.0,0.5827586054801941,0.10000000149011612,0,1,75.696,21.9,290
C01_representative__proxy_24h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,vehicle_specific_7030,C01_representative,1,24.0,REUSED,270.44857120513916,161.62249755859375,124.0,0.0,264.03228759765625,0.4065573811531067,0.0,0.2295081913471222,0,1,74.209,21.433333333333334,305
C01_representative__proxy_24h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,vehicle_specific_7030,C01_representative,2,24.0,REUSED,262.159471988678,157.59506225585938,0.0,244.0,144.3111572265625,0.0,0.7746031880378723,0.0,0,1,76.069,21.933333333333334,315
C01_representative__proxy_24h__vehicle_specific_8020_penalty_both__AUV1_region_A,vehicle_specific_8020_penalty_both,vehicle_specific_8020,C01_representative,1,24.0,SUCCESS,357.62768649999634,192.6007080078125,18.0,9.0,244.93582153320312,0.0573248416185379,0.02866242080926895,0.23885349929332733,1,2,74.945,21.633333333333333,314
C01_representative__proxy_24h__vehicle_specific_8020_penalty_both__AUV2_region_B,vehicle_specific_8020_penalty_both,vehicle_specific_8020,C01_representative,2,24.0,SUCCESS,339.43344279998564,161.1478729248047,0.0,205.0,159.18038940429688,0.0,0.6655844449996948,0.02922077849507332,0,1,74.662,21.633333333333333,308
C06_representative__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C06_representative,1,24.0,REUSED,334.4328978061676,166.88185119628906,200.0,0.0,218.02413940429688,0.6578947305679321,0.0,0.009868420660495758,0,1,74.569,21.5,304
C06_representative__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C06_representative,2,24.0,REUSED,334.4328978061676,159.8369598388672,9.0,0.0,232.63290405273438,0.029702970758080482,0.0,0.4455445408821106,0,1,76.06,21.916666666666668,303
C06_representative__proxy_24h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,vehicle_specific_9010,C06_representative,1,24.0,REUSED,317.6090085506439,183.4346923828125,212.0,0.0,237.06527709960938,0.650306761264801,0.0,0.061349693685770035,0,1,74.609,21.533333333333335,326
C06_representative__proxy_24h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,vehicle_specific_9010,C06_representative,2,24.0,REUSED,340.4798011779785,180.21141052246094,132.0,0.0,241.5886993408203,0.4177215099334717,0.0,0.2848101258277893,0,1,73.597,21.25,316
C01_representative__proxy_24h__vehicle_specific_7030_penalty_both__AUV1_region_A,vehicle_specific_7030_penalty_both,vehicle_specific_7030,C01_representative,1,24.0,SUCCESS,327.80870850000065,161.62249755859375,124.0,0.0,264.03228759765625,0.4065573811531067,0.0,0.2295081913471222,0,1,74.209,21.433333333333334,305
C01_representative__proxy_24h__vehicle_specific_7030_penalty_both__AUV2_region_B,vehicle_specific_7030_penalty_both,vehicle_specific_7030,C01_representative,2,24.0,SUCCESS,289.2206615000032,161.48004150390625,0.0,174.0,188.86196899414062,0.0,0.5488958954811096,0.034700315445661545,0,1,76.404,21.916666666666668,317
C06_representative__proxy_24h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,vehicle_specific_8020,C06_representative,1,24.0,REUSED,294.1497938632965,166.64035034179688,230.0,0.0,215.10382080078125,0.7692307829856873,0.0,0.02675585262477398,0,1,72.404,20.933333333333334,299
C06_representative__proxy_24h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,vehicle_specific_8020,C06_representative,2,24.0,REUSED,311.84875440597534,139.9425048828125,68.0,106.0,170.59677124023438,0.21451103687286377,0.33438485860824585,0.08832807838916779,1,2,73.116,21.016666666666666,317
C06_representative__proxy_24h__vehicle_specific_9010_penalty_both__AUV1_region_A,vehicle_specific_9010_penalty_both,vehicle_specific_9010,C06_representative,1,24.0,SUCCESS,342.93471210001735,183.4346923828125,212.0,0.0,237.06527709960938,0.650306761264801,0.0,0.061349693685770035,0,1,74.609,21.533333333333335,326
C06_representative__proxy_24h__vehicle_specific_9010_penalty_both__AUV2_region_B,vehicle_specific_9010_penalty_both,vehicle_specific_9010,C06_representative,2,24.0,SUCCESS,396.452463900001,171.37881469726562,69.0,0.0,246.30349731445312,0.21904762089252472,0.0,0.38730159401893616,0,1,75.276,21.7,315
C06_representative__proxy_24h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,vehicle_specific_7030,C06_representative,1,24.0,REUSED,290.2475914955139,160.55953979492188,225.0,0.0,212.37132263183594,0.755033552646637,0.0,0.00671140942722559,0,1,75.252,21.7,298
C06_representative__proxy_24h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,vehicle_specific_7030,C06_representative,2,24.0,REUSED,325.49651765823364,100.77130126953125,0.0,242.0,94.92684173583984,0.0,0.7806451320648193,0.0,0,1,76.269,22.016666666666666,310
C06_representative__proxy_24h__vehicle_specific_8020_penalty_both__AUV1_region_A,vehicle_specific_8020_penalty_both,vehicle_specific_8020,C06_representative,1,24.0,SUCCESS,320.62319969999953,166.64035034179688,230.0,0.0,215.10382080078125,0.7692307829856873,0.0,0.02675585262477398,0,1,72.404,20.933333333333334,299
C06_representative__proxy_24h__vehicle_specific_8020_penalty_both__AUV2_region_B,vehicle_specific_8020_penalty_both,vehicle_specific_8020,C06_representative,2,24.0,SUCCESS,360.50892199997907,133.42428588867188,28.0,105.0,167.39395141601562,0.09240923821926117,0.3465346395969391,0.2541254162788391,1,2,73.04,20.95,303
