run_id,command,returncode,runtime_s,runtime_source,status,error,input_nc,solver_status,solver_runtime_s,solver_gap,run_dir,path,temperr_shape,finite_cells,temperr_min,temperr_max,landt_valid_cells,overlap_penalty_enabled,lambda_overlap,lambda_proximity,proximity_sigma_cells,proximity_radius_cells,penalty_mode
October_control__proxy_12h__vehicle_specific_9010__AUV1_region_A,REUSED_EXISTING,0,245.1109583377838,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__3dded62aa1.nc,REUSED,245.1109583377838,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__proxy_1__3dded62aa1,,,,,,,,,,,,
October_control__proxy_12h__vehicle_specific_9010__AUV2_region_B,REUSED_EXISTING,0,225.2081699371338,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__48ad47942c.nc,REUSED,225.2081699371338,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__proxy_1__48ad47942c,,,,,,,,,,,,
C06_representative__proxy_12h__vehicle_specific_7030_penalty_both__AUV1_region_A,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__da0ae38ac7.nc,0,284.0703288000077,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__da0ae38ac7.nc,SUCCESS,284.0703288000077,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C06_representative__prox__da0ae38ac7,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__da0ae38ac7.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,False,0.0,0.0,,,
C06_representative__proxy_12h__vehicle_specific_7030_penalty_both__AUV2_region_B,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__3731922880.nc,0,331.5143959999841,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__3731922880.nc,SUCCESS,331.5143959999841,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C06_representative__prox__3731922880,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C06_representative__prox__3731922880.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,True,0.2,0.3,2.0,8.0,both
October_control__proxy_12h__vehicle_specific_8020__AUV1_region_A,REUSED_EXISTING,0,259.1789174079895,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__db96655a58.nc,REUSED,259.1789174079895,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__proxy_1__db96655a58,,,,,,,,,,,,
October_control__proxy_12h__vehicle_specific_8020__AUV2_region_B,REUSED_EXISTING,0,229.07535243034363,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__1d7fc51e1d.nc,REUSED,229.07535243034363,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__proxy_1__1d7fc51e1d,,,,,,,,,,,,
October_control__proxy_12h__vehicle_specific_9010_penalty_both__AUV1_region_A,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__3d6c9c8866.nc,0,250.04304750001756,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__3d6c9c8866.nc,SUCCESS,250.04304750001756,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__proxy_1__3d6c9c8866,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__3d6c9c8866.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,False,0.0,0.0,,,
October_control__proxy_12h__vehicle_specific_9010_penalty_both__AUV2_region_B,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__2808276ff8.nc,0,262.5335443999793,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__2808276ff8.nc,SUCCESS,262.5335443999793,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__proxy_1__2808276ff8,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__2808276ff8.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,True,0.2,0.3,2.0,8.0,both
October_control__proxy_12h__vehicle_specific_7030__AUV1_region_A,REUSED_EXISTING,0,256.3967926502228,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__1fd3caa87a.nc,REUSED,256.3967926502228,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__proxy_1__1fd3caa87a,,,,,,,,,,,,
October_control__proxy_12h__vehicle_specific_7030__AUV2_region_B,REUSED_EXISTING,0,237.80907464027405,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__5cd6dcf275.nc,REUSED,237.80907464027405,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__proxy_1__5cd6dcf275,,,,,,,,,,,,
October_control__proxy_12h__vehicle_specific_8020_penalty_both__AUV1_region_A,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__d5b173a420.nc,0,261.7081335000112,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__d5b173a420.nc,SUCCESS,261.7081335000112,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__proxy_1__d5b173a420,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__d5b173a420.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,False,0.0,0.0,,,
October_control__proxy_12h__vehicle_specific_8020_penalty_both__AUV2_region_B,C:\Users\E713181\AppData\Local\Programs\Python\Python312\python.exe OptimalPlanning.py C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__96d21008cc.nc,0,277.52283609998995,,SUCCESS,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__96d21008cc.nc,SUCCESS,277.52283609998995,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\October_control__proxy_1__96d21008cc,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\October_control__proxy_1__96d21008cc.nc,"[180, 240]",8004.0,0.0,1.0,8004.0,True,0.2,0.3,2.0,8.0,both
C01_representative__multi_auv_24h__baseline_shared_STD,REUSED_EXISTING,0,325.9245355129242,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C01_representative__mult__a1a1d019f6.nc,REUSED,325.9245355129242,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C01_representative__mult__a1a1d019f6,,,,,,,,,,,,
C01_representative__proxy_24h__vehicle_specific_9010__AUV1_region_A,REUSED_EXISTING,0,308.60566759109497,estimated_from_file_timestamps,REUSED,,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_inputs\C01_representative__prox__d3efa45cc7.nc,REUSED,308.60566759109497,,results\fossum_roi_x490_step12b_overlap_penalty_focused_20260603_121954\planner_runs\C01_representative__prox__d3efa45cc7,,,,,,,,,,,,
