case_id,candidate_AUV1,candidate_AUV2,pair_score,run_id,strategy,fleet_collected_STD,fleet_collected_boundary,inter_vehicle_min_distance,inter_vehicle_mean_distance,trajectory_overlap_ratio,duplicate_sampled_cells,shared_top10_cells,fleet_region_A_coverage,fleet_region_B_coverage,fleet_region_coverage,fleet_total_area_covered,fleet_complementarity_score,proximity_penalty,increase_region_coverage,decrease_overlap,change_in_STD_collected,change_in_boundary_collected
C01_representative,boundary_alpha050,region_B,1.3809785886156785,pair_tmp,post_solver_selected_pair,184.28713989257812,232.90335083007812,0.0,19.75191620722092,0.0189873417721519,6,2,0.04228222109016811,0.03678273663560569,0.0790649577257738,316,0.5300388079768109,0.15270697880135015,0.0790649577257738,0.0,0.0,0.0
C01_representative,region_B_with_crossing,region_A,1.3767734239755194,pair_tmp,post_solver_selected_pair,181.70166015625,226.99903869628906,0.0,10.708542557994656,0.022950819672131147,7,1,0.04737646459500764,0.02918097106424718,0.07655743565925482,305,0.5268033079935618,0.25622677914925457,0.07655743565925482,0.0,0.0,0.0
C01_representative,baseline_STD,region_B_with_crossing,1.373171400760855,pair_tmp,post_solver_selected_pair,183.04773712158203,225.7418212890625,0.0,8.343926707893637,0.026058631921824105,8,2,0.048395313295975545,0.028690534575772437,0.07708584787174798,307,0.5255136079749619,0.338233059899674,0.07708584787174798,0.0,0.0,0.0
C01_representative,region_B,region_A_with_crossing,1.371462540066183,pair_tmp,post_solver_selected_pair,176.6228485107422,218.5044403076172,0.0,21.256680534965657,0.020066889632107024,6,1,0.04381049414161997,0.03114271701814615,0.07495321115976612,299,0.5274431607638296,0.15436128428889007,0.07495321115976612,0.0,0.0,0.0
C01_representative,region_A,region_B_with_crossing,1.370787936106003,pair_tmp,post_solver_selected_pair,181.70166015625,226.99903869628906,0.0,11.207746716077917,0.022950819672131147,7,1,0.04737646459500764,0.02918097106424718,0.07655743565925482,305,0.5268033079935618,0.29613003161269863,0.07655743565925482,0.0,0.0,0.0
C01_representative,region_A_with_crossing,region_B,1.3684419601673503,pair_tmp,post_solver_selected_pair,176.6228485107422,218.5044403076172,0.0,19.781478293587668,0.020066889632107024,6,1,0.04381049414161997,0.03114271701814615,0.07495321115976612,299,0.5274431607638296,0.17449848361444042,0.07495321115976612,0.0,0.0,0.0
C01_representative,region_B_sequential_penalized,boundary_alpha050,1.3655997039265377,pair_tmp,post_solver_selected_pair,183.8032684326172,237.29874420166016,0.0,20.852291603220387,0.009433962264150943,3,0,0.046357615894039736,0.03334968121628249,0.07970729711032223,318,0.5351366674230856,0.12280298658002144,0.07970729711032223,0.0,0.0,0.0
C01_representative,boundary_alpha050,region_B_sequential_penalized,1.3617011947794122,pair_tmp,post_solver_selected_pair,183.8032684326172,237.29874420166016,0.0,19.846990191528143,0.009433962264150943,3,0,0.046357615894039736,0.03334968121628249,0.07970729711032223,318,0.5351366674230856,0.14879304756085804,0.07970729711032223,0.0,0.0,0.0
C01_representative,region_B_with_crossing,boundary_alpha050,1.359127023899346,pair_tmp,post_solver_selected_pair,182.04612731933594,240.4131317138672,0.0,14.172070435286676,0.012658227848101266,4,0,0.04406520631686195,0.03506620892594409,0.07913141524280604,316,0.5332365936973524,0.19236796017778188,0.07913141524280604,0.0,0.0,0.0
C01_representative,crossing_gamma025,region_B,1.3513223597597055,pair_tmp,post_solver_selected_pair,181.91848754882812,235.39988708496094,0.0,18.041491623374483,0.0457516339869281,14,3,0.04049923586347427,0.036047081902893574,0.07654631776636785,306,0.5153973418897199,0.1987295378223285,0.07654631776636785,0.0,0.0,0.0
C01_representative,boundary_alpha050,region_B_with_crossing,1.3505442303387352,pair_tmp,post_solver_selected_pair,182.04612731933594,240.4131317138672,0.0,11.369218536296712,0.012658227848101266,4,0,0.04406520631686195,0.03506620892594409,0.07913141524280604,316,0.5332365936973524,0.24958658391518754,0.07913141524280604,0.0,0.0,0.0
C01_representative,region_B,crossing_gamma025,1.3493128726118249,pair_tmp,post_solver_selected_pair,181.91848754882812,235.39988708496094,0.0,18.557661222222972,0.0457516339869281,14,3,0.04049923586347427,0.036047081902893574,0.07654631776636785,306,0.5153973418897199,0.21212611880819912,0.07654631776636785,0.0,0.0,0.0
C01_representative,region_B_sequential_penalized,region_A_with_crossing,1.3486051081144563,pair_tmp,post_solver_selected_pair,176.13897705078125,222.89983367919922,0.0,19.87173811564961,0.016722408026755852,5,2,0.04737646459500764,0.027709661598822953,0.0750861261938306,299,0.5291818590835373,0.16396611064705205,0.0750861261938306,0.0,0.0,0.0
C01_representative,region_A_with_crossing,region_B_sequential_penalized,1.3453845503788933,pair_tmp,post_solver_selected_pair,176.13897705078125,222.89983367919922,0.0,19.73800197168654,0.016722408026755852,5,2,0.04737646459500764,0.027709661598822953,0.0750861261938306,299,0.5291818590835373,0.18543649555080652,0.0750861261938306,0.0,0.0,0.0
C01_representative,region_B_with_crossing,region_A_with_crossing,1.3432088932403554,pair_tmp,post_solver_selected_pair,174.3818359375,226.01422119140625,0.0,13.420492685812164,0.01,3,0,0.04584819154355578,0.029426189308484552,0.07527438085204033,300,0.5326371904260202,0.24293243924205302,0.07527438085204033,0.0,0.0,0.0
C01_representative,crossing_gamma025,region_B_sequential_penalized,1.3401641872600552,pair_tmp,post_solver_selected_pair,181.4346160888672,239.79528045654297,0.0,18.046128848654934,0.00949367088607595,3,0,0.04533876719307183,0.033840117704757235,0.07917888489782907,316,0.5348426070058765,0.18519510365914832,0.07917888489782907,0.0,0.0,0.0
C01_representative,region_B_sequential_penalized,crossing_gamma025,1.335924613838626,pair_tmp,post_solver_selected_pair,181.4346160888672,239.79528045654297,0.0,17.372840054921284,0.00949367088607595,3,0,0.04533876719307183,0.033840117704757235,0.07917888489782907,316,0.5348426070058765,0.21345892646867584,0.07917888489782907,0.0,0.0,0.0
C01_representative,region_B_with_crossing,crossing_gamma025,1.3344892690353052,pair_tmp,post_solver_selected_pair,179.67747497558594,242.90966796875,0.0,14.669093757589485,0.032467532467532464,10,1,0.04202750891492613,0.03506620892594409,0.07709371784087021,308,0.5223130926866689,0.21652567191145325,0.07709371784087021,0.0,0.0,0.0
C01_representative,region_A_with_crossing,region_B_with_crossing,1.3344867973581844,pair_tmp,post_solver_selected_pair,174.3818359375,226.01422119140625,0.0,12.066040201831687,0.01,3,0,0.04584819154355578,0.029426189308484552,0.07527438085204033,300,0.5326371904260202,0.3010797451231931,0.07527438085204033,0.0,0.0,0.0
C01_representative,crossing_gamma025,region_B_with_crossing,1.3315301679331193,pair_tmp,post_solver_selected_pair,179.67747497558594,242.90966796875,0.0,11.865974628067221,0.032467532467532464,10,1,0.04202750891492613,0.03506620892594409,0.07709371784087021,308,0.5223130926866689,0.23625301259269188,0.07709371784087021,0.0,0.0,0.0
C01_representative,baseline_STD,crossing_gamma025,1.2515085044597731,pair_tmp,post_solver_selected_pair,191.60723114013672,267.19342041015625,0.0,5.360587697938127,0.06557377049180328,20,6,0.07030056036678553,0.007111329082883766,0.0774118894496693,305,0.505919059478933,0.4893733198666185,0.0774118894496693,0.0,0.0,0.0
C01_representative,crossing_gamma025,baseline_STD,1.2464577323834012,pair_tmp,post_solver_selected_pair,191.60723114013672,267.19342041015625,0.0,3.9886590488374205,0.06557377049180328,20,6,0.07030056036678553,0.007111329082883766,0.0774118894496693,305,0.505919059478933,0.5230451337090986,0.0774118894496693,0.0,0.0,0.0
C01_representative,baseline_STD,boundary_alpha050,1.240822249348002,pair_tmp,post_solver_selected_pair,193.97588348388672,264.69688415527344,0.0,3.874828274973673,0.07213114754098361,22,5,0.07106469689251146,0.0063756743501716525,0.07744037124268312,305,0.5026546118508498,0.5894220187638759,0.07744037124268312,0.0,0.0,0.0
C01_representative,boundary_alpha050,baseline_STD,1.2358443399261085,pair_tmp,post_solver_selected_pair,193.97588348388672,264.69688415527344,0.0,2.853707892575726,0.07213114754098361,22,5,0.07106469689251146,0.0063756743501716525,0.07744037124268312,305,0.5026546118508498,0.6226080815764995,0.07744037124268312,0.0,0.0,0.0
C01_representative,crossing_gamma025,region_A,1.2280673232105688,pair_tmp,post_solver_selected_pair,190.2611541748047,268.4506378173828,0.0,4.436866985896677,0.09523809523809523,28,8,0.06724401426388181,0.007356547327121138,0.07460056159100295,294,0.48968123317645385,0.5330348405486814,0.07460056159100295,0.0,0.0,0.0
