step,output_path,case_id,figure_name,trajectory_file,map_shape,coordinate_type,path_points_total,path_points_inside_valid_mask,path_points_inside_fraction,path_bbox,map_bbox,suspected_x_y_swap,suspected_origin_flip,suspected_extent_mismatch,verdict
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__boundary_alpha025/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",25,25,1.0,"rows[15,59], cols[12,52]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__boundary_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",24,24,1.0,"rows[4,33], cols[51,95]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__gradient_alpha025/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",23,23,1.0,"rows[14,49], cols[7,52]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__gradient_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",26,26,1.0,"rows[15,53], cols[10,51]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__heterogeneity_alpha025/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",23,23,1.0,"rows[14,59], cols[12,51]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__heterogeneity_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",22,22,1.0,"rows[13,43], cols[3,52]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__interest_alpha025/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",22,22,1.0,"rows[15,50], cols[12,51]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__interest_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",23,23,1.0,"rows[15,56], cols[9,51]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__representative_zone_alpha025/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",22,22,1.0,"rows[13,54], cols[26,62]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
Step11B,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step11b_descriptor_ablation_planner_tests_20260520_194733,October_control,step11b_collected_scores_barplot.png; step11b_distance_from_baseline_barplot.png; step11b_October_control_descriptor_trajectories_panel.png; figures/step11b_collected_scores_barplot.png,planner_runs/October_control__representative_zone_alpha050/trajectory_routes.json,72x117,"lat/lon route waypoints converted to HRes row/col, then ROI row/col",26,26,1.0,"rows[14,69], cols[35,55]","rows[0,71], cols[0,116]",False,False,False,OK_COORDINATES
